displayUserNick,auctionSku,rateDate,rateContent
田***0,颜色分类:09 黑色;尺码:160/90/M,2021-02-16 20:24:29,短袖含棉成分高，穿着舒服，可以当内搭穿。
m***a,颜色分类:68 深蓝色;尺码:155/85/S,2021-02-16 15:00:22,还可以
s***儿,颜色分类:09 黑色;尺码:160/90/M,2021-02-08 15:09:49,尺码合适，春天可以穿，夏天太热
牵***3,颜色分类:27 橙褐色;尺码:155/85/S,2021-02-07 11:25:14,很不错👍
y***y,颜色分类:09 黑色;尺码:155/85/S,2021-02-06 20:12:57,凑单买的，很显瘦，上身舒服，太划算了准备再买一件
c***曾,颜色分类:09 黑色;尺码:160/90/M,2021-02-03 09:16:48,终于买到160的了
t***6,颜色分类:27 橙褐色;尺码:160/90/M,2021-01-30 14:32:53,质量做工都很好，码数也合适
s***1,颜色分类:09 黑色;尺码:155/85/S,2021-01-23 06:10:31,大小合适很舒服
s***1,颜色分类:27 橙褐色;尺码:155/85/S,2021-01-23 06:10:31,大小合适穿着舒服
h***6,颜色分类:09 黑色;尺码:160/90/M,2021-01-20 16:00:15,164，130斤，这个码稍小点，再大一码最好。号不全了，紧身穿吧。面料做工好，还省了内衣。穿着好看，好评。
l***l,颜色分类:27 橙褐色;尺码:160/90/M,2021-01-18 18:18:36,衣服里面是带文胸的，感觉买大了
超***雨,颜色分类:27 橙褐色;尺码:160/90/M,2021-01-14 22:58:05,之前在实体店买的黑色，挺好穿的，自带文胸，看到又有橙褐色就又拍了2件搭配黑色运动裤和白色阔腿裤，很满意，就是尺码没有大**，好评！
n***e,颜色分类:09 黑色;尺码:155/85/S,2021-01-13 19:01:56,家里有件红的很好穿，又买了件黑的
a***7,颜色分类:27 橙褐色;尺码:155/85/S,2021-01-13 16:37:30,符合预期，不厚，挺合身的设计
r***7,颜色分类:09 黑色;尺码:155/85/S,2021-01-13 10:35:01,此用户没有填写评论!
t***1,颜色分类:68 深蓝色;尺码:155/85/S,2021-01-11 19:39:50,Comfortable
b***y,颜色分类:27 橙褐色;尺码:155/85/S,2021-01-10 14:28:36,非常合适，妈妈很喜欢
d***6,颜色分类:27 橙褐色;尺码:155/85/S,2021-01-07 21:46:49,好
d***6,颜色分类:09 黑色;尺码:155/85/S,2021-01-07 21:46:49,好
a***儿,颜色分类:09 黑色;尺码:155/85/S,2021-01-07 15:30:25,性价比超高，刚好有我的码数，买完就没货了，运气不错。特价靠抢，手慢就尺码不齐了。
t***0,颜色分类:09 黑色;尺码:155/85/S,2021-01-06 19:44:48,很好
c***曾,颜色分类:09 黑色;尺码:155/85/S,2021-01-04 16:59:35,囤货，买了十多件同款。
超***雨,颜色分类:27 橙褐色;尺码:160/90/M,2021-01-04 14:10:13,之前在店里买过同款的黑色很好穿，现在看到又有橙褐色的，刚好有优家的白色阔腿裤用来搭应该会很好看，可惜没有L**了，就拍了M**，性价格很高，棉料的有点厚，好评！
张***菱,颜色分类:27 橙褐色;尺码:155/85/S,2021-01-04 13:14:32,此用户没有填写评论!
a***e,颜色分类:09 黑色;尺码:155/85/S,2020-12-28 20:19:07,非常好，很修身
c***曾,颜色分类:09 黑色;尺码:155/85/S,2020-12-27 19:54:17,和女儿一共买了得有十件同款了
c***曾,颜色分类:09 黑色;尺码:155/85/S,2020-12-27 19:53:29,囤货的，舒服，不用穿胸罩了。
c***曾,颜色分类:68 深蓝色;尺码:155/85/S,2020-12-27 19:53:29,囤货的
c***e,颜色分类:09 黑色;尺码:160/90/M,2020-12-26 15:13:24,舒适
国***色,颜色分类:09 黑色;尺码:155/85/S,2020-12-26 08:16:05,每天都在买买买，这次有活动买了 第一次入手这种衣服 很好 本人160 108斤 上身不胖 穿着合适 刚好修身 给大家做个参考
x***u,颜色分类:09 黑色;尺码:155/85/S,2020-12-22 23:52:59,跟我想的不太一样懒得退了
宇***7,颜色分类:09 黑色;尺码:150/80/XS,2020-12-22 09:14:56,活动价很划算，囤了明年穿。
t***2,颜色分类:09 黑色;尺码:155/85/S,2020-12-21 09:24:00,好，很喜欢哈
t***2,颜色分类:00 白色;尺码:150/80/XS,2020-12-20 18:25:57,挺好的
