displayUserNick,auctionSku,rateDate,rateContent
t***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-27 09:56:33,暖和
七***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-26 20:24:24,很好
猫***1,颜色分类:03 灰色;尺码:160/88A/L,2021-02-25 22:47:22,满意
猫***1,颜色分类:31 米色;尺码:160/88A/L,2021-02-25 22:47:22,满意
猫***1,颜色分类:31 米色;尺码:160/88A/L,2021-02-25 22:46:19,满意
女***o,颜色分类:67 海蓝色;尺码:165/92A/XL,2021-02-25 22:03:30,衣服很好看，质量也很好，物流也很快，非常喜欢。
女***o,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-25 22:03:30,衣服很好看，质量也很好，物流也很快，非常喜欢。
神***仙,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-25 15:56:16,好，回购无数次
清***影,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-25 14:08:53,非常好
木***爱,颜色分类:09 黑色;尺码:160/84A/M,2021-02-25 11:16:30,非常舒服，保暖
奇***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 23:33:21,还可以吧
岚***砂,颜色分类:03 灰色;尺码:160/84A/M,2021-02-23 17:57:33,还没穿，摸着挺舒服，准备配西装的
t***6,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-23 14:18:43,都买了五件了，真不错，打底内穿外穿都可以，暖和好看
t***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 14:18:43,不错，冬天打底很暖和，都买了几次了，好几个颜色都入了手，放心买吧
i***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 14:10:31,坐地铁就能直达的花海 黄花风铃 海傍水乡 海傍水乡位于广州市番禺区清河路石基镇海傍村亚运村西侧，集餐饮、休闲、娱乐等项目于一身的综合性农庄，里面有直升机🚁、亲子射箭🏹️、花海小火车🚄、开心农场🐑（喂小绵羊），现在正值黄花风铃花期，黄花风铃木，原产墨西哥、中美洲、南美洲，是巴西的国花。黄花风铃木是阳性植物，需强光不耐阴，喜高温，生长适宜温度为23～30℃，广东的气候非常适合生长，
i***暴,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 09:33:09,门店试穿之后买的 冬天打底 非常暖和
木***尹,颜色分类:31 米色;尺码:160/84A/M,2021-02-23 08:37:59,朋友推荐的，很好搭衣服
木***尹,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 08:37:59,朋友推荐的，很好搭衣服
雅***儿,颜色分类:67 海蓝色;尺码:160/84A/M,2021-02-22 22:58:16,😃大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！
雅***儿,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-22 22:58:16,👌从没想过这么实惠的价格，😴能买到这么好的宝贝，😃性价比非常高，我很喜欢哦😃
小***琦,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-22 21:01:22,实体店试过了，合适
x***2,颜色分类:03 灰色;尺码:160/88A/L,2021-02-22 19:28:55,质量没问题，灰色挺正
冷***9,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-22 18:15:47,多次购买，很舒服，多种颜色都喜欢
炼***穹,颜色分类:67 海蓝色;尺码:160/84A/M,2021-02-22 16:27:49,颜色不好看，应该买黑色的，质量很好
1***u,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-22 11:32:21,好看
椰***0,颜色分类:09 黑色;尺码:160/88A/L,2021-02-22 08:56:44,很好
m***4,颜色分类:67 海蓝色;尺码:155/80A/S,2021-02-21 21:26:44,很好
l***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 20:28:50,柔软舒适保暖，这是第二件了
l***1,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 20:28:50,柔软舒适保暖，这是第三件了
t***7,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-21 19:15:54,此用户没有填写评论!
草***声,颜色分类:67 海蓝色;尺码:165/92A/XL,2021-02-21 12:31:45,好
l***7,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-21 12:29:06,打底衫最喜欢买优家的，物美价廉。
l***h,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-21 12:27:18,整体评价：天热了，高领买了还未穿 版型风格：可以 面料材质：棉 我的身高体重：160高 120斤
仰***n,颜色分类:31 米色;尺码:155/80A/S,2021-02-21 10:51:11,很舒服，质量很好👌🏻
t***9,颜色分类:09 黑色;尺码:160/84A/M,2021-02-21 10:38:58,和专柜一样
特***罗,颜色分类:31 米色;尺码:160/84A/M,2021-02-21 08:46:14,很舒服。作为打底不错软软的。就是领子那边有点过高。看起来很厚一堆。
s***f,颜色分类:09 黑色;尺码:155/80A/S,2021-02-20 12:28:14,黑色不掉色，s号脖子有点紧，m号身体有点大，
s***f,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-20 12:28:14,此用户没有填写评论!
朱***1,颜色分类:31 米色;尺码:165/92A/XL,2021-02-20 10:19:01,非常好，既保暖又舒适。
半***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-19 23:13:01,给妈妈买的，希望大小合适吧
熙***8,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-19 17:19:08,整体评价：可以
如***变,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-19 14:43:08,内里有点起球，但是还是喜欢，给老妈和自己前前后后共买了7、8件了同款，基本上颜色已买全哈哈
如***变,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 14:43:08,内里有点起球，但是还是喜欢，给老妈和自己前前后后共买了7、8件了同款，基本上颜色已买全哈哈
d***0,颜色分类:67 海蓝色;尺码:160/88A/L,2021-02-19 13:46:57,挺好的
碎***布,颜色分类:09 黑色;尺码:155/80A/S,2021-02-19 13:45:20,好
叶***南,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-19 13:34:18,好
藏***杯,颜色分类:31 米色;尺码:155/80A/S,2021-02-19 11:16:49,这个米色打底衫是给我妈买的，她之前在店里买了同款黑色，觉得暖和，型也不错，就在网上下单了米色，米色也很衬肤色，而且搭配大衣更清爽
c***t,颜色分类:09 黑色;尺码:160/84A/M,2021-02-19 10:58:32,好看，不过天气热了，明年再穿吧
g***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-19 09:02:54,之前买过黄色，白色更百搭一些，所以买了，快递很快，过年也没有耽误，满意！
x***3,颜色分类:31 米色;尺码:160/84A/M,2021-02-18 19:39:29,很好，很满意，穿起来很舒服，和实体店质量一样！推荐购买！
西***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-18 17:53:48,料子很柔软，穿着很舒服，白色很好配衣服，不能直接穿深色内衣，会有一丢丢透。
少***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-18 15:44:58,质量很好，也很好看，很满意，好评。
k***g,颜色分类:31 米色;尺码:160/88A/L,2021-02-18 15:16:10,妈妈很喜欢！ 准备等有**时候再追加一件红色的
t***6,颜色分类:67 海蓝色;尺码:155/80A/S,2021-02-18 14:43:13,给我妈买的居家服，合适。除夕前发货一天到。
香***9,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-18 13:58:14,衣服越穿越宽松，建议买小一码
b***4,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-18 13:35:54,此用户没有填写评论!
b***4,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-18 13:35:54,此用户没有填写评论!
b***4,颜色分类:17 枣红色;尺码:165/92A/XL,2021-02-18 13:35:54,此用户没有填写评论!
t***7,颜色分类:31 米色;尺码:160/88A/L,2021-02-18 12:29:08,这颜色还挺好看的
g***3,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-18 08:56:55,质量不错，很舒服，喜欢
永***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-18 08:10:56,挺好的，第一次买件灰色，好穿，这次又入黑色，准备再买件白色
l***艾,颜色分类:31 米色;尺码:155/80A/S,2021-02-17 20:32:38,好
2***9,颜色分类:09 黑色;尺码:155/80A/S,2021-02-16 22:13:36,此用户没有填写评论!
s***9,颜色分类:09 黑色;尺码:160/84A/M,2021-02-16 18:11:00,很好，以后这种打底衫就在优衣库买了
小***彦,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-16 14:35:08,很舒服，二次回购。
丽***曳,颜色分类:09 黑色;尺码:160/88A/L,2021-02-16 14:21:34,很好！
芊***咪,颜色分类:03 灰色;尺码:160/88A/L,2021-02-16 14:00:55,真的很好，绒很细，摸起来很舒服！
瑞***8,颜色分类:03 灰色;尺码:160/84A/M,2021-02-16 01:33:25,非常满意，实体店没有我的号码，在网上拍的特别合适。
r***c,颜色分类:67 海蓝色;尺码:155/80A/S,2021-02-15 22:18:45,袖子有点窄了，其他可以不错
x***l,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-15 20:55:08,网购了这么多年，这是我第一次这么认真的对待。我怀着忐忑的心情拿着手机盯着屏幕，迟迟不敢下手。我怕我一旦说出来，老板会觉得我在拍马*，是不是想为了那几块钱的红包，又怕我的评价会误导后来的网友。为了写这次评价，我鼓起勇气喝了3瓶啤酒才有信心。记得第一次喝酒还是对初恋表白的那天，今天又是同样的心情，拼了，为了不辜负老板对我的期望，我一定会客观，公正，如实的写下自己的评价：这是我这开心的一次网购，谢谢！！！
j***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-15 20:41:00,挺好，吐槽物流
二***丶,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-15 18:09:04,还可以
阿***z,颜色分类:31 米色;尺码:165/92A/XL,2021-02-15 17:17:01,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！
欧***儿,颜色分类:09 黑色;尺码:160/88A/L,2021-02-15 16:45:52,此用户没有填写评论!
1***0,颜色分类:03 灰色;尺码:160/88A/L,2021-02-15 09:13:28,很舒适
鸭***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-14 23:51:01,买了多个颜色。多次购买，划算。好搭配
t***0,颜色分类:31 米色;尺码:155/80A/S,2021-02-14 18:50:07,米色？谁家大米是这么灰？变质的吗？应该是灰咖色！图片严重不符！ 找客服确认颜色时贼麻烦，让拍好多东西，唉，好累
c***2,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-14 17:49:15,暖和
m***4,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-14 14:58:30,白色有点透
大***4,颜色分类:03 灰色;尺码:160/88A/L,2021-02-14 14:03:55,今年买了很多优衣库的，都可以。
盗***丹,颜色分类:67 海蓝色;尺码:160/88A/L,2021-02-14 13:39:10,优衣库 【新年红】女装 HEATTECH摇粒绒两翻领套头衫 428327，这个号码有点大，无奈想要这个颜色。
t***3,颜色分类:67 海蓝色;尺码:160/84A/M,2021-02-14 13:38:43,此用户没有填写评论!
