displayUserNick,auctionSku,rateDate,rateContent
旖***2,主要颜色:18 暗红色;尺码:160/88A/L,2021-02-26 16:15:36,颜色很深
张***健,主要颜色:07 青灰色;尺码:160/84A/M,2021-02-25 15:00:46,面料舒服，款式宽松
张***健,主要颜色:55 青绿色;尺码:160/84A/M,2021-02-25 15:00:46,面料舒服，款式宽松
张***健,主要颜色:18 暗红色;尺码:160/84A/M,2021-02-25 15:00:46,面料舒服，款式宽松
e***2,主要颜色:18 暗红色;尺码:160/88A/L,2021-02-20 23:36:35,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。
七***r,主要颜色:07 青灰色;尺码:165/92A/XL,2021-02-20 20:31:35,好评
洪***飞,主要颜色:18 暗红色;尺码:165/92A/XL,2021-01-31 20:17:41,很漂亮，很喜欢
来***2,主要颜色:55 青绿色;尺码:165/92A/XL,2021-01-21 20:32:05,好看，穿着舒适。
朔***姐,主要颜色:18 暗红色;尺码:160/88A/L,2021-01-19 17:23:51,此用户没有填写评论!
樱***q,主要颜色:07 青灰色;尺码:165/92A/XL,2021-01-18 16:29:08,好评
刘***3,主要颜色:07 青灰色;尺码:160/88A/L,2021-01-12 12:27:23,宝贝已收到质量很好谢谢
兜***4,主要颜色:07 青灰色;尺码:175/108C/XXXL,2021-01-04 00:36:15,上身神奇的很好看
兜***4,主要颜色:55 青绿色;尺码:170/100B/XXL,2021-01-04 00:36:15,上身神奇的很好看
t***0,主要颜色:55 青绿色;尺码:160/88A/L,2020-12-31 19:14:25,各种搭配 可休闲可复古
嗲***o,主要颜色:18 暗红色;尺码:160/88A/L,2020-12-28 14:46:25,妈妈很喜欢！
w***3,主要颜色:07 青灰色;尺码:160/88A/L,2020-12-21 17:54:09,这优衣裤买东西就方便，相同的价位质量保证
j***8,主要颜色:07 青灰色;尺码:155/80A/S,2020-12-19 14:20:42,比想象中的颜色暗一点
s***s,主要颜色:07 青灰色;尺码:150/76A/XS,2020-12-16 10:06:21,虽然心里也知道这件衣服大概率会在2021年初降价到79，直至59，但不晓得能不能买到自己的码数，也还是选择了在现在入手了，是喜欢的图样.
艾***0,主要颜色:55 青绿色;尺码:170/100B/XXL,2020-12-13 20:06:59,这个款式非常喜欢三个颜色全买齐了，有格调剪裁合适手感好料子有一定的挺括感。赞！
艾***0,主要颜色:18 暗红色;尺码:170/100B/XXL,2020-12-13 20:06:59,这个款式非常喜欢三个颜色全买齐了，有格调剪裁合适手感好料子有一定的挺括感。赞！
j***9,主要颜色:18 暗红色;尺码:170/100B/XXL,2020-12-13 15:51:47,还行
l***6,主要颜色:07 青灰色;尺码:165/92A/XL,2020-12-10 09:25:18,喜欢玛丽美琪的设计，虽然反季节又没优惠活动还是忍不住入手一件😃
b***7,主要颜色:18 暗红色;尺码:170/100B/XXL,2020-12-09 19:55:38,一如既往的喜欢！
b***7,主要颜色:07 青灰色;尺码:170/100B/XXL,2020-12-09 19:55:38,一如既往的喜欢！
b***7,主要颜色:55 青绿色;尺码:170/100B/XXL,2020-12-09 19:55:38,一如既往的喜欢！
碧***沙,主要颜色:07 青灰色;尺码:160/88A/L,2020-12-05 19:46:34,好看好看，本来还担心颜色过于暗淡，实物搭配的很简单大方
董***雯,主要颜色:18 暗红色;尺码:165/92A/XL,2020-12-05 12:27:07,质量很好，面料做工都满意，上身比较宽松舒适，可以买小一号，搭配黑色阔腿裤很好看
扁***嘎,主要颜色:07 青灰色;尺码:160/84A/M,2020-12-03 20:16:19,喜欢
艾***0,主要颜色:07 青灰色;尺码:170/100B/XXL,2020-12-01 08:13:15,老顾客了，时尚，￼非常喜欢。￼赞......
l***f,主要颜色:07 青灰色;尺码:160/84A/M,2020-11-30 18:15:46,宽松休闲
s***u,主要颜色:07 青灰色;尺码:165/92A/XL,2020-11-29 22:22:51,物流好好
