displayUserNick,auctionSku,rateDate,rateContent
1***f,主要颜色:00 白色;尺码:165/92A/XL,2021-02-27 11:52:33,超级好穿
z***7,主要颜色:54 绿色;尺码:165/92A/XL,2021-02-27 11:50:39,质量很好
z***7,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-27 11:50:39,质量很好
t***5,主要颜色:00 白色;尺码:160/84A/M,2021-02-27 11:17:51,很合适，有点修身
h***6,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-27 11:03:55,喜欢
维***绿,主要颜色:00 白色;尺码:150/76A/XS,2021-02-27 10:12:12,质量很好！喜欢！
流***堂,主要颜色:00 白色;尺码:165/92A/XL,2021-02-27 09:26:45,非常满意
l***9,主要颜色:31 米色;尺码:160/88A/L,2021-02-27 09:15:10,颜色好好看
月***3,主要颜色:31 米色;尺码:160/84A/M,2021-02-27 07:42:21,每年都要买几件背心，今年着急打底就先买了。
卡***人,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-27 00:21:28,很舒服
输***头,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 23:36:56,可！
德***芬,主要颜色:71 浅蓝紫色;尺码:160/84A/M,2021-02-26 23:21:28,整体评价：淡淡的紫色，很舒服的颜色，面料也很厚实，不会透！
z***9,主要颜色:71 浅蓝紫色;尺码:160/84A/M,2021-02-26 22:40:33,一如既往的好
m***6,主要颜色:54 绿色;尺码:150/76A/XS,2021-02-26 21:57:44,衣服真的很不错，买了不后悔系列
t***1,主要颜色:54 绿色;尺码:155/80A/S,2021-02-26 21:33:14,基础款
t***6,主要颜色:00 白色;尺码:165/92A/XL,2021-02-26 21:22:14,纯棉的，就是领子螺纹不太喜欢，不好搭配衣服
张***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 21:03:36,才收到就试穿了，打开包装看到颜色的一瞬感觉一般，穿上之后又发现特别适合。买了深灰浅绿白色三个颜色都是L，总体来说比较有质感，不会过于厚，更不会薄，白色会有一点点透，不过在可接受范围，现在是晚上，拍照不会很清楚，之后会追评，另外我净身高157CM，净体重106斤内穿无痕运动内衣的情况下看起来还挺瘦的呢，穿起来宽松度完美，是喜欢的感觉，再小一个码可能也能穿但会有点紧，再大一**话肩膀这里就显宽了，头一次这么认真写评论呢🤗~
张***5,主要颜色:08 深灰色;尺码:160/88A/L,2021-02-26 21:03:36,才收到就试穿了，打开包装看到颜色的一瞬感觉一般，穿上之后又发现特别适合。买了深灰浅绿白色三个颜色都是L，总体来说比较有质感，不会过于厚，更不会薄，白色会有一点点透，不过在可接受范围，现在是晚上，拍照不会很清楚，之后会追评，另外我净身高157CM，净体重106斤内穿无痕运动内衣的情况下看起来还挺瘦的呢，穿起来宽松度完美，是喜欢的感觉，再小一个码可能也能穿但会有点紧，再大一**话肩膀这里就显宽了，头一次这么认真写评论呢🤗~
张***5,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-26 21:03:36,才收到就试穿了，打开包装看到颜色的一瞬感觉一般，穿上之后又发现特别适合。买了深灰浅绿白色三个颜色都是L，总体来说比较有质感，不会过于厚，更不会薄，白色会有一点点透，不过在可接受范围，现在是晚上，拍照不会很清楚，之后会追评，另外我净身高157CM，净体重106斤内穿无痕运动内衣的情况下看起来还挺瘦的呢，穿起来宽松度完美，是喜欢的感觉，再小一个码可能也能穿但会有点紧，再大一**话肩膀这里就显宽了，头一次这么认真写评论呢🤗~
吉***3,主要颜色:65 宝蓝色;尺码:165/92A/XL,2021-02-26 20:54:33,买了这个颜色 竟然很好看呀 挺满意  搭配他们家大包包和鞋子 裤子
乙***2,主要颜色:31 米色;尺码:150/76A/XS,2021-02-26 20:40:50,还行
王***7,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-26 20:36:17,太大了！线下换了米色小一号！颜色很好！verygood
涮***t,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 20:26:11,是修身款的T恤，挺满意的，白色的也不透内衣
涮***t,主要颜色:09 黑色;尺码:160/84A/M,2021-02-26 20:26:11,是修身款的T恤，挺满意的，白色的也不透内衣
d***0,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-26 20:19:26,厚实，打底不错。
d***0,主要颜色:56 橄榄色;尺码:175/108C/XXXL,2021-02-26 20:19:26,四色入，这款家居穿
熊***0,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-26 18:27:24,感觉没有以前厚实了
熊***0,主要颜色:56 橄榄色;尺码:175/108C/XXXL,2021-02-26 18:27:24,显白
t***1,主要颜色:71 浅蓝紫色;尺码:165/92A/XL,2021-02-26 18:15:33,好
t***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 18:10:43,质量很好，衣服厚，不透，我买的L码，163穿上很合身
司***淼,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-26 17:59:40,打底，厚实挺括好穿。
t***1,主要颜色:31 米色;尺码:175/108C/XXXL,2021-02-26 17:52:04,厚、紧实！
4***c,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 17:05:26,不错，就是有点小
妹***6,主要颜色:54 绿色;尺码:170/100B/XXL,2021-02-26 16:55:51,每年都要买的款，看着平淡无奇，上身很有型，绿色很显白，很好看！165cm/70公斤，XXL合适。
h***4,主要颜色:54 绿色;尺码:175/108C/XXXL,2021-02-26 16:45:55,挺好看的，168，120斤，3XL，穿上宽松，供参考
我***的,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 16:13:11,优衣库的质量没话说，很好的，我身高162，体重55kg，梨形身材，穿M码属于修身款，很好看的
q***5,主要颜色:00 白色;尺码:165/92A/XL,2021-02-26 15:31:22,不错
l***3,主要颜色:31 米色;尺码:160/88A/L,2021-02-26 15:25:38,厚实款 做内搭的
泰***娜,主要颜色:09 黑色;尺码:170/100B/XXL,2021-02-26 15:11:49,版型风格：很修身 想穿宽松一点建议拍大一码 面料材质：纯棉面料，打底很不错，白色也不透，洗了不褪色不变形，性价比可以
i***2,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 14:59:13,好穿，显瘦又百搭
解***喵,主要颜色:54 绿色;尺码:160/84A/M,2021-02-26 14:09:28,此用户没有填写评论!
茜***0,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 13:47:11,不错
茜***0,主要颜色:21 浅橙色;尺码:160/88A/L,2021-02-26 13:47:11,橘粉色的，比卖家图片深一点
茜***0,主要颜色:31 米色;尺码:160/88A/L,2021-02-26 13:47:11,米色还可以
静***2,主要颜色:00 白色;尺码:175/108C/XXXL,2021-02-26 13:38:39,很好穿，小红书种草的
h***9,主要颜色:24 亮橙色;尺码:165/92A/XL,2021-02-26 13:06:01,质量挺好的就是橘色不像橘色
d***7,主要颜色:31 米色;尺码:160/88A/L,2021-02-26 12:44:48,好评
t***8,主要颜色:00 白色;尺码:165/92A/XL,2021-02-26 12:43:36,衣服不错，就是码子拍大了
t***3,主要颜色:00 白色;尺码:160/88A/L,2021-02-26 12:43:06,百搭，质量好
l***了,主要颜色:24 亮橙色;尺码:160/84A/M,2021-02-26 12:35:00,很满意👍，做工很好，物流快，客服很棒，点赞特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！😍发货很快，两三天就到了，这个颜色我很喜欢，性价比很高，非常nice
l***了,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 12:35:00,不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！
