displayUserNick,auctionSku,rateDate,rateContent
愿***望,主要颜色:00 白色;尺码:155/80A/S,2021-02-27 12:26:06,喜欢
豆***9,主要颜色:00 白色;尺码:155/80A/S,2021-02-27 11:26:00,👌
球***e,主要颜色:00 白色;尺码:155/80A/S,2021-02-27 09:57:42,稍微有点薄，挺舒服的
许***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-27 09:26:02,我身高165，体重53，买S码刚好，其实大一码也可以。性价比很高的内搭
夏***7,主要颜色:00 白色;尺码:165/92A/XL,2021-02-27 00:01:48,之前选错了尺寸，还是大一号才能穿出休闲范儿
夏***7,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-27 00:01:48,特别好
l***蝶,主要颜色:00 白色;尺码:155/80A/S,2021-02-26 23:08:53,单穿有高级感～舒服，随性！
成***糖,主要颜色:00 白色;尺码:150/76A/XS,2021-02-26 23:02:25,好
q***9,主要颜色:00 白色;尺码:165/92A/XL,2021-02-26 22:27:32,As&lt;⛵️棉质做工版型很好，🔜颜色温柔质量很好，📇一点也不透，穿着特舒服，喜欢宽松💫一点的⚡️⚡️建议拍大一码，🎰走线挺整齐均匀的，没啥线头，做工面料都不会廉价，♨️也很透气，大太阳天气🎨穿着很舒服，🔙穿打底简直🥁不要太好看，🎊刚好遮住屁股，打底外穿都可以➰
王***3,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 21:12:32,好看
阿***柜,主要颜色:09 黑色;尺码:160/88A/L,2021-02-26 21:10:35,今天去店里试了一下，比线下薄多了，还是有差距的
七***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 20:24:36,很好
小***熊,主要颜色:00 白色;尺码:150/76A/XS,2021-02-26 19:42:01,打底实用
关***你,主要颜色:09 黑色;尺码:150/76A/XS,2021-02-26 19:36:08,挺好的
漂***舞,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 16:30:42,无 合适 无弹性 没有色差 厚度适中
i***2,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 14:59:12,好穿，显瘦又百搭
x***6,主要颜色:00 白色;尺码:155/80A/S,2021-02-26 12:57:58,作为打底感觉还是长了点，薄了点
夏***4,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 10:22:27,真的很柔软舒适
不***爱,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 23:23:55,很好
t***3,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 22:20:35,手感柔软光滑，喜欢
女***o,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 22:03:30,衣服很好看，质量也很好，物流也很快，非常喜欢。
j***6,主要颜色:10 水粉色;尺码:155/80A/S,2021-02-25 20:43:44,手感柔软舒适做内搭和叠穿的过度，质量不错买了两个颜色面料轻薄丝滑有比较垂坠，价格还亲民最近超爱优衣库，最近超爱优衣库版型好棉质舒适有筋骨陪卫衣非常合适，衣服很漂亮质量看着不错非常值得信赖的品牌。
b***o,主要颜色:09 黑色;尺码:160/84A/M,2021-02-25 20:11:10,不错
s***5,主要颜色:34 驼色;尺码:160/84A/M,2021-02-25 19:27:50,打底不错，前短后长，可以遮住屁股
c***2,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 17:33:43,款式可以，就是有点透，用来打底不错。
m***9,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 16:48:24,质量优良
t***6,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 15:57:43,好的没得说
y***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 15:33:33,搭在卫衣底下又舒服，又美腻！最主要的是物美价廉
大***子,主要颜色:34 驼色;尺码:155/80A/S,2021-02-25 15:09:51,優秀！
l***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 14:36:04,好像买大了，管他了
小***洁,主要颜色:09 黑色;尺码:150/76A/XS,2021-02-25 14:30:46,第三件
g***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 13:05:46,内搭很棒，在很多网红店挑了很久都下不去手，干脆就在优衣库买了，果然很不错，质地偏薄，一般透吧
清***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 12:52:12,非常不错
t***8,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 11:38:24,穿上很好的
勃***光,主要颜色:34 驼色;尺码:155/80A/S,2021-02-25 11:21:15,质量非常好，大小合适
快***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 10:41:09,有点薄，做内搭的，单穿会透！
f***n,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 10:13:07,白色有点透
封***n,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 09:04:28,手感很绵软，线上线下一样的价格
摩***y,主要颜色:00 白色;尺码:155/80A/S,2021-02-25 08:05:40,打底百搭
t***8,主要颜色:51 嫩绿色;尺码:170/100B/XXL,2021-02-25 07:44:17,穿了几天了，下面有点卷边
t***6,主要颜色:34 驼色;尺码:165/92A/XL,2021-02-25 06:31:42,纯棉面料舒服透气等开春暖和后穿，还在琢磨怎么搭配额嗯，总体满意
七***9,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 00:50:09,贴身穿非常舒服
欢***瘩,主要颜色:00 白色;尺码:150/76A/XS,2021-02-25 00:47:47,面料轻薄丝滑，有比较垂坠，衣长合适，身高156体重85斤穿xs码宽松。
迷***熊,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 23:32:27,好
非***构,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 22:06:09,面料舒服，打底穿合适
薰***言,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 20:39:18,包装实在太差了，脏兮兮的
小***1,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 20:36:23,布料舒服，适合打底。宽松款，想穿合身可以买小一码。
若***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 20:09:38,纯棉，手感柔软舒适，准备再入手一件绿色的
g***2,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 19:11:33,很好，非常满意！
依***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 18:32:35,好舒服穿着
把***宙,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 18:02:26,很好看
b***儿,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 17:18:51,打底利器
t***5,主要颜色:34 驼色;尺码:155/80A/S,2021-02-24 15:40:22,穿起来超舒服(๑&bull; . &bull;๑)强烈安利 就是码数有点大 s都过屁股好多了 应该买xs** 嗯
蜡***8,主要颜色:34 驼色;尺码:160/88A/L,2021-02-24 15:40:21,我是一个懒得评价的人，但是这件衣服实在是太差了，黑色掉毛！！！很严重，
h***8,主要颜色:00 白色;尺码:160/84A/M,2021-02-24 14:24:06,好
