displayUserNick,auctionSku,rateDate,rateContent
西***平,主要颜色:52 翠绿色;尺码:160/84A/M,2021-02-27 06:57:13,绿色挺好看
t***0,主要颜色:64 湖蓝色;尺码:165/92A/XL,2021-02-27 00:05:08,非常喜欢的颜色、面料，160，65公斤，165的规格很适合的宽松度
z***1,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-25 22:20:30,好评
z***1,主要颜色:09 黑色;尺码:170/100B/XXL,2021-02-25 22:20:30,好评
李***2,主要颜色:30 浅米色;尺码:150/76A/XS,2021-02-25 12:49:59,好评
快***贰,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 21:18:34,可以，穿着舒服
刘***蕊,主要颜色:00 白色;尺码:160/88A/L,2021-02-24 09:59:27,很好
g***n,主要颜色:52 翠绿色;尺码:160/88A/L,2021-02-20 15:28:41,好看，年年都买优衣库的supimaT恤
咖***啊,主要颜色:00 白色;尺码:160/88A/L,2021-02-19 21:18:39,此用户没有填写评论!
灿***9,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-19 07:48:36,不错
t***8,主要颜色:00 白色;尺码:165/92A/XL,2021-02-18 22:32:48,很薄，有点透，不建议买
y***w,主要颜色:41 杏黄色;尺码:165/92A/XL,2021-02-18 21:18:42,一直都穿优家T恤～～往年都是黑白色～今年入手了件黄色～颜色是我想要个，尺寸都合适～但感觉我穿好像短了点，而且有点薄，我穿着有点露内内，我还在想内衬怎么搭好～～看来深色才合适保守了～这个颜色合适身材瘦小的人穿，这个颜色很显年轻和肤色！这个布料很好！很合适夏天！希望多出些夏天的颜色！
春***5,主要颜色:09 黑色;尺码:160/88A/L,2021-02-13 08:01:20,好评！
s***3,主要颜色:00 白色;尺码:155/80A/S,2021-02-08 11:20:09,挺好的，白色多少会透，不过我是用来做卫衣内搭的，厚度可以不会太厚但也没有很薄，质量不错，滑滑的手感，领子很喜欢不会垮的那种。158，86斤，穿了正好，做内搭也可以了，外穿我会再大一码。
海***3,主要颜色:64 湖蓝色;尺码:160/88A/L,2021-02-08 02:13:29,还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。还没有收到。应该还行。
n***t,主要颜色:00 白色;尺码:160/88A/L,2021-02-04 12:12:42,冬天当打底特别好
a***u,主要颜色:00 白色;尺码:160/88A/L,2021-02-02 15:13:59,挺好的，透气，很满意！
c***阳,主要颜色:52 翠绿色;尺码:160/88A/L,2021-01-30 19:01:31,颜色喜欢，面料柔软舒适
t***1,主要颜色:64 湖蓝色;尺码:170/100B/XXL,2021-01-29 11:01:03,整体评价：好 面料材质：面料挺舒适的，也比较轻薄
a***u,主要颜色:52 翠绿色;尺码:160/88A/L,2021-01-27 08:29:00,挺好的，颜色很显白，这个夏天买个不一样的颜色～
l***e,主要颜色:64 湖蓝色;尺码:175/108C/XXXL,2021-01-26 19:35:39,这个颜色有点旧
z***2,主要颜色:00 白色;尺码:160/88A/L,2021-01-25 15:33:29,一般
晓***1,主要颜色:41 杏黄色;尺码:175/108C/XXXL,2021-01-25 10:11:41,好
王***2,主要颜色:64 湖蓝色;尺码:160/84A/M,2021-01-18 08:08:36,好看！
艾***2,主要颜色:09 黑色;尺码:160/88A/L,2021-01-14 13:23:30,163     54kg
