displayUserNick,auctionSku,rateDate,rateContent
c***g,主要颜色:00 白色;尺码:160/84A/M,2021-02-27 12:15:52,不错
m***9,主要颜色:00 白色;尺码:165/92A/XL,2021-02-27 11:23:26,质量颜色都好 就是有些偏大
k***q,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-27 11:02:30,衣服看着一般，上身效果很好，质量也很好，非常喜欢
z***g,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-27 08:53:53,舒服
蓝***活,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-27 08:48:55,喜欢水蓝色
纳***若,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-27 08:30:50,之前买了红色做家居服，意外的居然还挺暖和，又来买浅绿色，显白
刘***7,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-27 08:08:49,真心好看
b***i,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-27 06:16:40,很好
c***e,主要颜色:30 浅米色;尺码:170/100B/XXL,2021-02-27 01:07:03,微胖的妹妹可以选小一码。
我***6,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-26 23:11:47,颜色和款式都很好，身高1.57米，体重128斤，穿M码正合适！
果***8,主要颜色:30 浅米色;尺码:160/88A/L,2021-02-26 23:10:30,没有失望过。
成***糖,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 23:02:25,好
z***8,主要颜色:50 浅绿色;尺码:170/100B/XXL,2021-02-26 22:18:42,买大2个码，但颜色好看，挺舒服的
b***y,主要颜色:61 水蓝色;尺码:155/80A/S,2021-02-26 21:54:36,非常好
d***3,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-26 21:08:24,衣服版型很好，蓝色小清新很喜欢。开始实体店买了s合身，但是袖口很紧撸不上去。😂于是又追了一件m，略宽松更舒适！就是收到后万达广场的香水味经久不散有点熏。。。总之满意。
快***6,主要颜色:50 浅绿色;尺码:160/84A/M,2021-02-26 20:32:56,面料材质：好 版型风格：好
i***i,主要颜色:61 水蓝色;尺码:160/84A/M,2021-02-26 20:03:35,嘿嘿华夫格长袖ge***宽松，里面可以随便塞T恤，可打底，单穿，配马甲
t***6,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-26 19:06:26,颜色老气 已经给了婆婆
水***兰,主要颜色:30 浅米色;尺码:155/80A/S,2021-02-26 18:29:02,162，90斤拍的s码刚刚好，m码估计更休闲宽松些
寻***0,主要颜色:15 珊瑚红色;尺码:160/84A/M,2021-02-26 18:00:37,不错👌，尺码刚刚好，好看
t***4,主要颜色:30 浅米色;尺码:165/92A/XL,2021-02-26 16:57:04,颜色不太适合黄黑皮，其他没毛病。
齐***藤,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-26 16:29:50,颜色高雅，显肤色，身高165，体重126.买L合适。
w***c,主要颜色:10 水粉色;尺码:165/92A/XL,2021-02-26 16:09:09,不错不错，值得购买
啦***是,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 15:40:04,好
周***9,主要颜色:15 珊瑚红色;尺码:160/88A/L,2021-02-26 13:49:50,这个颜色好难买
n***2,主要颜色:09 黑色;尺码:160/84A/M,2021-02-26 12:14:04,衣服和实体店的一样，但是打开味道比实体店的重
晓***p,主要颜色:00 白色;尺码:160/84A/M,2021-02-26 10:01:20,实体店没买到，穿起好看
b***4,主要颜色:61 水蓝色;尺码:160/88A/L,2021-02-26 09:10:13,非常喜欢。这个颜色很温柔，配白色裤子很好看。
h***n,主要颜色:09 黑色;尺码:165/92A/XL,2021-02-26 08:23:26,衣服收到了，一个买了三件，红蓝黑各一件。质量好穿着舒服。
h***n,主要颜色:61 水蓝色;尺码:165/92A/XL,2021-02-26 08:13:00,宝贝穿了才来评价的，质量好穿着舒服。
