displayUserNick,auctionSku,rateDate,rateContent
p***1,主要颜色:64 湖蓝色;尺码:160/88A/L,2021-02-26 23:05:22,舒适
t***5,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 23:10:45,质量挺好的 只是太透了
为***累,主要颜色:09 黑色;尺码:155/80A/S,2021-02-25 22:49:40,很好的，质量很好，刚好合身
t***9,主要颜色:02 浅灰色;尺码:160/84A/M,2021-02-25 21:56:37,很合适
y***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-25 15:33:33,一如既往的好，物超所值
5***溢,主要颜色:02 浅灰色;尺码:160/84A/M,2021-02-25 11:09:45,挺好的
c***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-25 01:16:03,白T版型还不错。
杉***董,主要颜色:00 白色;尺码:170/100B/XXL,2021-02-24 22:19:02,还行
s***9,主要颜色:09 黑色;尺码:175/108C/XXXL,2021-02-24 20:34:56,收到啦～质量挺好的，不错，买大了，在家当家居服穿吧
s***9,主要颜色:69 藏青色;尺码:175/108C/XXXL,2021-02-24 20:34:56,收到啦～不错，质量很好
宋***6,主要颜色:64 湖蓝色;尺码:170/100B/XXL,2021-02-24 19:29:41,质量挺好的，比较舒服的感觉，但是同样的价钱还是比不上之前买过的优家的T恤舒服。
虾***妹,主要颜色:51 嫩绿色;尺码:165/92A/XL,2021-02-24 07:19:31,好穿，很舒服！
谷***5,主要颜色:64 湖蓝色;尺码:160/88A/L,2021-02-23 22:59:17,好
j***芯,主要颜色:00 白色;尺码:155/80A/S,2021-02-23 22:07:48,好看
或***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-23 10:22:42,白色的质量还可以，居然不透，但是穿黑色内衣还是能看的出来，穿浅色的内衣就还好，尺码非常合适164/52。
杯***7,主要颜色:02 浅灰色;尺码:160/84A/M,2021-02-23 09:54:04,物美价廉咯，买了两色，打底穿。不知道洗过后怎么样
岁***9,主要颜色:00 白色;尺码:160/88A/L,2021-02-22 21:23:09,就是有点透，大小合适，领子形状是我喜欢的，满意。
t***5,主要颜色:00 白色;尺码:160/88A/L,2021-02-22 21:09:19,挺好的
h***z,主要颜色:00 白色;尺码:160/84A/M,2021-02-22 16:05:33,版型风格：休闲 面料材质：很薄，比三四年前出的款要薄了。没有线头，质量还好
小***2,主要颜色:51 嫩绿色;尺码:165/92A/XL,2021-02-22 10:32:20,颜色很春天。
小***2,主要颜色:64 湖蓝色;尺码:165/92A/XL,2021-02-22 10:32:20,好看
仍***女,主要颜色:00 白色;尺码:150/76A/XS,2021-02-22 09:54:38,还行
c***1,主要颜色:00 白色;尺码:155/80A/S,2021-02-21 23:52:57,s码还是有点大。
j***7,主要颜色:02 浅灰色;尺码:160/84A/M,2021-02-21 23:38:54,短款 感觉买小了一码 留着内搭穿穿
j***7,主要颜色:00 白色;尺码:160/84A/M,2021-02-21 23:38:54,短款 感觉买小了一码 留着内搭穿穿
a***r,主要颜色:02 浅灰色;尺码:175/108C/XXXL,2021-02-21 19:38:09,很软很舒服，V领的显瘦
i***n,主要颜色:64 湖蓝色;尺码:170/100B/XXL,2021-02-21 18:27:00,好评
t***5,主要颜色:00 白色;尺码:160/84A/M,2021-02-21 14:23:42,衣服除了有一点点薄，质量都是挺好的
青***呀,主要颜色:00 白色;尺码:160/84A/M,2021-02-21 09:02:47,很舒适，是我想要的类型，质量很好，满意，如果有需要，后续还会来购买，满意
c***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-20 20:45:27,深圳这边一年要穿废6件。百搭，舒服
c***1,主要颜色:00 白色;尺码:165/92A/XL,2021-02-20 20:45:27,很好！
t***1,主要颜色:00 白色;尺码:160/88A/L,2021-02-19 22:20:36,160㎝60公斤穿这个号可以的
桃***王,主要颜色:64 湖蓝色;尺码:160/84A/M,2021-02-18 15:54:29,满意
桃***王,主要颜色:69 藏青色;尺码:160/84A/M,2021-02-18 15:54:29,满意
紫***然,主要颜色:64 湖蓝色;尺码:160/88A/L,2021-02-17 17:58:52,宝贝收到咯👌🏻，真的很棒呀！🌈质量真是没话说，非常满意！🆗开心开心😃
紫***然,主要颜色:00 白色;尺码:160/88A/L,2021-02-17 17:58:52,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
z***1,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-02-06 00:38:48,面料特别舒服
小***啦,主要颜色:00 白色;尺码:155/80A/S,2021-02-05 19:04:07,158.90穿着合适。肉色打底，不透。推荐。
l***a,主要颜色:00 白色;尺码:160/84A/M,2021-02-04 11:12:35,一件简单的白T，却有很多版型。这件是目前我最满意的一件！肩膀的设计、袖子长度，还有v领的高度，都显得干净利落，减龄效果很棒✌🏻️
琪***4,主要颜色:51 嫩绿色;尺码:170/100B/XXL,2021-02-03 08:39:27,好看
泽***6,主要颜色:51 嫩绿色;尺码:160/84A/M,2021-01-30 21:26:18,Ⅴ领，喜欢。下次再买其它的颜色。
0***0,主要颜色:64 湖蓝色;尺码:160/88A/L,2021-01-30 20:11:59,相比圆领的 有点大
c***阳,主要颜色:51 嫩绿色;尺码:160/88A/L,2021-01-30 19:01:31,挺好的，面料柔软舒适，颜色也好看
h***u,主要颜色:09 黑色;尺码:160/84A/M,2021-01-30 12:58:25,很好
卡***花,主要颜色:09 黑色;尺码:160/84A/M,2021-01-29 14:09:05,除了好，还是好
卡***花,主要颜色:64 湖蓝色;尺码:160/84A/M,2021-01-29 14:09:05,好
i***g,主要颜色:02 浅灰色;尺码:155/80A/S,2021-01-28 22:36:49,很薄的
