displayUserNick,auctionSku,rateDate,rateContent
云***楼,颜色分类:69 藏青色;尺码:180/110/XXXL,2021-02-25 17:29:07,买大2码，宽松显瘦。面料较薄，适合夏天穿或春夏内搭。
云***楼,颜色分类:31 米色;尺码:175/105/XXL,2021-02-25 17:29:07,买大1码，纯做内搭。舒适
t***2,颜色分类:09 黑色;尺码:160/90/M,2021-02-24 22:16:16,差评，买了一个手提单肩包货19号申请退款退货一直不处理。发回去了收到了还不处理。超级差评
烟***9,颜色分类:69 藏青色;尺码:180/110/XXXL,2021-02-24 18:58:52,面料柔软舒适，拍大了不想换了，宽松舒服
烟***9,颜色分类:69 藏青色;尺码:170/100/XL,2021-02-24 18:58:52,太好穿了，大爱
烟***9,颜色分类:69 藏青色;尺码:175/105/XXL,2021-02-24 18:58:52,面料很舒服，款式也很好看，内搭外穿都不错
我***1,颜色分类:00 白色;尺码:160/90/M,2021-02-23 22:58:21,好
j***6,颜色分类:09 黑色;尺码:180/110/XXXL,2021-02-23 18:52:54,好穿，实体店最大只有L码，T恤就要大的才舒服，同实体店一样质量，还会再入
金***文,颜色分类:00 白色;尺码:170/100/XL,2021-02-23 12:49:55,以为给错了尺寸，我要的是170/100，穿着正好，还不显胖，真是太好了！
忘***9,颜色分类:00 白色;尺码:160/90/M,2021-02-22 21:27:33,不错
粉***忆,颜色分类:00 白色;尺码:165/95/L,2021-02-22 15:39:22,还不错
d***5,颜色分类:00 白色;尺码:160/90/M,2021-02-21 21:25:35,舒适，好穿
小***6,颜色分类:09 黑色;尺码:160/90/M,2021-02-20 23:26:19,试穿了味道有点大面料还不错
王***3,颜色分类:11 粉红色;尺码:150/80/XS,2021-02-20 12:49:59,不错
9***s,颜色分类:00 白色;尺码:155/85/S,2021-02-20 10:35:05,好
t***2,颜色分类:00 白色;尺码:160/90/M,2021-02-16 14:56:49,超级赞
王***3,颜色分类:31 米色;尺码:150/80/XS,2021-02-15 09:25:31,不错
果***哈,颜色分类:69 藏青色;尺码:170/100/XL,2021-02-08 22:09:27,物流很快，面料舒服，宽松，适合肩宽的人。
果***哈,颜色分类:69 藏青色;尺码:170/100/XL,2021-02-06 18:22:10,第一次发顺丰，两天到，宽松款，面料舒适，点赞发货
s***y,颜色分类:00 白色;尺码:150/80/XS,2021-02-04 17:48:03,超级舒服，白色也不透！
z***1,颜色分类:09 黑色;尺码:160/90/M,2021-02-02 18:37:31,简约百搭，内搭首选，面料柔软舒适
z***1,颜色分类:00 白色;尺码:160/90/M,2021-02-02 18:37:31,简约百搭，内搭首选，面料柔软舒适
