displayUserNick,auctionSku,rateDate,rateContent
羊***9,颜色分类:00 白色;尺码:165/92A/XL,2021-02-05 18:04:53,不错
l***l,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-08 07:59:09,一直喜欢这件衣服，一直不降价，终于逮住了，特卖会，79买的，真香，留着开春穿，优衣库的衣服真心不错，值得够买呀。浪里个浪，蛮不错。
r***r,颜色分类:00 白色;尺码:160/88A/L,2020-12-13 21:21:05,质地很柔软，不是容易皱的材质，等天气暖了穿
顾***3,颜色分类:00 白色;尺码:160/88A/L,2020-09-16 12:31:51,好看面料舒服
蓉***3,颜色分类:00 白色;尺码:155/80A/S,2020-09-15 19:29:21,我觉得一般
p***0,颜色分类:00 白色;尺码:160/84A/M,2020-09-13 22:10:05,U家的T恤穿M码的，但是衬衣买M的有点紧了，下次要买大一码，质量不错，穿着舒服
黑***妖,颜色分类:00 白色;尺码:155/80A/S,2020-09-13 00:52:55,本来出差前四五天就拍了，打算出差开会穿。结果一直没发货，等我出差回来取件的，可想而知经历了多少天。很少见的优衣库效率。然后胸前领子都有别人蹭到的粉底和眉粉，自己手洗洗掉了。因为喜欢这个款，实用，就忍了。
c***0,颜色分类:69 藏青色;尺码:160/88A/L,2020-09-08 10:19:28,第一次购买，问了一下客服，感谢客服的建议。尺寸大小非常合适。以后会常来。
l***哈,颜色分类:69 藏青色;尺码:160/88A/L,2020-09-07 21:49:40,款式喜欢，就是掉色太厉害了
z***2,颜色分类:00 白色;尺码:160/84A/M,2020-09-04 20:41:47,质量好
o***8,颜色分类:69 藏青色;尺码:165/92A/XL,2020-09-03 10:44:13,衣服很好舒服，喜欢
z***n,颜色分类:12 桃红色;尺码:160/84A/M,2020-09-02 16:31:40,衣服大小合适，颜色也很正，很喜欢
佳***雨,颜色分类:00 白色;尺码:160/84A/M,2020-08-31 15:20:21,衣服很好，没想到还送了一个小礼物！
s***r,颜色分类:12 桃红色;尺码:155/80A/S,2020-08-30 05:54:49,衣服不错👍很适合现在穿，大小合适，满意！
t***2,颜色分类:09 黑色;尺码:160/88A/L,2020-08-29 15:54:18,衣服很好看啊，就是物流有点慢了
t***n,颜色分类:00 白色;尺码:160/84A/M,2020-08-27 12:08:06,原本以为货号不一样，衣服材质有差别。收到却是同款，质地什么都一样，只是换了货号，去年买的是149，今年涨价了
y***0,颜色分类:12 桃红色;尺码:160/88A/L,2020-08-25 17:46:37,挺好的。
韩***丹,颜色分类:09 黑色;尺码:160/84A/M,2020-08-24 17:07:18,快递显示签收，但是至今未收到货，联系客服2次，依然没给处理好。太差了。
c***9,颜色分类:12 桃红色;尺码:155/80A/S,2020-08-23 17:41:09,整体评价：iphone原图没有滤镜基本还原这个粉色衬衫的颜色了，灯光也有影响。 拿到手还觉得不咋地，配个米白色裙子，哇又嫩又有气质，明天就是办公室里最靓的崽！ ！
小***4,颜色分类:00 白色;尺码:165/92A/XL,2020-08-23 13:30:59,面料柔软舒适就是比较爱邹！
逆***光,颜色分类:56 橄榄色;尺码:155/80A/S,2020-08-23 12:43:41,差评，衣服大的很，165高的穿155的都大，这得多大的胖子才能穿，质量也不好。包装也差，都是很薄的袋子，像保鲜袋，不是正品。因为尺码问题退货超邮费也不补。
m***尔,颜色分类:09 黑色;尺码:165/92A/XL,2020-08-21 15:27:04,柔软细腻，比较显品质，还是不错的。
l***9,颜色分类:56 橄榄色;尺码:165/92A/XL,2020-08-20 23:31:09,好
海***心,颜色分类:00 白色;尺码:155/80A/S,2020-08-19 16:14:58,太喜欢了，一直等降价，不降就买了，穿着很舒服，等降价了再买几件
晁***n,颜色分类:00 白色;尺码:155/80A/S,2020-08-17 20:59:57,宝贝收到咯👌🏻，真的很棒呀！🌈质量真是没话说，非常满意！🆗开心开心😃
嘉***m,颜色分类:09 黑色;尺码:160/84A/M,2020-08-16 16:17:50,妈妈喜欢
梅***3,颜色分类:12 桃红色;尺码:160/88A/L,2020-08-11 19:49:11,衣服非常满意，收到货就洗水了，给5分好评！
鲁***宝,颜色分类:09 黑色;尺码:160/88A/L,2020-08-11 12:42:42,衣服料子特别软，很有质感，宽松版型非常适合哺乳期妈妈
阳***2,颜色分类:69 藏青色;尺码:160/88A/L,2020-08-11 12:16:46,妈妈很喜欢！颜色很百搭 好看
t***8,颜色分类:00 白色;尺码:155/80A/S,2020-08-10 13:52:59,很好，简单百搭，
尹***3,颜色分类:56 橄榄色;尺码:155/80A/S,2020-08-10 09:55:11,舒服～
a***q,颜色分类:00 白色;尺码:155/80A/S,2020-08-10 09:00:54,一如既往地好
景***色,颜色分类:09 黑色;尺码:155/80A/S,2020-08-09 22:04:25,面料很舒服，而且洗完晾干就不皱了，也省的去熨烫，很适合上班族~就是全黑色有点太素了，可能搭配一个胸针什么的会好看很多~
h***y,颜色分类:12 桃红色;尺码:155/80A/S,2020-08-08 18:39:35,整体评价：不错不错不错 颜色好看 显粉色  偏豆沙红 但是容易皱
l***9,颜色分类:56 橄榄色;尺码:160/88A/L,2020-08-07 13:58:25,料子很滑很舒服，版型也超美der
初***荷,颜色分类:09 黑色;尺码:155/80A/S,2020-08-05 09:43:11,挺好
花***罗,颜色分类:09 黑色;尺码:155/80A/S,2020-07-31 15:55:41,和实体店的一样，可惜没有xs，有点太大了，没办法
h***9,颜色分类:69 藏青色;尺码:165/92A/XL,2020-07-30 19:45:18,超好，妈妈满意
t***2,颜色分类:12 桃红色;尺码:160/84A/M,2020-07-28 13:49:19,太舒服面料柔软
熊***猫,颜色分类:09 黑色;尺码:160/88A/L,2020-07-26 22:59:51,物美价廉
熊***猫,颜色分类:00 白色;尺码:160/88A/L,2020-07-26 22:59:51,物美价廉
k***0,颜色分类:69 藏青色;尺码:160/88A/L,2020-07-26 15:18:42,好看，薄
c***9,颜色分类:09 黑色;尺码:160/88A/L,2020-07-24 12:16:39,很时尚，还很百搭，质量也很棒，就是价格贵 没有活动
l***4,颜色分类:00 白色;尺码:160/88A/L,2020-07-24 10:00:06,很好👌
何***0,颜色分类:12 桃红色;尺码:155/80A/S,2020-07-22 08:47:40,面料很丝滑，穿上很舒服😊
t***0,颜色分类:00 白色;尺码:155/80A/S,2020-07-20 13:08:04,穿着很舒服
g***h,颜色分类:12 桃红色;尺码:155/80A/S,2020-07-19 21:07:13,回购，面料柔软舒服，现在穿也不会觉得热，颜色比图片略深，偏灰紫，耐看。150，42公斤，XS和S码都合适。
盛***8,颜色分类:09 黑色;尺码:165/92A/XL,2020-07-18 21:59:24,之前在实体店买过一件，这次感觉质量不一样了呢？网上和实体店价格没任何区别和优惠。
迷***8,颜色分类:00 白色;尺码:155/80A/S,2020-07-18 15:25:12,白衬衫看着简单，穿上很服帖，柔软舒适，只从去年买了优衣库衬衫以来，一发不可收拾，长袖短袖前前后后一共买了6件，可供选择的颜色再多点就好了。170高，118斤，s号刚好。
颜***3,颜色分类:12 桃红色;尺码:160/84A/M,2020-07-18 12:32:22,老顾客了，性价比超高，买了4套了
羊***1,颜色分类:00 白色;尺码:160/84A/M,2020-07-18 11:18:31,跟实体店看到的一样，很好看，穿着很舒服。
龙***娅,颜色分类:12 桃红色;尺码:165/92A/XL,2020-07-18 10:26:53,给爸妈买的，他们很喜欢，竟然大小也很合适，他们年龄大了，越来越喜欢穿这种宽松舒适的衣裤，很不错。给爸妈买的，他们很喜欢，竟然大小也很合适，他们年龄大了，越来越喜欢穿这种宽松舒适的衣裤，很不错。给爸妈买的，他们很喜欢，竟然大小也很合适，他们年龄大了，越来越喜欢穿这种宽松舒适的衣裤，很不错。
刁***o,颜色分类:12 桃红色;尺码:160/88A/L,2020-07-16 23:18:17,衣服不错，垂顺，缺点是圧到的地方会有点皱，洗完又好了，价格小贵
t***i,颜色分类:12 桃红色;尺码:160/84A/M,2020-07-15 15:22:13,还行
青***1,颜色分类:12 桃红色;尺码:165/92A/XL,2020-07-14 17:31:25,此用户没有填写评论!
叉***x,颜色分类:00 白色;尺码:160/84A/M,2020-07-12 09:36:07,舒服
风***2,颜色分类:00 白色;尺码:155/80A/S,2020-07-11 07:41:18,领口太低，穿着也一般
李***东,颜色分类:12 桃红色;尺码:160/88A/L,2020-07-10 08:15:11,好好好好好好好好好好好好好好
追***9,颜色分类:12 桃红色;尺码:165/92A/XL,2020-07-09 14:13:09,整体评价：提肤色 厚薄度：夏天穿正好 上身效果：气质款
迟***友,颜色分类:56 橄榄色;尺码:160/88A/L,2020-07-09 13:20:26,此用户没有填写评论!
犄***2,颜色分类:56 橄榄色;尺码:160/88A/L,2020-07-07 21:50:47,买了一件又一件了，一切尽在不言中
t***0,颜色分类:00 白色;尺码:160/88A/L,2020-07-07 12:50:25,很舒服 买了三个颜色
t***0,颜色分类:56 橄榄色;尺码:160/88A/L,2020-07-07 12:50:25,第二次回购了
n***2,颜色分类:00 白色;尺码:155/80A/S,2020-07-06 16:49:02,很喜欢，不错
小***0,颜色分类:09 黑色;尺码:160/84A/M,2020-07-06 11:34:01,拍了1白1黑，白的有点透，退了，留下黑色，整体可以的
南***天,颜色分类:09 黑色;尺码:160/84A/M,2020-07-05 17:55:34,基础百搭，挺好的
小***6,颜色分类:00 白色;尺码:160/88A/L,2020-07-04 15:56:40,尺码推荐：160，124L码可以的 整体评价：很显瘦，不是很透
霸***姐,颜色分类:00 白色;尺码:155/80A/S,2020-07-04 14:46:20,他家衬衫真的没的说很百搭
一***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-04 10:51:16,此用户没有填写评论!
h***n,颜色分类:00 白色;尺码:165/92A/XL,2020-07-02 20:09:41,好
l***慢,颜色分类:00 白色;尺码:160/88A/L,2020-07-02 20:07:17,整体评价：喜欢 尺码推荐：164cm，52kg，L码稍稍宽松 厚薄度：薄 面料品质：亲肤  上身效果：看图
h***6,颜色分类:12 桃红色;尺码:160/84A/M,2020-07-02 11:01:24,好像还行的，哈哈哈不错
雨***z,颜色分类:56 橄榄色;尺码:160/88A/L,2020-06-30 16:34:18,还可以，除了感觉衣服有点短
我***5,颜色分类:00 白色;尺码:155/80A/S,2020-06-30 12:12:08,商品型号、尺寸相同，但是跟实体店的版型！大小都差太多！联系客服也只有自动回复。大家可以看图片，黑色是我实体店买的，白色是网上买的。面料虽然一致，版型也差太多了吧！冲着实体店买的觉得好看才再入的
西***泥,颜色分类:00 白色;尺码:160/88A/L,2020-06-29 23:29:58,高173重60梨形，l码很合适 不易皱，有点透，料子不错
