displayUserNick,auctionSku,rateDate,rateContent
丰***7,颜色分类:00 白色;尺码:160/88A/L,2021-02-26 21:09:55,很实用的白衬衫
我***0,颜色分类:00 白色;尺码:160/84A/M,2021-02-26 13:51:25,很舒服~材质很好
凯***5,颜色分类:00 白色;尺码:165/92A/XL,2021-02-25 22:04:26,透，衣服打底不错，就是吊牌上如何洗涤都是图标，没有文字说明
翁***牙,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-25 15:31:14,多次购买
w***e,颜色分类:00 白色;尺码:160/84A/M,2021-02-25 11:46:15,衣服非常好，谢谢快递小哥，还给送到家
小***7,颜色分类:00 白色;尺码:165/92A/XL,2021-02-24 21:14:42,满意
陈***尔,颜色分类:00 白色;尺码:170/100B/XXL,2021-02-22 21:49:52,满意！是我想要的材质，特别舒服的面料！
口***为,颜色分类:09 黑色;尺码:155/80A/S,2021-02-22 21:46:34,非常好，喜欢好评！
1***y,颜色分类:00 白色;尺码:150/76A/XS,2021-02-22 20:27:50,质量真的不咋的，买来叠穿大衣的，因为没型没发叠穿，太薄了，不值这个价
l***o,颜色分类:00 白色;尺码:160/84A/M,2021-02-22 15:15:18,很是喜欢～
j***n,颜色分类:00 白色;尺码:150/76A/XS,2021-02-21 14:45:45,喜欢优衣库
x***9,颜色分类:00 白色;尺码:165/92A/XL,2021-02-21 12:03:43,衬衣面料非常柔软
小***7,颜色分类:00 白色;尺码:155/80A/S,2021-02-21 07:54:38,心心念念的优衣库经典白衬衫终于来一件了
g***1,颜色分类:00 白色;尺码:160/84A/M,2021-02-19 23:57:16,优衣库一如既往地好优衣库一如既往地好优衣库一如既往地好，好评说三遍！
m***9,颜色分类:00 白色;尺码:155/80A/S,2021-02-17 10:28:53,此用户没有填写评论!
冷***0,颜色分类:00 白色;尺码:160/88A/L,2021-02-16 11:59:43,很好
林***3,颜色分类:00 白色;尺码:155/80A/S,2021-02-16 09:41:34,一如既往的好！
j***0,颜色分类:00 白色;尺码:160/88A/L,2021-02-14 22:12:44,买了两件了，穿着舒服，喜欢。
飞***3,颜色分类:00 白色;尺码:160/84A/M,2021-02-13 08:38:41,质量很好很好，快递神速！
w***4,颜色分类:00 白色;尺码:160/88A/L,2021-02-11 16:10:03,就是有点透
l***3,颜色分类:00 白色;尺码:160/88A/L,2021-02-11 06:26:50,不错
静***5,颜色分类:00 白色;尺码:160/84A/M,2021-02-10 22:15:55,衬衣不错，穿着很合适，喜欢
快***o,颜色分类:00 白色;尺码:160/84A/M,2021-02-10 07:58:24,是丝绸质感的衬衣，感觉有点薄
源***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 15:44:14,面料光滑柔软，上身很舒适165～48穿M刚刚好
h***d,颜色分类:00 白色;尺码:150/76A/XS,2021-02-09 07:42:20,面料舒服。样式便于搭配，已经买了4件。
潇***天,颜色分类:00 白色;尺码:160/88A/L,2021-02-08 15:36:13,大小合适   宽松款   面料舒服不容易皱   满意
l***逛,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 00:10:42,不错，挺好的，丝滑，舒服，有垂感
t***8,颜色分类:00 白色;尺码:150/76A/XS,2021-02-07 15:15:58,买了最小码 贴身的合身除了袖子稍微短了一点 布料有点透 很舒服 也有点易皱。
z***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 08:09:47,衬衫还是黑色的好看，百搭
申***建,颜色分类:00 白色;尺码:165/92A/XL,2021-02-06 21:24:21,早就想买了，今次下手了
清***5,颜色分类:00 白色;尺码:160/88A/L,2021-02-06 14:03:21,出乎意料的好。
w***6,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-06 09:55:06,材质挺好的
a***y,颜色分类:00 白色;尺码:155/80A/S,2021-02-06 08:24:07,除了微微透 没毛病
h***0,颜色分类:00 白色;尺码:160/84A/M,2021-02-05 21:43:25,每年买一件！穿的舒服！
俊***的,颜色分类:09 黑色;尺码:160/84A/M,2021-02-05 21:22:16,门店对待自提的顾客的产品就是乱塞，拿出来的衬衣皱不拉几，各种不耐烦
刘***5,颜色分类:61 水蓝色;尺码:165/92A/XL,2021-02-05 08:55:25,不错，妈妈喜欢
b***g,颜色分类:00 白色;尺码:165/92A/XL,2021-02-04 23:43:12,喜欢
源***9,颜色分类:09 黑色;尺码:160/84A/M,2021-02-04 16:30:23,面料柔软舒适，还没穿不知道洗完之后需不需要熨烫
z***9,颜色分类:09 黑色;尺码:160/84A/M,2021-02-03 16:24:32,很好。
s***y,颜色分类:00 白色;尺码:155/80A/S,2021-02-02 15:22:36,厚薄度：春秋薄款  面料品质：穿着透气舒适
杜***c,颜色分类:00 白色;尺码:160/84A/M,2021-02-02 11:04:57,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
t***9,颜色分类:00 白色;尺码:165/92A/XL,2021-02-02 10:07:01,面料很舒服很好
t***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-02 10:07:01,面料很舒服很好
我***2,颜色分类:61 水蓝色;尺码:165/92A/XL,2021-02-01 21:12:41,&hellip;&hellip;客服态度太差。总是不回。回了就是答非所问。来回换客服。就是不回答你的相关问题
c***n,颜色分类:00 白色;尺码:160/88A/L,2021-02-01 18:51:52,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
t***3,颜色分类:00 白色;尺码:160/84A/M,2021-02-01 18:24:58,衣服质量挺好的，哪哪都好，邮政快递最好换换
孙***妮,颜色分类:61 水蓝色;尺码:160/88A/L,2021-02-01 06:22:46,最漂亮的一件衬衫，气质清冷。
隐***人,颜色分类:00 白色;尺码:160/84A/M,2021-01-31 16:08:30,搞活动回购 不用熨烫 洗完就有型 很舒服贴身 白色干净透亮
l***0,颜色分类:00 白色;尺码:160/88A/L,2021-01-31 11:43:16,疫情期间还可以收到😜
依***冉,颜色分类:00 白色;尺码:160/84A/M,2021-01-30 22:49:21,宝贝与图片相符，挺好的
夏***g,颜色分类:00 白色;尺码:165/92A/XL,2021-01-30 15:24:21,拿来配衣服还行，很薄。
祭***左,颜色分类:00 白色;尺码:165/92A/XL,2021-01-29 11:39:11,透还是有一点透的，在想要不要搭个吊带在里面
m***n,颜色分类:00 白色;尺码:150/76A/XS,2021-01-29 11:17:11,很好
浮***8,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-28 19:56:37,真好，合适！一直钟情优衣库的衬衫，无皱褶，手感柔软，有需会再来！
