displayUserNick,auctionSku,rateDate,rateContent
w***4,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-26 18:57:36,很好！！！！
晨***0,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-26 18:04:34,整体评价：大小尺码合适，穿着很舒服，发货快
t***2,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-26 08:16:34,质量挺好的，穿着舒服
开***式,颜色分类:42 浅黄色;尺码:160/88A/L,2021-02-25 17:28:16,旗舰店服务确实不咋滴，但是衣服穿着挺好。170/120供参考
c***2,颜色分类:42 浅黄色;尺码:160/84A/M,2021-02-25 11:41:02,颜色好看，面料舒服
t***5,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-24 20:59:39,质量很好摸起来很舒服(๑&bull; . &bull;๑)版型一致 就是穿起来有点像阿姨&hellip;（？ 以及购物车里一件优衣库衣服刚放进去没多久忽然降价了50元 我就挺懵 就怕自己这件刚买转身就降价50那我心态也是炸了 总之还是好评啦～
喀***象,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 16:23:23,乳白色稍偏黄，版型很好。尺码参考：168/53 S 合身
张***8,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-23 20:16:26,建议按平时码买，买小了会太短。
宝***8,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-23 19:26:08,不愧是大牌，值得拥有。
小***5,颜色分类:42 浅黄色;尺码:155/80A/S,2021-02-23 19:20:49,推荐买 上身效果舒服
最***七,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 18:52:56,有点黄
千***4,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-02-23 15:23:31,面料舒服 ，无色差，款式大方优雅，爱咯🥰🥰
t***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-23 10:55:49,非常好妈妈两个颜色都喜欢
t***1,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-02-23 10:55:49,非常好，妈妈两个颜色都喜欢
冰***6,颜色分类:42 浅黄色;尺码:160/88A/L,2021-02-22 19:48:34,好看！美中不足就是容易皱
猪***8,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-22 19:42:54,给妈妈买的，妈妈很喜欢，我也很开心
哈***次,颜色分类:42 浅黄色;尺码:165/92A/XL,2021-02-22 14:07:06,和实体店的一样，料子舒服，简单大方
喜***菲,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 13:18:41,超级温柔的颜色，太太太适合春天了，面料也非常舒服，就是有点透，需要穿打底或者肉色内衣
n***n,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-02-21 22:10:30,好评
j***n,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-21 14:45:29,优衣库老粉
d***r,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 09:13:09,休闲
t***1,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-20 21:36:42,直接上图。这是店里试的s，有点大，网店买的xs，完美！
保***5,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-20 15:15:49,很温柔的颜色
t***4,颜色分类:42 浅黄色;尺码:160/84A/M,2021-02-19 12:03:22,满意，很好看，面料很好
小***x,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-16 23:24:58,有线头，不甩干洗后容易皱，
诗***5,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-16 17:04:39,整体评价：宽松 尺码推荐：163/48梨形身材穿s 厚薄度：薄 面料品质：超好，不变形，色彩温柔，近奶油色 上身效果：深米色裙很搭
野***1,颜色分类:42 浅黄色;尺码:155/80A/S,2021-02-16 11:49:30,很舒适 应该买大一号 图一颜色更符合
吃***儿,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-14 13:34:08,整体评价：淘宝清空购物车中到的衣服哈哈哈哈！但如果是花钱买我会觉得性价比不高，不推荐黄皮购买这个乳白色（我觉得这个色带奶油黄）显黑且气色不好。只能化妆穿，所以不是很日常。 尺码推荐：172cm52kg拍M略宽松，长度也合适，七分袖适合初夏穿还算不错 厚薄度：很薄，很容易皱，应该需要每次都熨烫，要不然就皱巴巴不好看 面料品质：棉麻一样的面料，但有点透，需要肉色内衣或者穿吊带打底
e***夕,颜色分类:42 浅黄色;尺码:155/80A/S,2021-02-11 00:33:10,很好看
果***h,颜色分类:42 浅黄色;尺码:160/84A/M,2021-02-09 11:45:04,挺好的，就是洗过后皱，要烫了才穿得。以为洗过后会平整，并不是，可能直接水里捞起不扭它会好一点。我是洗了以后烫过的样子
x***6,颜色分类:42 浅黄色;尺码:150/76A/XS,2021-02-07 14:34:50,整体评价：爱*这个颜色了，不过棉麻的，洗了后缩水，而且好皱。
王***6,颜色分类:42 浅黄色;尺码:175/108C/XXXL,2021-02-07 14:09:18,颜色很好看，特意买了大一些的穿起来更舒服，非常喜欢！
