displayUserNick,auctionSku,rateDate,rateContent
苦***子,颜色分类:33 卡其色;尺码:160/84A/M,2021-02-25 17:40:04,面料特别好，穿着简约大气，超赞！
士***土,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-25 13:06:48,面料非常舒服，好看
y***a,颜色分类:09 黑色;尺码:160/88A/L,2021-02-24 20:14:09,又快又好！
冷***p,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-23 18:00:33,好看的衣服都可以搭配 舒服 好搭配 搭配这家的裙子也挺好看的
薇***咪,颜色分类:59 墨绿色;尺码:160/84A/M,2021-02-23 16:17:43,这款看着一般，但穿上感觉很飒！这季u系列买了4件都很好看！
酸***t,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-19 19:02:43,挑来挑去，选的黑色，我太喜欢黑衬衫了，庄严感爆棚！
e***g,颜色分类:33 卡其色;尺码:150/76A/XS,2021-02-17 23:43:56,一开始觉得版型奇怪，上身后很喜欢！面料很有光泽
迪***姐,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-15 01:08:26,质量比想象中的好，比较厚实，早春穿应该会很好
z***9,颜色分类:33 卡其色;尺码:160/84A/M,2021-02-10 01:59:36,好看，舒服～
t***7,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-09 23:11:03,最满意的一次购物，发货快，衣服裤子都很合身，优衣库真不错～
小***话,颜色分类:59 墨绿色;尺码:150/76A/XS,2021-02-08 18:04:39,很显白，布料柔顺厚实，洗了完全不皱
轻***山,颜色分类:33 卡其色;尺码:150/76A/XS,2021-02-06 16:12:17,面料有垂感，略带光泽，穿着舒适。
阳***9,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-04 20:20:05,挺好的，质量不错
l***0,颜色分类:33 卡其色;尺码:155/80A/S,2021-02-04 18:18:54,版型不错
我***4,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-02 15:57:59,衣服质量很好、穿上有质感，偏宽松，本人身高158，体重104斤穿xs正好。
l***x,颜色分类:09 黑色;尺码:155/80A/S,2021-02-02 01:17:26,质感很好，有一定的厚度，161/肩宽37穿这个码合适的。
呜***a,颜色分类:09 黑色;尺码:150/76A/XS,2021-01-31 09:50:28,黑色拍不出效果  贴身穿不会觉得不舒服 稍有厚度的棉质  **人所有U系列买最小码就对了
疏***7,颜色分类:30 浅米色;尺码:150/76A/XS,2021-01-29 17:47:49,浅米色，实物比图片好看100倍！ 优衣库模特穿得太*板了。不要扣最上面的两三颗扣子！穿起来效果很好！又洒脱随性又有型的感觉！丝光棉有一定的亮度和厚度，给人很有质感的感觉，印象中有些大牌也有类似的设计。唯一不足可能是比较易皱，棉的嘛，不过只要洗完就挂起来，应该还好。。。太有质感了，剪裁也特别好，不输大牌，太惊喜了！
饼***9,颜色分类:33 卡其色;尺码:150/76A/XS,2021-01-28 13:54:25,最惊喜的是这件
不***加,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-27 17:39:59,面料很喜欢，上身也看着不错。
s***t,颜色分类:33 卡其色;尺码:150/76A/XS,2021-01-24 15:55:18,此用户没有填写评论!
s***t,颜色分类:30 浅米色;尺码:150/76A/XS,2021-01-23 14:22:44,非常好，有厚度有光泽感，穿上觉得很精神帅气
