displayUserNick,auctionSku,rateDate,rateContent
x***p,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-27 11:08:44,很喜欢
l***3,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-26 15:25:38,非常推荐 不输大牌 买了两个颜色 看大家买米色居多 我更推荐翠绿色 真的很有风格 单穿或配西装 T恤叠穿都非常OK 赶快下手
l***3,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-26 15:25:38,非常推荐 不输大牌 看大家买米色居多 我更推荐翠绿色 真的很有风格 单穿或配西装 T恤叠穿都非常OK 赶快下手
t***8,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-26 15:16:22,还没穿，不过质感不错
y***圆,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-26 14:18:54,去年等打折买了这个款，尺码和颜色都没有很合适的了，今年早买早选，姜黄色显白又好看。
雪***烟,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-26 12:50:27,不错，码数刚好
晴***泽,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-25 13:52:35,衣服是全棉的，做工是真的很好，版型偏大，可以买小一点，满意。
晴***泽,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-25 13:47:40,满意，换货等售后很负责，客服也很好
t***1,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-25 13:18:36,很阳光显白的颜色好喜欢呀
火***9,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-25 11:51:07,衬衫偷 要穿打底 皱巴巴的
b***e,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-25 11:06:10,颜色好看！
o***7,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-25 10:23:22,颜色很显白，轻薄透气！
i***2,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-25 10:07:53,白色很透
z***1,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-25 09:36:19,好看的颜色
水***8,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-25 08:45:39,衬衫各种满意，很不错质量非常好，非常满意的一次购物。客服有问必答，非常专业
