displayUserNick,auctionSku,rateDate,rateContent
t***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-26 18:14:22,好
茶***釉,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-23 07:56:28,非常不错～
翦***韭,颜色分类:61 水蓝色;尺码:160/88A/L,2021-02-22 22:19:36,尺码偏大，水蓝色好看的，很适合春天
牛***头,颜色分类:61 水蓝色;尺码:155/80A/S,2021-02-22 07:21:04,轻薄 柔软 很清新 穿着也舒服 但需要搭配
s***8,颜色分类:61 水蓝色;尺码:160/84A/M,2021-02-21 13:46:41,质量好，款式随性，很喜欢
s***y,颜色分类:61 水蓝色;尺码:155/80A/S,2021-02-17 19:25:36,中规中矩吧
j***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-17 10:24:24,吊肩袖暗格纹，非常的好看，160，106斤，上身瘦小宽松
我***个,颜色分类:61 水蓝色;尺码:150/76A/XS,2021-02-15 10:40:57,厚薄度：薄 尺码推荐：160体重90
杨***9,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-10 16:00:25,非常喜欢！衣服有点大了，但是感觉大了也挺好看的！有点透，但是在可接受范围之内，属于简单耐看款，过年穿是冷了点，留着期待春暖花开的季节美美哒吧
h***8,颜色分类:61 水蓝色;尺码:170/100B/XXL,2021-02-08 16:47:27,好评
h***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-07 16:24:09,好看！纯棉面料亲肤舒适，很轻薄，夏天也可以穿。有暗格，落肩，前短后长的设计很洋气。单穿内搭都优秀，本来想买那款云朵衫做内搭，但是这个远比云朵衫要香！因为纯棉所以爱皱不能避免，但是，不重要，依然很香！
s***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 19:27:01,薄款，有点透，但有筋骨。暗格纹，溜肩线，很法式很好看！！！
