displayUserNick,auctionSku,rateDate,rateContent
k***n,颜色分类:09 黑色;尺码:160/84A/M,2021-02-27 09:15:33,好好好
t***9,颜色分类:00 白色;尺码:155/80A/S,2021-02-26 22:30:38,立挺一些，偏紧身，肩膀感觉有点包住
不***5,颜色分类:00 白色;尺码:160/88A/L,2021-02-23 22:37:02,面料轻薄 非常合身 显瘦
e***i,颜色分类:00 白色;尺码:160/84A/M,2021-02-23 20:30:10,挺好的，尺码合适！
t***1,颜色分类:00 白色;尺码:150/76A/XS,2021-02-23 16:04:10,白领丽人
要***名,颜色分类:00 白色;尺码:160/84A/M,2021-02-23 08:42:31,很好穿，很舒服，质量不错
b***5,颜色分类:00 白色;尺码:170/100B/XXL,2021-02-22 23:10:52,整体评价：很好穿！ 面料品质：超舒服！！ 上身效果：买大了
口***为,颜色分类:00 白色;尺码:160/84A/M,2021-02-22 21:45:53,买了大一号的，好像也可以穿，好评？
莫***七,颜色分类:00 白色;尺码:155/80A/S,2021-02-22 11:14:56,很好，有点弹性穿起来就非常舒服了
常***鸟,颜色分类:00 白色;尺码:155/80A/S,2021-02-21 15:13:08,整体可以，这个价格挺合适
s***y,颜色分类:00 白色;尺码:150/76A/XS,2021-02-18 22:01:49,大小挺合适，面料不是很硬挺的那种，比较柔软轻薄，滑滑的感觉。摸起来不是纯棉的手感，拉扯有弹力
r***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-06 22:05:36,很舒服，喜欢。
t***9,颜色分类:00 白色;尺码:165/92A/XL,2021-02-02 10:07:01,面料很舒服很好
t***9,颜色分类:00 白色;尺码:160/88A/L,2021-02-02 10:07:01,面料很舒服很好
