displayUserNick,auctionSku,rateDate,rateContent
2***g,颜色分类:08 深灰色;尺码:165/92A/XL,2020-12-12 12:48:16,版型更休闲
黄***i,颜色分类:08 深灰色;尺码:160/84A/M,2020-12-08 12:34:45,不错
佩***1,颜色分类:08 深灰色;尺码:160/84A/M,2020-11-15 16:10:56,虽然比较贵，但是版型挺好，对于小个子比较友好
传***卿,颜色分类:08 深灰色;尺码:160/88A/L,2020-11-10 15:05:09,是带条纹的，很喜欢
t***6,颜色分类:05 天灰色;尺码:165/92A/XL,2020-11-08 13:11:54,说好的11月3号的有送云朵包，第一时间下单，完事没有赠品，还没有客服解释，看到机器回复就气！第一次遇到这种不把服务放在心里的商家，都想爆粗口，店大欺人是吗？我都不信了第一时间下单的都没有赠品，那不就是虚假活动
璐***黄,颜色分类:08 深灰色;尺码:155/80A/S,2020-10-29 14:02:08,nice
翅***风,颜色分类:05 天灰色;尺码:160/84A/M,2020-10-15 16:47:10,版型太棒啦！就像为我量身定做的一样，值得入！
t***4,颜色分类:08 深灰色;尺码:155/80A/S,2020-10-11 11:51:46,好穿的
好***1,颜色分类:05 天灰色;尺码:160/88A/L,2020-10-09 00:20:34,不错
傻***0,颜色分类:05 天灰色;尺码:165/92A/XL,2020-10-07 14:32:28,合适 不透明 还好 好 没有
罗***2,颜色分类:08 深灰色;尺码:160/84A/M,2020-10-04 10:30:49,购买第二件了，相信优衣库的衣服好看，舒服，大方。主要用来工作的。为了挣淘气值。
吕***7,颜色分类:05 天灰色;尺码:160/84A/M,2020-09-29 14:24:00,好好好好非常喜欢！！
风***9,颜色分类:05 天灰色;尺码:160/84A/M,2020-09-29 13:28:54,颜色有点深，布料有点薄，适合夏末初秋，版型好看
q***0,颜色分类:05 天灰色;尺码:160/84A/M,2020-09-29 09:13:29,真的好看
j***3,颜色分类:69 藏青色;尺码:160/88A/L,2020-09-15 09:27:39,可以
z***a,颜色分类:08 深灰色;尺码:165/92A/XL,2020-09-11 21:08:29,此用户没有填写评论!
玫***想,颜色分类:05 天灰色;尺码:165/92A/XL,2020-08-26 05:14:13,我买的平时的号码 宽松舒服 当休闲的感觉穿吧 不喜欢紧绷的效果 天灰色 百搭 可咸可甜
t***3,颜色分类:69 藏青色;尺码:160/88A/L,2020-07-10 20:30:13,衣服挺好的，但是换货太痛苦了，实体店没货，网点必须退了重新买，过于奇葩，我放弃换货了。
沉***猫,颜色分类:09 黑色;尺码:160/88A/L,2020-06-19 20:51:26,很好
z***1,颜色分类:69 藏青色;尺码:155/80A/S,2020-06-15 14:15:08,质量没得说，尺码合适，原价就原价喽～帅就完事了～
4***i,颜色分类:05 天灰色;尺码:155/80A/S,2020-06-14 00:59:14,西装本身好，里面衬衫没想好怎么搭，有垫肩感觉还是有点不适应
t***4,颜色分类:05 天灰色;尺码:160/88A/L,2020-06-02 16:59:11,做工好，衣型好，颜色正，尺寸合适。满意！
y***3,颜色分类:08 深灰色;尺码:170/100B/XXL,2020-05-28 13:16:21,整体评价：相对优衣库别的款式比较修身的了 面料材质：面料材质也是不容易起皱的 版型风格：属于正装类的了，面试可以用
i***e,颜色分类:09 黑色;尺码:155/80A/S,2020-05-21 00:37:48,整体评价：除了贵点 是满意的西装外套了 很早看中了 一直在购物车放着 结果还是喜欢这个版型的就买了 面料材质：面料不厚不薄 版型风格：版型很好 不会显得太死板 很合身 搭配建议：买来准备上班穿的 不过觉得可以搭配裙子更显活力 我的身高体重：163 50
m***l,颜色分类:05 天灰色;尺码:155/80A/S,2020-05-19 07:54:54,除了贵 没毛病
b***5,颜色分类:69 藏青色;尺码:160/84A/M,2020-05-18 18:34:24,挺好的，要是再薄一点就更好了！
浅***9,颜色分类:05 天灰色;尺码:155/80A/S,2020-05-14 17:28:06,很好看，面料感觉很舒服，滑滑的，就是有点小贵。
d***e,颜色分类:05 天灰色;尺码:160/84A/M,2020-05-12 06:50:46,大小合适，好看，平时穿也好，灰色不会很像工作服啦
