displayUserNick,auctionSku,rateDate,rateContent
路***娜,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-12 15:22:40,新年快乐🎉🎆。🌹🌹🌹好好好超级赞赞赞👍👍👍👍送货及时
t***5,颜色分类:54 绿色;尺码:160/84A/M,2020-12-15 08:16:36,衣服没看，是给家里人买的。什么双十一优惠活动，建议朋友们根本没必要参加。每次客服问了半天没人回复，隔三差五回复一句不是避重就轻文不对题，就是复制粘贴敷衍了事。如遇尺码颜色不合适的直接退不用问客服。还有搞价格歧视衣服买了没有30天，同款衣服另开个链接直接降价50元
t***5,颜色分类:69 藏青色;尺码:165/92A/XL,2020-12-12 15:02:01,衣服质量不错，我非常喜欢
t***8,颜色分类:03 灰色;尺码:160/88A/L,2020-12-12 12:24:08,好看！
栩***乐,颜色分类:54 绿色;尺码:155/80A/S,2020-12-12 12:06:04,此用户没有填写评论!
快***6,颜色分类:54 绿色;尺码:165/92A/XL,2020-12-11 19:31:16,此用户没有填写评论!
l***5,颜色分类:54 绿色;尺码:160/84A/M,2020-12-11 07:34:01,质量非常好
e***4,颜色分类:01 乳白色;尺码:160/84A/M,2020-12-10 21:28:42,买来明年夏天穿的，有活动先入手，优衣库的防晒衣没话说，防晒透气都很好，不会出错，好评
尖***咸,颜色分类:01 乳白色;尺码:160/88A/L,2020-12-09 23:15:37,白色不好 变黄了！双十一买的 才快一个月
s***e,颜色分类:09 黑色;尺码:155/80A/S,2020-12-09 09:21:17,买小了，退换太麻烦了，明显是不愿你换。
黄***5,颜色分类:03 灰色;尺码:160/88A/L,2020-12-06 14:43:15,衣服很不错，收起来了，夏天的时候拿出来穿，也是想买很久了，趁双十一有优惠
爱***孩,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-04 15:59:54,东西很喜欢，以后会回购。这是一个很好的好评模板， 因为本人很懒，不想每一个产品都写评语！但产品肯定是很喜欢的，因为不喜欢的话就会变成喋喋不休的抱怨书产品本人是很认可的，所以才会启用这个好评模板。
安***鬼,颜色分类:01 乳白色;尺码:165/92A/XL,2020-12-03 09:49:00,很不错
肖***萍,颜色分类:01 乳白色;尺码:160/88A/L,2020-12-03 07:23:56,不错 不过买贵了 唉 后面就降价了
木***n,颜色分类:54 绿色;尺码:165/92A/XL,2020-12-02 16:56:18,第N次买了，这次帮别人买的，如常好评。
慢***药,颜色分类:01 乳白色;尺码:165/92A/XL,2020-12-02 14:54:39,每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去
t***5,颜色分类:54 绿色;尺码:165/92A/XL,2020-12-02 05:49:57,此用户没有填写评论!
城***玲,颜色分类:09 黑色;尺码:160/84A/M,2020-12-01 20:06:38,优衣库客服永远都是垃圾
雨***3,颜色分类:54 绿色;尺码:165/92A/XL,2020-12-01 13:55:56,双十一买超级便宜！
若***9,颜色分类:69 藏青色;尺码:160/84A/M,2020-11-30 17:53:28,双十一买的好划算，很喜欢，优衣库的质量没话说，特别好
p***7,颜色分类:01 乳白色;尺码:160/84A/M,2020-11-30 12:57:11,特别好
b***8,颜色分类:54 绿色;尺码:170/100B/XXL,2020-11-29 15:51:05,此用户没有填写评论!
z***0,颜色分类:54 绿色;尺码:160/84A/M,2020-11-29 12:23:38,大小正好合适，面料比皮肤衣厚实一点颜色也蛮喜欢的。
孔***3,颜色分类:54 绿色;尺码:160/84A/M,2020-11-28 17:20:17,一般般
1***e,颜色分类:54 绿色;尺码:160/88A/L,2020-11-28 16:56:57,质量很好，165/55，L码更舒服，
t***0,颜色分类:54 绿色;尺码:160/88A/L,2020-11-28 07:06:46,还可以。。。。。。。。。。
w***8,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-27 19:31:37,颜色款式都不错
少***2,颜色分类:54 绿色;尺码:160/84A/M,2020-11-27 13:43:29,不错
童***j,颜色分类:01 乳白色;尺码:160/84A/M,2020-11-27 13:14:24,非常好
1***n,颜色分类:09 黑色;尺码:160/88A/L,2020-11-27 12:47:29,天天穿，防风防尘
鱼***哈,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-27 12:27:43,多次回购，各种颜色
一***7,颜色分类:03 灰色;尺码:165/92A/XL,2020-11-27 09:11:54,终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的
e***7,颜色分类:01 乳白色;尺码:160/88A/L,2020-11-26 22:35:59,这衣服也真奇了怪，一时一个价格。让人看不懂。
y***活,颜色分类:54 绿色;尺码:160/84A/M,2020-11-26 22:00:30,面料轻薄，版型相当好，颜色证，生身效果好，双十一卖很划算，优衣库的衣服真好。
秦***猫,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-26 21:19:10,不错
w***0,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-26 16:44:05,买小了换大一码，优衣库换货退差价速度还是很快。
f***4,颜色分类:54 绿色;尺码:160/88A/L,2020-11-26 11:24:11,尺码很合适 做工精细 没有色差
f***4,颜色分类:01 乳白色;尺码:160/88A/L,2020-11-26 11:16:15,比别的牌好多了，不算透，款型也好看 尺码 合适 无色差 做工和质量都非常好
m***g,颜色分类:54 绿色;尺码:160/88A/L,2020-11-25 22:54:06,不错的，偏小
y***下,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-25 22:54:00,很好穿～
y***n,颜色分类:54 绿色;尺码:160/84A/M,2020-11-25 22:02:20,颜色很好看
可***i,颜色分类:01 乳白色;尺码:160/88A/L,2020-11-25 11:59:41,非常好，满意。
a***h,颜色分类:54 绿色;尺码:160/88A/L,2020-11-25 11:45:22,我妈蹲了几个月终于等到降价
e***6,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-24 19:45:15,还不错
出***格,颜色分类:01 乳白色;尺码:155/80A/S,2020-11-24 16:38:33,有点小贵，不是搞活动都下不了手呀
g***6,颜色分类:54 绿色;尺码:160/88A/L,2020-11-24 15:07:46,双11购，优惠。衣服挺好的。
曾***7,颜色分类:54 绿色;尺码:160/84A/M,2020-11-24 11:36:49,好看好穿满意
阿***8,颜色分类:54 绿色;尺码:160/88A/L,2020-11-24 10:06:25,此用户没有填写评论!
q***w,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-23 21:36:42,颜色正
l***6,颜色分类:01 乳白色;尺码:160/88A/L,2020-11-23 20:32:50,白色好看
t***2,颜色分类:54 绿色;尺码:160/88A/L,2020-11-23 19:19:04,质量 性价比都好！值得购买！
河***通,颜色分类:01 乳白色;尺码:165/92A/XL,2020-11-23 17:14:50,哈哈哈哈哈哈哈
爱***菜,颜色分类:69 藏青色;尺码:160/84A/M,2020-11-23 13:00:00,我的身高体重：158，45，合适舒服
我***哈,颜色分类:69 藏青色;尺码:155/80A/S,2020-11-23 10:29:10,防晒衣质量很好，总体满意
m***f,颜色分类:54 绿色;尺码:160/88A/L,2020-11-22 22:18:50,还可以
f***7,颜色分类:54 绿色;尺码:160/88A/L,2020-11-22 18:35:31,颜色非常好看
晶***华,颜色分类:54 绿色;尺码:160/84A/M,2020-11-22 15:29:40,刚好做活动，价格便宜了很多，性价比超高，真的特别划算
鱼***面,颜色分类:09 黑色;尺码:160/84A/M,2020-11-22 15:15:52,广州到现在都没入冬成功天天大太阳，双十一优惠继续囤防晒衣。
j***7,颜色分类:69 藏青色;尺码:160/88A/L,2020-11-21 17:51:55,ok
w***舒,颜色分类:69 藏青色;尺码:160/88A/L,2020-11-21 16:16:08,舒服，薄透气，挡风遮雨很适合
伶***i,颜色分类:01 乳白色;尺码:165/92A/XL,2020-11-21 13:57:36,实用性和颜值都非常的赞，我很喜欢，还会再来买的。一定要拍大一码到两码，才有宽松的感觉。
别***3,颜色分类:01 乳白色;尺码:155/80A/S,2020-11-21 13:47:26,质量做工都很好，简洁大方。很满意。
j***6,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-21 10:51:59,绿色好看，去实体店看的，一眼看中绿色，漂亮，因穿外套试的，买大了一号，
z***4,颜色分类:09 黑色;尺码:160/88A/L,2020-11-21 10:22:29,留着夏天穿
l***y,颜色分类:54 绿色;尺码:160/88A/L,2020-11-21 09:34:00,简单，舒服，还是很喜欢的。165CM，50kg
c***7,颜色分类:03 灰色;尺码:160/88A/L,2020-11-20 21:55:58,实用
s***0,颜色分类:01 乳白色;尺码:160/88A/L,2020-11-20 17:37:28,东西可以，服务太差
疯***6,颜色分类:54 绿色;尺码:160/88A/L,2020-11-20 09:56:55,铁粉，在我眼里都是好
l***8,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-20 09:38:36,质量很好，价格比实体店实惠，值得买
清***殇,颜色分类:01 乳白色;尺码:165/92A/XL,2020-11-20 09:12:30,此用户没有填写评论!
t***0,颜色分类:09 黑色;尺码:160/88A/L,2020-11-19 23:11:19,双11的物流很快，物品完好无损，用起来很舒服，喜欢💕
暴***h,颜色分类:09 黑色;尺码:160/88A/L,2020-11-19 08:09:59,好，百搭
g***7,颜色分类:03 灰色;尺码:160/88A/L,2020-11-18 20:06:18,之前在实体店试过，但是觉得不需要，就没买。但是现在突逢双十一，又降价了，不买感觉太亏了(｡･&omega;･｡)ﾉ♡。不过试了发现穿着挺好看的，留下了(｡･&omega;･｡)ﾉ♡
t***3,颜色分类:54 绿色;尺码:160/84A/M,2020-11-18 17:47:20,挺好
小***1,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-18 14:08:56,非常漂亮
无***1,颜色分类:54 绿色;尺码:160/88A/L,2020-11-18 13:06:16,颜色比图片稍微暗一点，不过也很好看
h***n,颜色分类:03 灰色;尺码:160/88A/L,2020-11-18 09:43:03,回购的，灰色很好看，码数偏大，宽松版。非常实用。
杰***e,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-18 08:55:44,不错
b***r,颜色分类:54 绿色;尺码:160/88A/L,2020-11-18 08:09:16,东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样
夏***u,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-18 07:47:25,从此成了粉，质感很喜欢💕，外套好好看，没想到胖子也能穿，我不管适不适合我，反正我觉得好看哈哈，好看呢，值得购买，衬衫好干净的感觉
m***0,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-18 00:10:22,自己有件白色的经常穿，这个绿色是买给妈**，也很好看，舒服透气柔软
兔***子,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-17 23:21:56,颜色漂亮
c***k,颜色分类:54 绿色;尺码:160/88A/L,2020-11-17 20:47:55,简约舒服
t***1,颜色分类:54 绿色;尺码:165/92A/XL,2020-11-17 19:43:06,如图颜色很不错很嫩，防晒衣一定要买大码才行！165 104斤买的xl因为夏天防晒所以一定要买大码！平时都是s码
