displayUserNick,auctionSku,rateDate,rateContent
扶***线,颜色分类:56 橄榄色;尺码:160/84A/M,2021-02-24 08:44:19,略微有点色差，但是整体很轻盈，适合女生穿，就是需要有点气质，没有颜穿起来显老。。。。。
8***s,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-22 18:43:22,好看(｡･&omega;･｡)ﾉ♡
t***9,颜色分类:09 黑色;尺码:155/80A/S,2021-02-19 11:04:58,宽松，保暖，简单，基本款百搭
t***8,颜色分类:09 黑色;尺码:160/84A/M,2021-02-15 08:57:15,很暖和 很好看 挺修身的
梁***5,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-14 05:16:08,送家人的，质量好，满意
h***9,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-12 18:29:34,样式好看，暖和，长短正好到膝盖
t***1,颜色分类:09 黑色;尺码:160/88A/L,2021-02-09 13:56:22,哎。。。衣服丢了，白白损失1千大洋
t***6,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-02-08 14:23:54,不错
b***o,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-08 13:18:24,整体评价：轻盈简单 版型风格：简单大方百搭 材质厚度：中等 搭配建议：百搭  打开包装有鸭绒的气味，面料还算柔软，长度在膝盖下方，南方的冬天足够应付，宽松的版型可以在里面随意穿外套也可以套上，凹造型也不在话下。就是错了八开头的那次价格没买实在是有点不甘心。
c***l,颜色分类:56 橄榄色;尺码:160/88A/L,2021-02-07 16:13:46,又轻又暖，很好。
m***n,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-05 15:47:42,婆婆168 130多斤xxl很合适
t***2,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-05 13:35:49,羽绒服简单、大方、轻巧，细节处理得好，满意喜欢。
j***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-05 10:09:54,很喜欢囤货了，不穿了，等冬天再拿出来穿，轻，应该很暖和，黑色好打理，163 55l码舒服。
卿***7,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-05 09:20:03,此用户没有填写评论!
b***o,颜色分类:09 黑色;尺码:155/80A/S,2021-02-03 22:34:00,买给老家外婆的过年新衣，非常好👍简洁大方！年轻人穿也好看
后***3,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-03 22:17:48,一直迷恋优衣库，买它
欢***雨,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-02 19:38:01,给老妈买的，很喜欢
小***简,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-02 14:19:41,大小合适，长度也可以，就是气味有点重，优惠幅度不大，好评！
原***熙,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-01 21:26:08,版型不错，很轻&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;
你***红,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 08:39:49,非常暖和，轻盈。156，110斤先买了M号大了，换S刚好。还没穿，不知跑不跑毛
z***4,颜色分类:09 黑色;尺码:160/88A/L,2021-01-30 23:17:36,非常合身，显瘦，很满意
j***7,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-01-30 17:20:55,能抢上真是不容易
小***l,颜色分类:09 黑色;尺码:155/80A/S,2021-01-30 16:23:37,版型很好面料一般很轻便的羽绒服，在温度比较低的地方可能不太适合穿，冬天几度的天气保暖还行，给妈妈买的，她也很喜欢，黑色不是纯黑有点偏蓝&hellip;
饰***尼,颜色分类:56 橄榄色;尺码:160/88A/L,2021-01-30 12:49:01,厚实！暖和！
胖***7,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-30 12:34:57,实体店没有尺码只能网上买了，没看出有啥区别，衣服轻保暖，浅色好看
风***意,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-29 20:15:02,优衣库羽绒服很棒！就是物流太慢了，EMS属于国内一流的超级慢递！
辛***王,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-29 18:55:52,优衣库的羽绒服性价比非常高
微***9,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-29 15:04:21,挺好，防水
微***9,颜色分类:56 橄榄色;尺码:170/100B/XXL,2021-01-29 15:03:32,厚，轻，蓬松，暖和，颜色好看，防水
h***8,颜色分类:56 橄榄色;尺码:170/100B/XXL,2021-01-28 20:31:31,给妈妈买的，150斤正好，她喜欢暖和轻
安***心,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-28 15:23:20,衣服保暖厚实 买到手后天气就回温了
维***8,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-28 09:56:05,款式简单大方，保暖性好
s***s,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-27 20:33:14,给婆婆买的，超有气质，全家满意
