displayUserNick,auctionSku,rateDate,rateContent
t***8,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-26 15:16:22,带微弹的，蛮好
小***3,颜色分类:52 翠绿色;尺码:165/92A/XL,2021-02-26 12:14:28,我肩宽40买了165大了点
j***h,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-26 11:52:03,很春天的感觉，很好看
a***a,颜色分类:09 黑色;尺码:155/80A/S,2021-02-26 09:55:20,挺好穿
小***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 21:16:47,好好好
会***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-25 18:41:56,一如既往的喜欢，优衣库真爱粉
l***i,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-25 18:28:55,非常优秀哦，166，57kg
深***m,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 16:24:34,白色始终是有点点显胖的，还是比较喜欢绿色
b***y,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-25 15:56:50,好
杜***之,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-25 15:51:29,在线下试过的 非常合适 有质感 值得这个价钱 搭配碎花裙很好看 但我还没买到碎花裙
冰***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 13:29:22,还没穿 没想到衣服这么短，等天暖和配裙子应该不错
鱼***米,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 09:17:44,我老公说像他阿姨二十年前的款&hellip;&hellip; 反正我挺喜欢
z***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-24 23:28:35,好看，颜色也好，料子也挺好
s***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 23:21:51,非常满意，很合适，好喜欢～
一***花,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 21:56:57,好看！
魅***烟,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 18:43:01,赞，手感很好，扣子的缝线有点粗糙。
c***微,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-24 14:26:08,颜色特别好看！！浅浅的抹茶绿，很清新自然，太适合春天啦，质量挺好的。厚度适中，这个色彩太好看了
t***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-24 09:49:05,做工精细，穿着舒适，卖家发货很快
o***o,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-24 09:43:49,实体店试了买的 很好
鱼***菲,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 09:30:37,很好～
h***n,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-23 23:13:55,还可以，觉得自己买大了一码
b***0,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-23 22:43:47,嫩绿色，颜色喜欢
t***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 21:54:16,还不错
宠***宝,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 20:58:13,"挺好的,实体店试过,没有乳白色了,所以来这里买,完美."
心***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 19:08:23,百搭。
买***拜,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-23 18:24:19,一身优衣库，出新品，都会买，衣服真好看，天热了配裙子更好，颜色淡雅，比较薄，面料好，大小也合适
t***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 16:04:10,垮垮地美丽动人
t***1,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-23 12:46:17,有没有黑色的要跟我换，穿不出绿色
y***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 12:21:47,外套款式好看，160.51公斤，S码合适，会继续关注。
j***i,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-23 11:33:00,颜色确实不是乳白色，粉白偏暗一点。因为被猫挠了一下无法退，哎&hellip;
南***蔻,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 11:05:29,巨好看！宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！
l***欣,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-23 09:55:20,很春天的颜色，挺好看的
自***0,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 09:42:25,穿起来干练的样子，休闲款好搭配，主要是穿着超级舒服，面料柔软袖笼宽松，马上就可以穿了
花***界,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 09:40:42,版型风格：还可以，我感觉挺好看的 面料材质：穿着挺软的 我的身高体重：163.98斤
2***o,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-23 08:26:11,好看
小***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 21:48:35,外套比较薄，颜色挺好看，最小码没有了，s码也行，宽松款
春***1,颜色分类:52 翠绿色;尺码:165/92A/XL,2021-02-22 21:33:02,颜色很春天，很好看
卢***8,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-22 21:07:10,我已经在优衣库买过很多衣服了，质量很好，一直都谢谢优衣库，这次买一件春款外套 绿色的，太好看了，质量非常好，在实体店看了两次这件衣服，还是决定在官网买哈哈哈
胖***3,颜色分类:32 深米色;尺码:150/76A/XS,2021-02-22 20:29:21,简洁大方，上身效果很好！是我喜欢的款式！面料柔软，中了优衣库的毒了😋
a***1,颜色分类:52 翠绿色;尺码:170/100B/XXL,2021-02-22 20:08:04,我有172但是就是喜欢穿短外套，感觉长外套好累赘。这件衣服料子舒服，大小刚好，长短也行，里面穿件长款T恤应该很奈斯！
t***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-22 19:35:48,穿上非常精神，
w***y,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 16:51:30,衣服挺好看的，大小长度适合，颜色好看，真的是乳白色，比想象中的薄。
q***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 16:47:35,外套款式不错，淘宝还有抵用券
a***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 15:51:31,165/120合适
马***学,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 15:21:17,好看满意真不错👍🏻
孤***蝶,颜色分类:52 翠绿色;尺码:160/88A/L,2021-02-22 15:14:57,很有春天的感觉
桃***荷,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-22 13:46:29,超级好看！！！！衣服也很舒服！
t***2,颜色分类:32 深米色;尺码:170/100B/XXL,2021-02-22 13:23:25,号码合适，色彩柔和，质量非常好。优衣库的东西一直值得信赖。
m***0,颜色分类:52 翠绿色;尺码:160/84A/M,2021-02-22 13:04:52,这个颜色超级春天的！
氤***泣,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-22 12:30:21,挺好看
t***8,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-22 11:10:41,穿着很好看，每个季节都买优衣库
y***5,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-22 07:27:39,颜色显白153体重43kg，喜欢的可以买，面料是有垂感的，不是纯棉的，适合北方四五月份天气，不是很厚
阿***笔,颜色分类:52 翠绿色;尺码:165/92A/XL,2021-02-22 01:57:25,非常好看满意，身高168cm，体重120斤，穿l码
z***0,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-22 00:13:02,穿着效果极好，百搭款
a***墨,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 22:51:34,超级好看！！！ 面料材质：看上去很高级 版型风格：宽松版 搭配建议：牛仔裤即可 我的身高体重：158 96
小***包,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 21:18:24,上身很好看，不是纯白的，料子也很舒服。喜欢啊。
t***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-21 20:53:54,160，62，选16088A，大小非常合适。性价比高，非常满意
莫***停,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 20:10:20,针不戳，随便搭牛仔裤卫衣也挺好看的。
钗***1,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-21 19:10:14,颜色漂亮，156，95斤，刚好
好***嘀,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-21 19:03:25,大小合适，非常喜欢，打算再入其他色。
艾***亚,颜色分类:32 深米色;尺码:155/80A/S,2021-02-21 18:35:59,此用户没有填写评论!
张***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 18:07:11,质量很好，柔软，米白色显温柔，款式大气简单。爱了，推荐给朋友了。质量很好，柔软，米白色显温柔，款式大气简单。爱了，推荐给朋友了。质量很好，柔软，米白色显温柔，款式大气简单。爱了，推荐给朋友了。
s***0,颜色分类:32 深米色;尺码:150/76A/XS,2021-02-21 14:41:35,大小合适，质量很好，值得购买！
新***尘,颜色分类:52 翠绿色;尺码:150/76A/XS,2021-02-21 14:39:41,比较薄，颜色有点暗
t***n,颜色分类:09 黑色;尺码:160/84A/M,2021-02-21 13:50:51,非常好看的外套
长***诩,颜色分类:52 翠绿色;尺码:155/80A/S,2021-02-21 13:03:13,这个色太春天啦！超棒～
