displayUserNick,auctionSku,rateDate,rateContent
c***n,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-26 19:57:36,凑合吧。
淘***0,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-26 17:02:38,有些薄
w***子,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-26 10:39:30,好
法***徒,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-25 13:49:09,整体评价：非常轻松舒适
北***o,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-25 10:42:06,给妈妈买的太大，给公公穿了😂
m***3,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-25 00:58:41,Perfect
o***4,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-25 00:22:34,姑姑很喜欢
q***z,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-24 17:40:34,颜色很显年轻
l***h,颜色分类:03 灰色;尺码:160/88A/L,2021-02-24 12:52:13,尺码很合身。
w***e,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-23 12:22:35,东西很好，就是快递公司莫名其妙的，送了两周多才到，也不晓得在干啥
s***o,颜色分类:38 深褐色;尺码:160/84A/M,2021-02-23 08:14:59,老妈挺喜欢的
t***2,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-22 16:00:49,柔软舒适，颜色好看
0***y,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-22 14:04:14,OK
m***1,颜色分类:03 灰色;尺码:165/92A/XL,2021-02-22 13:35:16,专柜正品，优衣库的经典小羽绒。
c***6,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-22 10:45:20,非常柔软舒适，买了n件优衣库的羽绒服了
t***3,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-21 18:33:36,还行还行很薄的非常还行300快的嗯嘻嘻东西。。。。。。
a***1,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-21 16:50:12,满意
飞***3,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-20 17:40:15,不错
s***e,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-20 15:07:31,质量可以的
t***3,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-20 14:57:39,实体店没买到的尺码，衣服很好，喜欢~
快***主,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-20 14:29:01,给老妈买的，穿着很舒服的！
嘟***牛,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-19 14:51:47,整体评价：给妈妈买的，她非常满意 版型风格：休闲舒适 材质厚度：轻薄的吧 搭配建议：休闲 我的身高体重：160，126
t***4,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-18 17:50:06,穿着年轻点，再大点就好了
y***5,颜色分类:38 深褐色;尺码:160/88A/L,2021-02-18 15:34:48,店里没颜色了 网上一样的 轻 穿的很舒服 不错
锦***5,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-17 17:00:39,婆婆喜欢 颜色温柔
j***y,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-17 09:06:18,送***，她很喜欢。希望奶奶健康长寿
g***9,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-16 20:45:14,褐色正是想要的颜色。
z***0,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-14 21:12:02,好
s***8,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-14 16:53:21,舒服
冰***g,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-09 20:47:46,做工精细，无色差，轻便
w***3,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-09 19:02:24,多次购买了，又快又好
金***3,颜色分类:03 灰色;尺码:160/88A/L,2021-02-09 13:18:41,面料有点发亮。
x***2,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-09 12:38:02,妈妈非常满意🈵满意🈵满意🈵满意
t***1,颜色分类:69 藏青色;尺码:150/76A/XS,2021-02-09 11:44:42,158，45，xs略大
喵***崽,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-08 21:23:27,产品不错，妈妈前前后后买了三件，轻便方便做家务，我自己买了两件。就是价格再美丽一点就好了。
魔***格,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-07 22:12:05,妈妈说很合适，谢谢
t***3,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-07 20:04:41,帮妈妈买的，妈妈很喜欢，妈妈155，60公斤穿XL刚好
