displayUserNick,auctionSku,rateDate,rateContent
m***o,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-02-26 18:55:31,不错
徐***宏,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-02-25 22:39:16,很喜欢的一件羽绒服，轻薄百搭
q***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 20:35:53,刚收到货就降价100元，找客服不退款，买优衣库最好等打折，不然降价太快太亏
魔***姐,颜色分类:50 浅绿色;尺码:160/84A/M,2021-02-24 21:10:55,老妈很满意，赶上打折非常划算！自己也想来一件！
q***5,颜色分类:50 浅绿色;尺码:160/88A/L,2021-02-24 19:06:29,很温柔的绿色，喜欢
杀***3,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-02-24 18:17:45,超级美太喜欢了这个色专柜断货了
l***2,颜色分类:34 驼色;尺码:160/84A/M,2021-02-24 15:46:54,喜欢
s***j,颜色分类:50 浅绿色;尺码:160/84A/M,2021-02-24 15:36:24,还不错，特别轻薄，出门戴着也方便
t***7,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-02-24 14:52:03,简约风，很轻薄，买了一次都没穿，舍不得退。。。
五***毛,颜色分类:50 浅绿色;尺码:160/84A/M,2021-02-21 18:18:24,很轻很舒服
z***z,颜色分类:50 浅绿色;尺码:160/88A/L,2021-02-19 15:36:29,在门店试的时候就很喜欢，后来打算等一等再买，没想到等到了涨价，吓得我赶紧入手，期待春天的到来
a***肉,颜色分类:50 浅绿色;尺码:160/84A/M,2021-02-19 11:26:57,也是因为这个颜色和款式才会399买个这么薄的羽绒服，初春了现在，大太阳天穿它加衬衫都还不是很热，有点冷，配浅色衣服好看。
艳***9,颜色分类:34 驼色;尺码:170/100B/XXL,2021-02-19 08:08:38,比其他款型偏大 挺好看 简单随意
妙***4,颜色分类:50 浅绿色;尺码:155/80A/S,2021-02-18 10:39:44,好看
妙***4,颜色分类:34 驼色;尺码:155/80A/S,2021-02-18 10:39:33,好看
