displayUserNick,auctionSku,rateDate,rateContent
爱***蟹,颜色分类:09 黑色;尺码:160/84A/M,2021-02-26 16:25:56,不错不错
淘***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-26 08:38:49,非常非常满意，强烈推荐买这款西装，面料特别适合春秋和夏天的空调房，在广东简直可以穿四季，太合适了，有垫肩很有型。
l***9,颜色分类:09 黑色;尺码:155/80A/S,2021-02-24 13:19:15,质量不错，有垫肩。
东***花,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 12:49:40,线下试穿过的。衣服质感很好，剪裁很好，略微宽松版。
s***f,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-20 18:16:18,今年的春款的款型 面料真心不错
五***滚,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-19 10:22:21,很好满意
胡***我,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-18 19:01:21,正品的，去店里试过了，但是没有码数了，这款的样式棉料都很舒服，比599的299的都好呢⊙▽⊙果断又去买件黑色的穿
改***女,颜色分类:09 黑色;尺码:160/88A/L,2021-02-12 14:59:30,版型可以，但我觉得这个价格的版型应该再更好一些。
坚***队,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-02 17:00:28,版型很好 料子也不错 很好看！！！
臣***呦,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-29 10:56:24,好
t***3,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-09 21:48:16,挺好，和白色聪明裤材质一样
熊***晶,颜色分类:09 黑色;尺码:160/88A/L,2020-12-28 11:07:27,款型质地对得起这个价格
