displayUserNick,auctionSku,rateDate,rateContent
妃***1,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-26 15:10:01,喜欢
士***土,颜色分类:68 深蓝色;尺码:155/80A/S,2021-02-25 13:06:48,很喜欢，实体店没有，特意找到买的
j***n,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-24 09:12:16,挺好
t***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 21:38:21,身高165以上，体重100左右的。可以考虑s码
意***水,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-23 15:33:47,好看哦，中式风格
嗯***y,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-22 16:25:01,吸了水之后会硬挺一些 搭奶白色的裤子也好看
t***9,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-19 23:53:07,不错的宝贝
l***8,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-18 12:48:17,太好看了
清***笑,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-15 20:31:47,不错，买大了，吊牌被我剪掉了，不然换小一号。
s***e,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-13 11:04:43,快下手买吧，太好看，太好看，领子稍微翻下。买它。168/52.5kg，选的M，略落肩。很free style。
w***1,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-11 15:19:50,款式简单大气，面料也比较舒服，版型宽松，喜欢
莫***厅,颜色分类:68 深蓝色;尺码:155/80A/S,2021-02-09 09:49:29,布料要是再厚一点就更好了
h***芽,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-08 08:11:12,应该选小一号的，可能大一点松垮才有味。文艺风，留下了。
d***0,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-07 20:57:32,版型材质都还不错，挺柔软，颜色也是很正的牛仔蓝，配红色很赞，适合春末夏初还有初秋当个小外套。
小***话,颜色分类:68 深蓝色;尺码:150/76A/XS,2021-02-07 15:48:45,扎进去穿好看，所以不可以买大
t***7,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-07 13:14:44,此用户没有填写评论!
吃***乐,颜色分类:68 深蓝色;尺码:155/80A/S,2021-02-06 11:19:03,此用户没有填写评论!
b***r,颜色分类:68 深蓝色;尺码:150/76A/XS,2021-02-04 20:14:17,好看，有特色，一直穿优家小码衬衫，之前拍了小码还是太大，还好及时拍了xs码，好看～
洁***6,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-04 20:13:43,好看
t***4,颜色分类:68 深蓝色;尺码:150/76A/XS,2021-02-04 13:36:22,优衣库真香，宅寂风有设计感，低调不失内涵
怪***败,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-01 20:54:57,很好看
j***n,颜色分类:68 深蓝色;尺码:150/76A/XS,2021-02-01 08:14:06,很好
狐***萄,颜色分类:68 深蓝色;尺码:160/84A/M,2021-01-27 21:54:35,蛮好
不***加,颜色分类:01 乳白色;尺码:150/76A/XS,2021-01-27 17:39:59,163、115斤买的XS穿着还宽松，不过是要的感觉！
周***慧,颜色分类:68 深蓝色;尺码:155/80A/S,2021-01-26 14:40:18,尺码偏大。155的码数，180瘦的男生都可以穿出感觉。
b***2,颜色分类:09 黑色;尺码:150/76A/XS,2021-01-24 14:26:54,好看
