displayUserNick,auctionSku,rateDate,rateContent
z***g,颜色分类:00 白色;尺码:160/88A/L,2021-02-26 21:31:03,好
孟***赐,颜色分类:09 黑色;尺码:160/88A/L,2021-02-26 20:10:00,很好看，就是没有抢到小码
r***8,颜色分类:00 白色;尺码:160/84A/M,2021-02-26 18:23:05,80kg挑战了一下m码，能穿进去，但能看见各种肥肉肉露一点点出来，A胸也觉得紧了，还是L码正好，穿着很舒服，不过m码能促进减肥。比较怨念的是买了m码刷出来L，连续几天L😭
r***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-25 06:35:06,166 80kg的圆滚滚身材穿L码
a***6,颜色分类:00 白色;尺码:160/84A/M,2021-02-22 14:28:15,显年轻
a***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-22 14:26:46,面料很滑 配一件开衫效果不错
c***9,颜色分类:00 白色;尺码:160/84A/M,2021-02-21 18:24:58,花溜溜的，略显胖。
霜***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-21 11:41:50,不敢恭维优衣库，什么时候咨询都是助手回复，而且回复的是扭头不对马尾，能不能改一下你们的工作作风。
j***5,颜色分类:00 白色;尺码:160/84A/M,2021-02-21 09:43:26,价格美丽，花色好看，春天的气息扑面而来！
万***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-20 21:06:46,快递速度很快，非常合身，喜欢！
x***8,颜色分类:00 白色;尺码:160/88A/L,2021-02-20 16:15:52,还行
0***雨,颜色分类:00 白色;尺码:160/88A/L,2021-02-20 13:39:53,裙子满满的夏天味道
正***丽,颜色分类:00 白色;尺码:160/88A/L,2021-02-20 11:27:04,爱了爱了，感觉抢到宝贝了，打算这两天暖和了穿。
秋***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 20:38:52,款式简约大方！花色漂亮！价格美丽！物流超快！总之，满意极了！
雅***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-18 07:46:30,发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买 🌈质量很好，买的很合我心意💕，棒棒哒！✨需要的亲们可以放心购买
我***怡,颜色分类:00 白色;尺码:160/84A/M,2021-02-12 10:50:46,月初买了一条黑色的，超级棒，心里念念不忘这款白色的，前天下单149元拿下，今天一大早顺丰派送到手了。本人170cm，59kg，m号正合身。
小***9,颜色分类:00 白色;尺码:160/84A/M,2021-02-07 15:48:03,大  但是宽松才凉快   面料很轻薄
我***怡,颜色分类:09 黑色;尺码:160/84A/M,2021-02-04 15:05:43,本人170cm，59kg，这款裙子M码正合身。布料是棉的，穿在身上很舒服，款式、颜色都是很棒的，还有两个口袋，老公说好看，绝对值得购买，况且现在只要149元，超值。囤着今年夏天穿。
憨***凌,颜色分类:00 白色;尺码:160/84A/M,2021-02-04 10:54:33,衣服很漂亮，穿起来很合身。春天的气息扑面而来
l***2,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 18:58:47,好
w***e,颜色分类:09 黑色;尺码:160/84A/M,2021-01-25 21:26:49,很显瘦，小个子到脚踝，显修长。
y***1,颜色分类:00 白色;尺码:160/84A/M,2021-01-21 17:21:47,不错，很好看，买了两个颜色都喜欢
j***儿,颜色分类:09 黑色;尺码:155/80A/S,2021-01-20 10:11:02,优衣库的衣服简单舒适，做工好，搞活动性价比高，随便怎么穿，近几年发现后每年入不少。
t***0,颜色分类:00 白色;尺码:160/84A/M,2021-01-19 20:49:51,此用户没有填写评论!
y***1,颜色分类:09 黑色;尺码:160/84A/M,2021-01-19 17:44:31,非常合适，棉布的，挺好看的。
c***3,颜色分类:09 黑色;尺码:160/84A/M,2021-01-18 11:26:59,比较薄，夏天穿刚好，款式很不错，在想要不要把白色的也入手
向***6,颜色分类:09 黑色;尺码:160/88A/L,2021-01-16 16:44:11,很好看，很美丽！
m***7,颜色分类:09 黑色;尺码:160/84A/M,2020-09-09 06:19:02,喜欢这个设计师，这一系列买了不下于十件了，仍旧忍不住要买，个人觉得绿色更好看，白色穿不出感觉。喜欢这个设计师，这一系列买了不下于十件了，仍旧忍不住要买，个人觉得绿色更好看，白色穿不出感觉。喜欢这个设计师，这一系列买了不下于十件了，仍旧忍不住要买，个人觉得绿色更好看，白色穿不出感觉。
安***爷,颜色分类:09 黑色;尺码:155/80A/S,2020-09-06 16:02:38,身高163，体重110斤，码数刚好，刚开始买的这款的白底花色，觉得超级好穿又回购了这个花色，不错。
陆***1,颜色分类:09 黑色;尺码:160/88A/L,2020-09-05 21:50:34,不是棉的，之前买过这个牌子一条相似的，相比之下料子差太多，还是实体店靠谱。
我***o,颜色分类:00 白色;尺码:160/84A/M,2020-09-05 17:53:19,没想到还有货，抓住最后一丢丢夏天的尾巴～
木***鸟,颜色分类:00 白色;尺码:160/84A/M,2020-09-05 17:33:12,超可爱der！
木***哭,颜色分类:09 黑色;尺码:155/80A/S,2020-09-03 00:01:28,看模特平平无奇，上身无比惊艳！简单大方，而且一眼望去，人群里最扎眼的绝对是你！172，108，肩宽38，买s号刚刚好.配腰带绝了！
g***9,颜色分类:09 黑色;尺码:160/88A/L,2020-09-02 11:49:16,好看
t***0,颜色分类:09 黑色;尺码:160/84A/M,2020-09-02 09:28:00,己经买了两件，很夏天穿凉快
海***菜,颜色分类:00 白色;尺码:160/88A/L,2020-09-02 08:07:51,好
海***菜,颜色分类:09 黑色;尺码:160/88A/L,2020-09-02 08:07:51,好
茕***3,颜色分类:09 黑色;尺码:160/88A/L,2020-09-01 22:31:55,买了两件跟妈妈穿亲子装
三***迹,颜色分类:00 白色;尺码:160/84A/M,2020-08-30 18:29:39,非常喜欢
霸***姐,颜色分类:00 白色;尺码:155/80A/S,2020-08-29 19:42:59,终于买到了，断货了好长时间，一直想买
岁***气,颜色分类:00 白色;尺码:160/84A/M,2020-08-29 17:32:59,太喜欢了，167，62，大小正好，优衣库忠粉，衣柜里全是优衣库
萍***g,颜色分类:00 白色;尺码:155/80A/S,2020-08-22 21:08:59,此用户没有填写评论!
t***9,颜色分类:09 黑色;尺码:160/84A/M,2020-08-15 23:33:06,好
j***u,颜色分类:09 黑色;尺码:160/88A/L,2020-08-14 11:13:16,整体评价：花色很耐看，喜欢 面料材质：全棉 版型风格：宽松 搭配建议：随意搭配 我的身高体重：159-140
思***赏,颜色分类:09 黑色;尺码:160/88A/L,2020-08-11 15:55:15,当时再实体店给孩子买了一套，成人款裙子没有合适的号了，后来关注网店，本来打算换别的款式，正在选款的时候，发现有货，而且还有号码，立即下单，收到后太欣喜了，相比实体店来说，没有被试穿过，可以和孩子亲子了。
晨***y,颜色分类:00 白色;尺码:160/84A/M,2020-07-28 22:34:48,颜色很漂亮，超喜欢。
花***3,颜色分类:00 白色;尺码:155/80A/S,2020-07-20 07:19:42,好看
t***2,颜色分类:00 白色;尺码:160/84A/M,2020-07-19 07:24:42,整体评价：还可以。显年轻😊
寇***班,颜色分类:00 白色;尺码:155/80A/S,2020-07-19 00:17:28,花了运费&hellip;&hellip;不开心🙁，好在喜欢这件裙子，打算再配个腰带
呀***路,颜色分类:09 黑色;尺码:160/84A/M,2020-07-18 23:24:59,这条裙子很喜欢，款式简单大方，花色超赞，质地纯棉
h***8,颜色分类:00 白色;尺码:160/84A/M,2020-07-17 14:45:40,还没买腰带
艳***8,颜色分类:00 白色;尺码:160/84A/M,2020-07-17 11:18:55,很喜欢，很凉快的面料，因该配个腰带会更好看。
豆***龙,颜色分类:00 白色;尺码:160/88A/L,2020-07-15 11:06:34,此用户没有填写评论!
唐***陌,颜色分类:00 白色;尺码:155/80A/S,2020-07-14 17:47:57,好
k***e,颜色分类:09 黑色;尺码:160/84A/M,2020-07-14 12:00:35,很好
k***u,颜色分类:00 白色;尺码:155/80A/S,2020-07-14 11:58:29,很舒服，颜色很夏天！
小***e,颜色分类:00 白色;尺码:160/84A/M,2020-07-14 07:21:53,很亮丽，很夏天，很凉快，照得有点显胳膊粗，其实还好。
木***9,颜色分类:00 白色;尺码:155/80A/S,2020-07-13 17:33:53,裙子图案很好看 上身瘦瘦的人穿着更好看
淡***2,颜色分类:00 白色;尺码:160/84A/M,2020-07-13 15:54:37,非常满意，必须好评
d***r,颜色分类:00 白色;尺码:160/88A/L,2020-07-13 15:47:07,太好看了
c***p,颜色分类:00 白色;尺码:155/80A/S,2020-07-13 12:31:22,颜色出彩，配了根腰带，很上相
f***g,颜色分类:09 黑色;尺码:160/84A/M,2020-07-12 18:08:03,前两年看朋友穿类似的一款挺好看的，现在打折就入一件吧，质料很轻薄，夏天穿不错。
秋***8,颜色分类:00 白色;尺码:160/84A/M,2020-07-12 16:38:53,联名款收了好几件，都很喜欢，这个好适合漫画脸，哈哈，果然是日系风没错啦
司***o,颜色分类:09 黑色;尺码:155/80A/S,2020-07-12 14:03:04,舒适！
刘***灵,颜色分类:00 白色;尺码:160/88A/L,2020-07-12 13:32:13,挺可爱的，很喜欢
天***5,颜色分类:09 黑色;尺码:160/88A/L,2020-07-12 11:42:30,料子容易皱，其他还好
阳***阳,颜色分类:00 白色;尺码:160/88A/L,2020-07-12 00:06:43,和女儿买了亲子装，很好看呀，花花的很适合夏天，小孩子的是纯棉的T恤料子的，大人的是棉的那种滑滑的衬衫料子，很好看，还买了一件开衫搭配无袖裙~很喜欢
小***4,颜色分类:00 白色;尺码:155/80A/S,2020-07-11 23:01:56,看小书找的搭配 优衣库真的好看
