displayUserNick,auctionSku,rateDate,rateContent
泰***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-19 16:41:12,透，薄
m***a,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-12 09:48:02,挺好
同***兮,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 14:22:18,意外的是一条很长摆也比较大的连衣裙。 随便扎一根腰带就身材不错了。 唯一的缺点是偏薄，可能适合春秋季穿，冬天的话大概不行。 然后里面要穿肉色的衣服。 但这个价格这个样子香的很。
d***s,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-06 08:08:12,非常好，春天配风衣是极佳的。
b***c,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-04 15:34:00,157，53，买了160/84A，可以穿，略宽松，上身效果好
d***h,颜色分类:55 青绿色;尺码:155/80A/S,2021-01-29 08:20:11,终于降价了，有点头，搭配白色卫衣和外套还挺好看的。
l***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-28 21:17:17,面料很舒服，天热了就可以穿啦！
三***子,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-23 14:00:06,漂亮，喜欢。
g***6,颜色分类:55 青绿色;尺码:155/80A/S,2021-01-23 10:15:18,花色好看，手感绵软，不错哦
逆***人,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-21 20:57:33,有点薄，透明，能看清内衣，保暖是不可能保暖的。
迟***雯,颜色分类:55 青绿色;尺码:160/88A/L,2021-01-19 09:26:17,版型很好，颜色搭配非常高级，稍微薄一点，但是很舒服。
哀***仙,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-18 19:04:02,手感细腻轻薄，需要内搭白色打底衫，搭配腰带会显得比例好一些。
阳***雪,颜色分类:55 青绿色;尺码:160/88A/L,2021-01-16 20:43:53,聚划算活动无意中抢到这件连衣裙，实在太好看了，聚划算，很喜欢的一次购物，五星好评，赞赞赞。
素***装,颜色分类:55 青绿色;尺码:160/88A/L,2021-01-16 17:36:52,颜色好看洋气，穿着舒服
p***5,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-16 10:25:08,买大了
b***7,颜色分类:55 青绿色;尺码:155/80A/S,2021-01-14 12:41:28,漂亮
p***g,颜色分类:55 青绿色;尺码:160/88A/L,2021-01-09 10:26:40,抢到一件，很喜欢。
豆***豆,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-06 20:05:36,试下来觉得白色好看过绿色，温柔雅致
b***o,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-05 07:28:24,特别薄，说实话挺失望的
s***1,颜色分类:55 青绿色;尺码:160/84A/M,2021-01-03 17:02:33,好看，显瘦
雪***树,颜色分类:55 青绿色;尺码:160/84A/M,2021-01-03 16:48:09,160.108斤，合适，长度在小腿，上身效果好
冰***s,颜色分类:55 青绿色;尺码:155/80A/S,2020-12-30 13:28:29,买来当孕妇装穿的，很好看～以后宝宝生了还可以买亲子装😉
板***物,颜色分类:55 青绿色;尺码:160/88A/L,2020-12-22 14:00:41,穿上很舒服，肥瘦正好👌🏻就是爱起静电！
t***8,颜色分类:55 青绿色;尺码:160/88A/L,2020-12-20 21:55:44,还可以
中***0,颜色分类:55 青绿色;尺码:160/84A/M,2020-12-11 14:17:03,轻薄，可穿
y***u,颜色分类:55 青绿色;尺码:155/80A/S,2020-12-10 11:23:10,好看，绿色一点都不沉闷，反而很显瘦
l***1,颜色分类:55 青绿色;尺码:165/92A/XL,2020-12-07 10:52:00,挺好看的，就是比较薄
j***i,颜色分类:01 乳白色;尺码:150/76A/XS,2020-12-06 13:42:56,很宽松，160穿xs肩部刚好，手肘处的设计很显纤细女性化，很棒的设计。薄而不透。
伶***y,颜色分类:01 乳白色;尺码:150/76A/XS,2020-12-04 21:13:59,喜欢，舒服合适
s***o,颜色分类:01 乳白色;尺码:150/76A/XS,2020-12-01 18:19:02,浅色比较薄，但喜欢这个图案，还有袖子的收口设计。 里面穿了个U型领，还是要穿领小一点的不会透。
t***4,颜色分类:55 青绿色;尺码:160/84A/M,2020-12-01 08:01:22,颜色与图片无差异，A字宽松版型，薄款，160/55，M号肩部很合适，
槲***花,颜色分类:55 青绿色;尺码:150/76A/XS,2020-11-29 19:02:15,颜色很正，色彩搭配大气典雅，优衣库拍下不后悔！
