displayUserNick,auctionSku,rateDate,rateContent
w***福,颜色分类:32 深米色;尺码:155/80A/S,2021-02-26 14:26:17,搭配大衣穿真是好看又大气，领子舒服不扎人。单穿有点显臃肿
l***3,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-26 10:29:49,漂亮哦，158，55公斤，S码可以
l***7,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 12:58:20,宝贝质量很好，应该是正品，店服热情周到，物流也很快，发货速度很给力，值得拥有和推荐一下，五星好评一个先！！  ！
熊***0,颜色分类:09 黑色;尺码:160/88A/L,2021-02-22 23:08:06,非常差的质量，像十几元地摊货，吊牌也和之前买的同品牌有差别，审请三次退货，不给退，一直拒绝！来货时，一个黑色垃圾袋装的，衣服薄的要命，真不知好评哪来的！&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;
开***2,颜色分类:32 深米色;尺码:155/80A/S,2021-02-20 21:19:33,就是领子不好弄
幸***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-17 11:46:00,起球
宝***比,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-16 20:41:20,柔软 舒服 还含羊毛～ 整体衬肤色
张***7,颜色分类:09 黑色;尺码:160/88A/L,2021-02-15 13:27:29,毛衣保暖，手感不错 ，有点小贵
三***者,颜色分类:32 深米色;尺码:160/84A/M,2021-02-15 11:44:08,无语*了 84a比88a小了好多。问客服好像还没有人工 160/119应该穿88a才好看。84把我大腿和跨一股节一股节的肉显得可明显
落***波,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-11 23:36:06,很舒服，很好看
m***e,颜色分类:12 桃红色;尺码:150/76A/XS,2021-02-08 10:32:50,好，宽松
清***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-07 17:17:25,毛衣很软，领子和马甲很好搭，但起球严重，和大衣接触的地方已经起一圈了😥
z***r,颜色分类:09 黑色;尺码:160/84A/M,2021-02-05 17:23:19,稀松，但是挺暖
东***鹢,颜色分类:32 深米色;尺码:155/80A/S,2021-02-01 18:21:34,此用户没有填写评论!
倪***如,颜色分类:12 桃红色;尺码:150/76A/XS,2021-02-01 17:11:45,好评
r***u,颜色分类:32 深米色;尺码:155/80A/S,2021-02-01 14:40:24,很好穿，也很好kan
章***玲,颜色分类:09 黑色;尺码:160/88A/L,2021-01-31 10:31:57,还不错
无***咪,颜色分类:32 深米色;尺码:160/84A/M,2021-01-30 22:06:20,蛮好 这款买了两色了
0***0,颜色分类:09 黑色;尺码:160/84A/M,2021-01-30 15:34:30,很舒服
t***g,颜色分类:12 桃红色;尺码:150/76A/XS,2021-01-30 12:56:48,不太好 起静电
袁***悠,颜色分类:32 深米色;尺码:150/76A/XS,2021-01-29 21:04:07,身高160，体重43公斤。XS合适，面料柔软细腻舒适，非常喜欢。
z***8,颜色分类:09 黑色;尺码:160/88A/L,2021-01-28 22:07:01,料子不太好，不知道是什么材质，款式还不错，穿着挺舒服
c***h,颜色分类:09 黑色;尺码:160/88A/L,2021-01-28 18:59:16,静电超大
c***e,颜色分类:12 桃红色;尺码:160/84A/M,2021-01-28 15:11:37,此用户没有填写评论!
吕***5,颜色分类:12 桃红色;尺码:155/80A/S,2021-01-27 22:12:20,好看 质量很好
c***浅,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-27 16:56:46,柔软舒适，有点贴腿
l***y,颜色分类:32 深米色;尺码:155/80A/S,2021-01-27 12:56:05,看图偏黄色，实物色差不小。长到小腿肚，搭不好容易压个子。
五***7,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-27 10:11:28,软软的，稍有点扎，不是纯白色，带点夹花灰。
2***q,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-26 22:02:21,我的身高体重：156 51kg 加了腰带可以解锁不同长度！ 放下穿又很温柔～ 这个领也很特别！自然放下来就很好看！
h***5,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-26 14:03:32,质量很差 晴纶  起球严重
h***8,颜色分类:09 黑色;尺码:160/84A/M,2021-01-26 13:40:30,好看，就是不经穿
