displayUserNick,auctionSku,rateDate,rateContent
s***8,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-26 17:07:40,不错
e***2,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-26 06:07:41,好看😊
半***城,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-25 23:31:07,很棒，和在店里的是一样的，女朋友穿起来很好看。
叮***d,颜色分类:31 米色;尺码:155/80A/S,2021-02-25 18:22:22,满意
夜***玄,颜色分类:31 米色;尺码:165/92A/XL,2021-02-23 20:49:10,版型不错，搭配性强，面料很舒服但是有褶皱的情况、初一发顺丰、物流很棒
此***儿,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 19:47:42,店里一眼就看上这条裙子了！果然不负重望🥰🥰
最***七,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-23 18:52:56,太爱这条裙子了
s***g,颜色分类:31 米色;尺码:155/80A/S,2021-02-23 18:25:05,面料亲肤、肩带可调节、上身效果好，就是胸前的纽扣容易崩开，太尴尬了&hellip;&hellip;
m***1,颜色分类:15 珊瑚红色;尺码:150/76A/XS,2021-02-23 09:52:51,裙子太长了 我身高156 买的150的 裙子都到脚跟了
舜***儿,颜色分类:31 米色;尺码:160/88A/L,2021-02-22 22:52:41,信得过
d***l,颜色分类:09 黑色;尺码:160/84A/M,2021-02-22 13:07:07,漂亮，显瘦显腰身，搭配白T恤显年轻啊
白***y,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-22 05:48:10,挺好看的，喜欢喜欢💕
y***a,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-21 11:10:09,美
买***6,颜色分类:15 珊瑚红色;尺码:150/76A/XS,2021-02-19 21:13:30,我158 92斤，穿xs整好，但是为啥感觉比去年那个长？？而且为啥我穿上跟大多数姑娘穿上不一样，果然是屁股太大了吗-_-
c***玉,颜色分类:15 珊瑚红色;尺码:170/100B/XXL,2021-02-18 22:05:43,好看
x***6,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-15 11:36:12,很好！
t***6,颜色分类:15 珊瑚红色;尺码:170/100B/XXL,2021-02-08 00:01:02,好看😊
t***3,颜色分类:31 米色;尺码:160/84A/M,2021-02-07 16:02:27,好看！简约但是很有美感，剪裁很显身材。一开始买了s码，后来换了m的，感觉也没有差太多啊，差不多大。优衣库永远滴神！
若***8,颜色分类:15 珊瑚红色;尺码:170/100B/XXL,2021-02-05 23:28:34,好看
c***5,颜色分类:15 珊瑚红色;尺码:170/100B/XXL,2021-02-04 19:22:29,虽说是正价吧，但是为了能穿得上，还是买了正价的
t***6,颜色分类:31 米色;尺码:150/76A/XS,2021-02-01 11:59:14,店里试的s太大了，这里165的窄肩穿xs正好 终于买到合适的连衣裙了 很法式风情
咖***碧,颜色分类:09 黑色;尺码:155/80A/S,2021-01-31 20:41:15,给女朋友买的，好看
z***6,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-01-27 20:18:37,超级喜欢
8***i,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-23 22:04:50,在实体店就很喜欢，没有我的码，没想到这里有
