displayUserNick,auctionSku,rateDate,rateContent
o***s,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 22:44:56,买来配大衣外套的，外套没穿上就天热了，结果这件刚刚好&hellip;&hellip;想再买件其他的颜色，发现又恢复原价了&hellip;&hellip;
t***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-07 12:54:22,好
t***0,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-07 12:54:22,好
t***8,颜色分类:11 粉红色;尺码:160/88A/L,2021-02-07 07:53:36,好好好
小***馨,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-07 06:49:13,很好
小***馨,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-07 06:49:13,回购，很好
漂***嫚,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-06 20:52:26,非常好，喜欢
千***8,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-04 14:14:44,一般
多***l,颜色分类:00 白色;尺码:160/84A/M,2021-02-02 20:47:54,很舒适的裙子，款式就不要求了
m***玉,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-30 14:34:57,优衣库的这款衣服，粉红色，刷新了什么叫粉红色，我以为，我是**，我问我儿子初中生，这个这粉红色吗，我儿子说这怎么是粉红色，衣服可以，价格便宜，管它是啥色，能穿就可以了，偏短，须配打底裤，169高
s***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-23 21:28:23,好看，喜欢...
f***a,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-19 07:00:57,柔软舒适
小***鑫,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-01-17 10:22:44,够大
l***3,颜色分类:00 白色;尺码:160/84A/M,2021-01-16 13:04:09,还不错，春天可以穿了
