displayUserNick,auctionSku,rateDate,rateContent
r***6,颜色分类:57 深橄榄色;尺码:160/88A/L,2021-02-27 03:49:23,整体评价：衣服很好，但是优衣库客服态度不好和北京仓库员工渎职。
l***g,颜色分类:32 深米色;尺码:160/84A/M,2021-02-25 22:45:13,99块，要什么自行车，很满意
1***m,颜色分类:32 深米色;尺码:160/84A/M,2021-02-24 17:09:31,满意！
l***7,颜色分类:32 深米色;尺码:160/88A/L,2021-02-24 14:44:56,宝贝质量很好，应该是正品，店服热情周到，物流也很快，发货速度很给力，值得拥有和推荐一下，五星好评一个先！！  ！
t***o,颜色分类:32 深米色;尺码:160/84A/M,2021-02-23 14:47:36,看博主推荐才买，但没她们说的那么好，手洗后变形不成样，穿上身那里都顺眼，一次都无穿过。
w***3,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-23 14:17:02,颜色很美丽
t***7,颜色分类:57 深橄榄色;尺码:160/84A/M,2021-02-23 12:15:38,"非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值；客服回复及时，态度好，回答问题耐心细致；发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
宝***1,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 10:11:50,最近优衣库的不断买买买性价比高啊，幸运买到黑色，好评！
m***9,颜色分类:57 深橄榄色;尺码:155/80A/S,2021-02-22 18:18:27,同一商品换链接降价
达***7,颜色分类:32 深米色;尺码:160/88A/L,2021-02-22 16:10:52,挺好的，比较细腻，不易起球，身高168，体重124斤，m码有点紧，L更舒适
q***2,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-22 09:03:39,颜色暗一点，但是还不错，试穿一下，不错的
z***7,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-21 11:55:31,无 第一次买以衣优库的衣服，做工真是太好了，耐看有气质
谢***瑾,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-20 11:40:14,有点显脖子短，天生硬伤，伤不起啊
x***6,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-20 09:53:27,👍
我***y,颜色分类:32 深米色;尺码:155/80A/S,2021-02-18 16:12:47,很好的卖家很好的商品很好的客服很好的物流很好的态度，真的是物有所值还会回购也会推荐给身边的人，喜欢的别犹豫赶紧入手吧，祝老板生意兴隆
刘***汪,颜色分类:57 深橄榄色;尺码:155/80A/S,2021-02-18 10:17:45,很显瘦
樱***妻,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-17 23:46:28,买的xs的 洗了要穿的时候才发现寄来的是s的 唉 这衣服也没觉得有多好看 只是因为正好有加小码才买的 没想到还给发错了 网购优衣库上百件了头一次碰上发错货的事情
梦***l,颜色分类:57 深橄榄色;尺码:155/80A/S,2021-02-17 15:53:07,版型挺好看的  我觉得要配个腰带
绿***7,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-16 17:13:46,特别好看，领子和袖子的设计既性感又舒适！
a***3,颜色分类:57 深橄榄色;尺码:160/84A/M,2021-02-16 12:41:16,买了一件粉的觉得很不错，再买一件。
a***6,颜色分类:32 深米色;尺码:155/80A/S,2021-02-16 08:19:20,可以
t***8,颜色分类:32 深米色;尺码:155/80A/S,2021-02-16 07:40:45,此用户没有填写评论!
1***2,颜色分类:32 深米色;尺码:160/84A/M,2021-02-15 22:33:26,起球严重！！！！柔软，百搭，款式好看，就是要起球！！！
q***果,颜色分类:32 深米色;尺码:160/88A/L,2021-02-15 21:34:10,还没穿，看着挺好
n***0,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-15 20:26:30,一次就有点起球了。啦咯啦咯啦咯啦咯啦咯啦
k***3,颜色分类:32 深米色;尺码:160/88A/L,2021-02-15 13:04:35,非常好
大***飞,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-14 21:30:24,玫瑰灰的色调，特别文静淑女的感觉。料子很舒服。大爱
j***1,颜色分类:09 黑色;尺码:155/80A/S,2021-02-14 18:54:55,超喜欢，版型超好，又舒服
j***1,颜色分类:12 桃红色;尺码:155/80A/S,2021-02-14 18:54:55,算是半高领的，蛮好的，好舒服
我***3,颜色分类:12 桃红色;尺码:160/84A/M,2021-02-14 09:56:01,全棉材质，适合春天穿，颜色好看，休闲款式。
r***9,颜色分类:57 深橄榄色;尺码:160/84A/M,2021-02-13 08:28:32,比较薄，颜色无色差，长度略长，袖子是有点喇叭形状，穿回来人显斯文，还可以
a***6,颜色分类:32 深米色;尺码:160/84A/M,2021-02-12 19:43:09,挺好的，发货也快
一***8,颜色分类:57 深橄榄色;尺码:160/88A/L,2021-02-12 14:58:28,99元抢到，中了优衣库的毒，天天抢购屯货中！
