displayUserNick,auctionSku,rateDate,rateContent
多***宝,颜色分类:00 白色;尺码:165/92A/XL,2021-02-26 19:54:29,像不像白无常
摇***拜,颜色分类:07 青灰色;尺码:165/92A/XL,2021-02-26 16:18:47,款式简约大方，颜色大气。继续关注！
爱***9,颜色分类:63 天蓝色;尺码:170/100B/XXL,2021-02-26 11:32:55,质量不错，棉质柔软
l***3,颜色分类:41 杏黄色;尺码:150/76A/XS,2021-02-24 08:31:33,宽松版型，不会太显胖
v***y,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-22 15:51:06,材质舒适
丁***2,颜色分类:41 杏黄色;尺码:170/100B/XXL,2021-02-21 15:03:22,可惜没有更大一码，丝光棉夏天舒服
野***3,颜色分类:63 天蓝色;尺码:170/100B/XXL,2021-02-17 21:18:14,料子滑滑的很舒服 给妈妈买的163 160斤穿xxl刚好
t***8,颜色分类:07 青灰色;尺码:170/100B/XXL,2021-02-16 21:33:04,赞
t***9,颜色分类:41 杏黄色;尺码:160/88A/L,2021-02-16 10:09:06,好评
怀***5,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-12 16:38:00,非常好 一贯满意好评好评
s***1,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-12 12:23:37,非常好 一贯满意好评好评
