displayUserNick,auctionSku,rateDate,rateContent
石***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-11 00:27:17,好
尕***o,颜色分类:61 水蓝色;尺寸:155/62A/S,2021-01-03 22:04:44,这个颜色适合秋天配开衫 比较清爽
j***i,颜色分类:61 水蓝色;尺寸:160/66A/M,2020-12-19 21:33:26,好
椰***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-12-19 17:37:48,很好，帮老妈买的
s***0,颜色分类:68 深蓝色;尺寸:155/58A/XS,2020-12-12 03:40:26,此用户没有填写评论!
云***子,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-12-11 19:22:56,此用户没有填写评论!
t***1,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-12-01 11:07:48,很舒服挺好的，就是有点小贵。。。。。。。
w***3,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-29 17:09:11,裤子质量很好，面料很舒服，版型很好！
琴***密,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-11-26 19:10:55,回购多次的了，适合小个子
洁***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-25 08:42:43,好
米***子,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-24 16:44:08,没有束缚感，但是面料内面不够亲肤，穿上有粗糙感。
x***2,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-23 11:40:31,不错好穿
l***k,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-20 22:57:42,小短腿福音裤😂
a***1,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-20 09:23:08,质量很好，显瘦
鬼***0,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-17 18:11:23,没拉链，不知道会不会起球
h***3,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-16 18:39:07,这裤子每年都会买，适合矮个子的人穿，今年的款式比去年的软
d***3,颜色分类:68 深蓝色;尺寸:155/62A/S,2020-11-15 15:50:29,裤腿儿可以再紧一点儿。如果里面能有一层绒就更好了。
小***4,颜色分类:68 深蓝色;尺寸:160/66A/M,2020-11-14 15:56:22,还没穿呢，看起来没有前几年的裤子品质好。
d***n,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-11-14 15:25:10,舒适且弹性很好(✪▽✪)
矛***己,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-11-10 20:42:52,买第四条了，春秋穿特别合适贴身
m***0,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-11-09 14:06:22,水蓝色和天蓝色可以，深蓝色的面料不同穿上感觉也不一样，退了深蓝。
t***5,颜色分类:61 水蓝色;尺寸:160/70A/L,2020-11-04 19:19:46,无限回购各种颜色各一条
桃***1,颜色分类:61 水蓝色;尺寸:155/62A/S,2020-11-02 22:30:01,显胖，减减肥先
t***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-10-30 17:22:20,很好  很好搭衣服 已经又回购了
a***6,颜色分类:68 深蓝色;尺寸:165/78A/XL,2020-10-15 10:24:59,好
坏***基,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-10-14 18:56:18,这款裤子真神奇SML都能穿🤦&zwj;♀️
