displayUserNick,auctionSku,rateDate,rateContent
啦***是,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-26 15:41:12,好
千***事,颜色分类:09 黑色;尺寸:155/62A,2021-02-26 10:59:00,裤子特别显瘦，以前瘦的时候买过56A的，现在胖了，买大了一点，舒服显瘦，赞
z***9,颜色分类:66 蓝色;尺寸:150/56A,2021-02-26 07:43:34,我身高1.58cm 体重90到91斤 最后选的150/56A 特别合身 当时聚划算 价格已降到谷底 99包邮 好想把有的颜色都收了 在150/56A和150/58A之间纠结 看了评价大多数90出头的小姐妹都选了150/58A 我也跟着拍了 没过几分钟就感觉不对 优衣库的衣服和裤子 从来都是穿倒数第二小的码 以前宽腿牛仔买的也是150/56A 于是赶紧退了重拍 拍了浅蓝 蓝 藏青各一条 但是还是很担心穿不了 收到后迫不及待试穿 完美 一颗悬着的心终于落下了 适合瘦长腿哈😊 特别喜欢藏青 浅蓝次之
z***9,颜色分类:69 藏青色;尺寸:150/56A,2021-02-26 07:43:03,我身高1.58cm 体重90到91斤 最后选的150/56A 特别合身 当时聚划算 价格已降到谷底 99包邮 好想把有的颜色都收了 在150/56A和150/58A之间纠结 看了评价大多数90出头的小姐妹都选了150/58A 我也跟着拍了 没过几分钟就感觉不对 优衣库的衣服和裤子 从来都是穿倒数第二小的码 以前宽腿牛仔买的也是150/56A 于是赶紧退了重拍 拍了浅蓝 蓝 藏青各一条 但是还是很担心穿不了 收到后迫不及待试穿 完美 一颗悬着的心终于落下了 适合瘦长腿哈😊 特别喜欢藏青 浅蓝次之
z***9,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-26 07:42:30,我身高1.58cm 体重90到91斤 最后选的150/56A 特别合身 当时聚划算 价格已降到谷底 99包邮 好想把有的颜色都收了 在150/56A和150/58A之间纠结 看了评价大多数90出头的小姐妹都选了150/58A 我也跟着拍了 没过几分钟就感觉不对 优衣库的衣服和裤子 从来都是穿倒数第二小的码 以前宽腿牛仔买的也是150/56A 于是赶紧退了重拍 拍了浅蓝 蓝 藏青各一条 但是还是很担心穿不了 收到后迫不及待试穿 完美 一颗悬着的心终于落下了 适合瘦长腿哈😊 特别喜欢藏青 浅蓝次之
樱***妻,颜色分类:66 蓝色;尺寸:150/54A,2021-02-25 20:17:06,想买浅蓝色的然而没货了 这个深一点的也还挺好看的 头一次穿紧身裤 果然比阔腿裤暖和不少啊
何***5,颜色分类:62 粉蓝色;尺寸:160/66A,2021-02-25 18:59:31,好不容易蹲到这个号，上身效果好看又舒服喜欢喜欢
w***9,颜色分类:62 粉蓝色;尺寸:160/66A,2021-02-25 12:24:13,粉蓝色太好看了 168 105 穿160码刚合适 长一点点 不需要改 完美
宝***瑶,颜色分类:66 蓝色;尺寸:150/56A,2021-02-25 09:58:27,很好
海***5,颜色分类:66 蓝色;尺寸:150/56A,2021-02-24 09:50:23,喜欢
t***6,颜色分类:62 粉蓝色;尺寸:160/64A,2021-02-22 15:32:45,够长 尺码也不错挺准的 好不容易买到的这个码子
x***o,颜色分类:62 粉蓝色;尺寸:155/62A,2021-02-22 10:52:17,上身效果：如图 面料品质：松紧大，柔软舒适 厚薄度：薄款，适合春秋 尺码推荐：165，100，s码。 整体评价：很赞。 前年买了一条，爱不释手，两年了，更新一下。 但是我这次试完衣服重新量了一下腰围腿围，突然觉得自己以后可以买L**了🤣
屠***王,颜色分类:62 粉蓝色;尺寸:150/58A,2021-02-21 20:12:14,从299蹲到了99，弹力大，裤腿长，颜色清爽
小***l,颜色分类:62 粉蓝色;尺寸:150/58A,2021-02-21 14:55:42,160高80斤的女儿穿着刚好，弹力超大，我98斤都穿不上，小腿肚那提不起来
米***0,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-20 18:19:14,裤子太长了！不过颜色很好看。
浅***n,颜色分类:62 粉蓝色;尺寸:150/58A,2021-02-20 12:23:53,除了长点，别的没毛病
某***物,颜色分类:62 粉蓝色;尺寸:150/58A,2021-02-16 11:17:51,整体评价：满意 尺码推荐：裤腰不高，臀围八十多，穿上贴身 厚薄度：偏薄 面料品质：弹性大，87%棉
一***3,颜色分类:62 粉蓝色;尺寸:155/62A,2021-02-14 14:46:43,大小正合适，按平时的码数买准没差。面料也挺柔软。下水了也不怎么掉色，颜色也挺喜欢，值得推荐。
快***0,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-14 14:34:22,价格实惠，质量有保证，降价险赔付了50元
i***a,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-08 11:58:06,哇，确实好长
t***5,颜色分类:62 粉蓝色;尺寸:155/62A,2021-02-06 23:58:33,刚好合身 很喜欢 穿靴子 长点没关系 以后都在这里买裤子了
c***t,颜色分类:09 黑色;尺寸:155/62A,2021-02-02 19:49:04,因为便宜 只有比平时小一码也买了 可是太紧啦 分分钟煎熬   粘毛力也很优秀啊 呜呜呜呜呜
s***6,颜色分类:62 粉蓝色;尺寸:160/68A,2021-01-30 08:38:57,整体评价：好看 尺码推荐：准 厚薄度：薄 面料品质：软 上身效果：值这个价吧。
m***0,颜色分类:62 粉蓝色;尺寸:160/64A,2021-01-26 20:50:44,价格优惠，物流挺快。裤子弹力可以，穿着不紧绷。除了长没有别的毛病，9分长度效果我需要挽三下裤脚才成～
s***5,颜色分类:62 粉蓝色;尺寸:160/68A,2021-01-26 20:47:04,颜色很不错，长度比起优衣库其它型号的牛仔裤还长点，正是我想要的，比较适合春秋穿
逸***7,颜色分类:69 藏青色;尺寸:150/54A,2021-01-26 15:32:20,第二次购买，除了长没毛病，也只有优衣库的最小尺码我能穿了
花***3,颜色分类:62 粉蓝色;尺寸:160/68A,2021-01-26 09:21:08,好评
