displayUserNick,auctionSku,rateDate,rateContent
笑***光,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-26 22:47:55,非常喜欢
玛***o,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-26 22:14:20,168 122 腰围75穿着正好，搁以前68腰围的时候就肥了😭
丑***y,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-26 20:14:00,之前入过灰色，实体店看过觉得蓝色没有灰色软，现在打折再入一条小一**春夏穿，身高160体重64kg
蘑***0,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-26 20:07:38,68的腰，这个码刚好，不知会不会洗大
菲***朱,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-26 19:14:55,好看！舒服
祭***袖,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-26 14:56:14,腰围70，买62a正好
t***6,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-26 13:01:59,质量很好，样式非常好
菲***2,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-26 12:40:44,162.54这个码还有点点富余
哈***去,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-26 10:52:51,好
s***6,颜色分类:63 天蓝色;尺寸:160/68A,2021-02-26 06:41:12,优衣库粉丝，多数衣服在她家买，做工优良，质量保证。
t***5,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-26 00:29:20,整挺好。就是坐不到十分钟，裤子就皱皱的了。。。
f***5,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-25 22:46:55,149入的，还行
s***n,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-25 21:52:26,很好
c***8,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-25 19:08:40,170，118斤特别特别的合适，腰围没富裕，长短是我喜欢的九分效果，大腿还是显粗，还能接受毕竟是浅色嘛已经很好了就留下了
g***0,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-25 16:35:53,喜欢，两个颜色都买了，很适合我
w***h,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-25 13:52:06,很合适，穿起来很舒服。
玲***恋,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-25 11:36:28,挺好的
坟***梗,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-24 21:20:38,很好
静***8,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-24 20:48:17,裤子很好
祖***8,颜色分类:63 天蓝色;尺寸:160/64A,2021-02-24 13:25:55,品质很不错🍆，性价比比较高的的商品🍀，喜欢的亲可以直接下手不要犹豫哦📍
