displayUserNick,auctionSku,rateDate,rateContent
4***j,颜色分类:30 浅米色;尺寸:160/66A,2021-02-11 12:16:02,整体评价：面料柔软舒适，1.62身高体重108左右，其实小一码才是合适，但是看看没有尺码了，只能将就大一号。裤子比较长，平底鞋我需要挽起两层，但是不影响裤型。谢谢年前还火速发货，五分好评。
夜***怡,颜色分类:30 浅米色;尺寸:160/68A,2021-01-11 20:19:39,赞
q***y,颜色分类:30 浅米色;尺寸:165/74A,2021-01-07 12:10:09,太长了，其他没毛病
t***4,颜色分类:09 黑色;尺寸:160/64A,2021-01-04 16:40:54,买小了，换黑色66A，未拆吊牌
h***0,颜色分类:09 黑色;尺寸:160/66A,2020-12-27 20:51:55,超级舒服
t***q,颜色分类:09 黑色;尺寸:160/64A,2020-12-24 14:16:51,裤子质量不错，穿着很舒服，比较紧身，但是裤脚有点长。
群***1,颜色分类:30 浅米色;尺寸:165/74A,2020-12-21 10:49:45,裤子不错，就是买大了一码，优家的牛仔裤都不错
9***l,颜色分类:09 黑色;尺寸:160/70A,2020-12-20 21:46:09,裤子不错，挺合身的，弹性也很好。店家发货也非常快。还是天猫平台靠谱，在京东自营买东西都不给开发票，也不知道狗东是不是要偷税！
t***5,颜色分类:67 海蓝色;尺寸:160/64A,2020-12-20 18:31:12,裤子质量很好，版型也不错 ，就是太长了
烟***2,颜色分类:09 黑色;尺寸:160/66A,2020-12-20 15:40:24,粘毛厉害
闷***1,颜色分类:09 黑色;尺寸:160/68A,2020-12-17 15:52:43,显瘦，很好。身高172体重120正好
t***7,颜色分类:09 黑色;尺寸:160/66A,2020-12-17 07:39:13,今年门店买的HEATTECH高弹力牛仔裤160/64A大小正好，这款的160/66A穿着却太紧了。
s***y,颜色分类:09 黑色;尺寸:160/66A,2020-12-15 17:08:55,码子偏小，平时66m的这个偏紧
b***k,颜色分类:09 黑色;尺寸:160/70A,2020-12-14 15:29:57,裤子有点长，在门店改了，服务挺好的
暖***9,颜色分类:69 藏青色;尺寸:160/70A,2020-12-03 18:11:29,非常满意
a***1,颜色分类:01 乳白色;尺寸:175/86B,2020-10-08 18:47:19,商品分批发货，退货的时候单件选没有7天无理由！被退回，不给任何处理协调，被迫消费。系统出了问题，客服说他们没有权限调理、没法处理！人工不用来解决问题，设客服电话只是摆设！客服打了2次都在拖，解决不了，等其他人打电话反馈。一件衣服处理一个月没有回馈！没有任何处理！情况说的很清楚了，整个公司没有解决的态度！****吧！
小***狸,颜色分类:69 藏青色;尺寸:170/82A,2020-09-19 10:45:09,170个头，160体重，这个码合适。这是生完孩子之后第一次买牛仔裤。我真的很喜欢穿牛仔裤🐮。优衣库的衣服不错，就是有点贵。
减***之,颜色分类:69 藏青色;尺寸:165/72A,2020-08-26 12:42:43,整体评价：物美价廉 尺码推荐：尺码标准 厚薄度：适合春秋 面料品质：面料很好 上身效果：非常不错
