displayUserNick,auctionSku,rateDate,rateContent
m***m,颜色分类:09 黑色;尺寸:160/70A,2021-02-26 20:11:56,显瘦，适合秋冬穿
c***晓,颜色分类:09 黑色;尺寸:160/70A,2021-02-25 23:51:54,很好
n***1,颜色分类:69 藏青色;尺寸:160/70A,2021-02-25 20:29:56,299在实体店买了黑色，199下单藏青色，比黑色很软，nice
苏***子,颜色分类:09 黑色;尺寸:160/64A,2021-02-25 18:14:00,好
燕***歌,颜色分类:68 深蓝色;尺寸:160/70A,2021-02-25 14:12:48,尺码正 柔软弹性适中 做工不错
尽***回,颜色分类:68 深蓝色;尺寸:160/64A,2021-02-25 08:24:02,肿么办，超级显瘦，优衣库牛仔裤靠谱
小***2,颜色分类:69 藏青色;尺寸:160/66A,2021-02-24 14:05:30,弹力不错，穿起来又显瘦又好看
仇***3,颜色分类:69 藏青色;尺寸:160/66A,2021-02-24 13:55:59,好看的
仇***3,颜色分类:68 深蓝色;尺寸:160/66A,2021-02-24 13:55:59,好看的
巧***7,颜色分类:09 黑色;尺寸:160/66A,2021-02-23 22:53:58,哈哈不用剪裤长，好
f***l,颜色分类:69 藏青色;尺寸:160/68A,2021-02-23 22:00:08,尺码推荐：厚实，显瘦，弹性也好，轻微掉色，155高，臀围91，腰围74穿160/68A合适，当长裤刚好不用裁
m***l,颜色分类:68 深蓝色;尺寸:165/76A,2021-02-22 21:50:09,挺好的
c***8,颜色分类:09 黑色;尺寸:155/62A,2021-02-22 21:39:27,好好好
t***4,颜色分类:69 藏青色;尺寸:155/62A,2021-02-21 13:34:49,裤子很舒服而且显得腿直
燕***歌,颜色分类:07 青灰色;尺寸:160/70A,2021-02-21 11:21:03,面料在点厚度，但柔软舒适。 做工好 宽窄长短合适 有弹力
奥***娜,颜色分类:69 藏青色;尺寸:160/64A,2021-02-21 09:13:32,整体评价：大小合适，修身。 尺码推荐：这个尺寸穿着没有余地了。 厚薄度：不薄。 面料品质：有弹力。 上身效果：非常修身。165号才是我的理想型，这个腰围正好，大腿稍微紧了。
肉***鱼,颜色分类:68 深蓝色;尺寸:165/74A,2021-02-20 21:23:44,高弹力，裤型贴身，短了一点。
肉***鱼,颜色分类:07 青灰色;尺寸:165/74A,2021-02-20 21:22:51,比较浅的灰色，高弹力，裤型贴身，颜色不够深不太显瘦。
x***6,颜色分类:69 藏青色;尺寸:160/64A,2021-02-20 14:51:26,永远找不到客服，裤子洗后褪色，无人理会，维权也找不到人处理结果让人心寒，卖家也是无理要求非要拍照标签，洗后怎么还会有标签在，
h***4,颜色分类:68 深蓝色;尺寸:165/76A,2021-02-19 16:58:21,面料柔软有弹性，除了腰围太大，其它正合适，赞！
q***1,颜色分类:69 藏青色;尺寸:160/68A,2021-02-19 13:18:20,绝对神裤，已经买了好几条了
y***2,颜色分类:68 深蓝色;尺寸:175/90B,2021-02-18 20:49:51,裤型不错，合适。
我***7,颜色分类:68 深蓝色;尺寸:160/66A,2021-02-18 19:31:46,质量挺好，尺码标准，颜色正，裤型修身。
m***e,颜色分类:68 深蓝色;尺寸:165/76A,2021-02-18 19:15:51,神裤，显腿细 性价比高，我很喜欢，下次还会光临很好看，制作工艺很精美，材质也很好！给个赞！
