displayUserNick,auctionSku,rateDate,rateContent
v***1,颜色分类:64 湖蓝色;尺寸:160/68A,2021-02-26 22:58:11,薄厚正合适。版型还很好看。
t***4,颜色分类:64 湖蓝色;尺寸:155/62A,2021-02-26 22:38:04,优衣库的衣服一直很不错，舒适喜欢
p***9,颜色分类:64 湖蓝色;尺寸:165/74A,2021-02-26 18:01:06,裤子很合适，是正品，一直穿这个牌子的裤子。
谢***1,颜色分类:66 蓝色;尺寸:165/76A,2021-02-26 17:01:43,高估自己了，买的太胖了，正好赶上过年，就没调换，面料属于薄的，春季，初夏都可以穿，版型不错！感觉太容易旧了！
大***5,颜色分类:64 湖蓝色;尺寸:150/58A,2021-02-26 16:23:28,好
雪***若,颜色分类:04 烟灰色;尺寸:175/86B,2021-02-26 10:06:58,牛仔裤我只服优衣库。。很舒服
愚***心,颜色分类:66 蓝色;尺寸:155/62A,2021-02-26 09:06:15,是薄的，春秋穿合适，高158.重100斤。
悠***彤,颜色分类:01 乳白色;尺寸:160/70A,2021-02-26 08:03:18,腰低，立裆短，不舒服
n***f,颜色分类:04 烟灰色;尺寸:150/56A,2021-02-25 19:03:06,平时穿54a，这个56a刚好，感觉是比平时小一个尺码。
萱***露,颜色分类:01 乳白色;尺寸:160/66A,2021-02-25 14:41:22,服务好
雨***秋,颜色分类:01 乳白色;尺寸:160/68A,2021-02-25 11:42:25,裤型不太好，退了
z***l,颜色分类:04 烟灰色;尺寸:160/68A,2021-02-25 10:42:50,裤型好，穿着舒服
s***r,颜色分类:66 蓝色;尺寸:165/74A,2021-02-24 18:01:41,完美！不知线下店为什么尺码只有155和160，是歧视大**人吗？
j***6,颜色分类:66 蓝色;尺寸:165/74A,2021-02-24 15:55:16,因为店里没有合适的尺码，工作人员帮忙下单。尺寸正好！物流也快！
l***h,颜色分类:66 蓝色;尺寸:160/68A,2021-02-24 12:52:13,略大了一点，穿着也舒服吧。
v***t,颜色分类:04 烟灰色;尺寸:150/58A,2021-02-24 10:47:51,裤型好，穿起来也舒服
h***1,颜色分类:64 湖蓝色;尺寸:165/76A,2021-02-24 10:44:59,值得推荐
s***2,颜色分类:04 烟灰色;尺寸:175/86B,2021-02-23 23:13:56,很舒服！
小***y,颜色分类:64 湖蓝色;尺寸:150/58A,2021-02-23 19:52:18,码数刚刚好
j***u,颜色分类:66 蓝色;尺寸:155/62A,2021-02-23 12:16:53,裤型好看，合身，不显胖。
z***妍,颜色分类:01 乳白色;尺寸:170/82A,2021-02-23 11:35:54,帮别人买的，码都发错了，发小了一码，客服也找不到，全是电脑回答，什么问题都解决不了，也真是不咋地。
小***凝,颜色分类:66 蓝色;尺寸:160/66A,2021-02-23 08:03:28,稍微有点爱鼓包，其他挺好的
笨***8,颜色分类:64 湖蓝色;尺寸:150/58A,2021-02-22 22:25:32,蛮不错👍
l***3,颜色分类:66 蓝色;尺寸:160/68A,2021-02-21 22:13:23,喜欢，一直在他家买衣服
t***6,颜色分类:64 湖蓝色;尺寸:160/68A,2021-02-21 15:12:40,值得信赖，会一直光顾。
紫***6,颜色分类:04 烟灰色;尺寸:155/62A,2021-02-21 12:37:08,腰围74，臀围90，此款按照尺码表选了155/62A能穿但偏小偏紧，建议按照推荐的码买就对了。想要换大一**，结果被告知要去实体店换或者退了重新拍，太麻烦了。留着穿穿吧！裤子质量挺好的，颜色也好看，激励自己减肥了。
粉***蓝,颜色分类:66 蓝色;尺寸:160/68A,2021-02-21 12:06:45,要买比平常大一个码，裤型很显瘦。167，116斤，腰围76，给各位姐妹参考。
巫***丽,颜色分类:66 蓝色;尺寸:170/82A,2021-02-21 09:49:49,换了一次，非常合适，除去腰围有点点大之外，其他的很好！
安***7,颜色分类:64 湖蓝色;尺寸:170/82A,2021-02-20 18:28:47,裤型不错，面料舒适。修饰腿型。满意！纠结😣了很长时间还是买了大一号的裤子，本人感觉宽松点更舒适有型，腰围有点大，但不影响穿，扎个腰带就很好了。
璐***爱,颜色分类:64 湖蓝色;尺寸:150/56A,2021-02-20 15:40:23,挺好
x***1,颜色分类:01 乳白色;尺寸:160/66A,2021-02-20 10:12:55,百搭，梨型身材必备，四季都可穿！
q***7,颜色分类:64 湖蓝色;尺寸:160/64A,2021-02-20 09:10:54,好评
v***5,颜色分类:66 蓝色;尺寸:160/68A,2021-02-19 23:35:56,好看
大***举,颜色分类:01 乳白色;尺寸:150/58A,2021-02-19 23:19:45,优衣库真的非常可！性价比之王，等不到下一波降价了，啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦，买买买买买买迈阿密买买买买买买买买买买买买买买买！
w***7,颜色分类:01 乳白色;尺寸:155/62A,2021-02-19 22:54:47,白色好
k***8,颜色分类:04 烟灰色;尺寸:175/90B,2021-02-19 18:17:43,第一天试穿的时候觉得很好看，第二天再穿发现腿很粗，可能是我腿的问题。
a***o,颜色分类:66 蓝色;尺寸:160/64A,2021-02-19 17:07:06,腰围尺码和尺寸表上差的有点多。。。其他都合适就是腰围小了
d***1,颜色分类:66 蓝色;尺寸:165/76A,2021-02-19 15:43:07,160.125这个号大点，喜欢穿肥大的舒服。中腰裤，卷了两下裤脚穿很时尚。洗完一次闻着总有股药水味，牛仔是怎么染色的呢？
清***a,颜色分类:66 蓝色;尺寸:160/70A,2021-02-19 13:38:16,还行，优衣库的牛仔裤一如既往的支持
金***姆,颜色分类:64 湖蓝色;尺寸:170/82A,2021-02-19 11:43:10,好看，推荐的尺码偏大了，穿着舒服
t***1,颜色分类:04 烟灰色;尺寸:160/64A,2021-02-18 22:03:04,版型不错，腰底，买大一码刚好合适。
z***5,颜色分类:64 湖蓝色;尺寸:160/68A,2021-02-18 19:40:31,腰比较低，别的裤子都是160-66A，这个裤子得大一号，因为卡裆！！！颜色还是好看的，更适合春夏，但秋冬穿也很好搭衣服。就是优衣库的性价比越发不如以前了&hellip;&hellip;
k***a,颜色分类:04 烟灰色;尺寸:160/68A,2021-02-18 14:27:18,裆略短，尺码要比之前的牛仔裤买大1-2码会比较合适
周***z,颜色分类:64 湖蓝色;尺寸:160/66A,2021-02-18 13:48:37,这款裤子码偏小
x***9,颜色分类:64 湖蓝色;尺寸:150/58A,2021-02-18 11:57:28,刚好合适，舒服
邓***2,颜色分类:04 烟灰色;尺寸:150/56A,2021-02-18 10:59:17,对于矮个子来说挺友好，长度合适，烟灰色好看
1***哈,颜色分类:66 蓝色;尺寸:150/54A,2021-02-17 23:35:25,卡档
好***守,颜色分类:66 蓝色;尺寸:150/58A,2021-02-17 21:18:38,160 97这个码数刚刚好 软牛仔柔软舒服
故***光,颜色分类:64 湖蓝色;尺寸:160/64A,2021-02-17 20:58:53,不开森，不开森，眯瞪了，魔怔。优衣库优秀，在于材质和性价比，但不是说设计优秀。牛仔裤真的太，，，已落后很多了。😁其他的还不错
我***爱,颜色分类:01 乳白色;尺寸:160/66A,2021-02-17 18:11:09,很好
a***6,颜色分类:66 蓝色;尺寸:170/82A,2021-02-17 13:38:59,这条裤子说好的太多了，我一定要泼个凉水，是我这几年买过最难看的裤子，正常穿了一上午，坐着开车，吃饭，膝盖鼓包顶出来了，顶在靠下小腿的位置，就奇怪的变成了罗圈腿！又粗又短又扩圈，上图大家参考看一下，原始腿型，没有明显的问题，膝盖鼓包以后的样子，和膝盖所在的位置。
史***4,颜色分类:01 乳白色;尺寸:160/66A,2021-02-17 13:19:22,看着显大，穿着显瘦，更好搭配。正常尺码买
桃***1,颜色分类:66 蓝色;尺寸:160/64A,2021-02-17 11:25:23,巨巨巨显瘦啊
v***5,颜色分类:01 乳白色;尺寸:160/66A,2021-02-15 22:53:21,好看舒适
j***0,颜色分类:66 蓝色;尺寸:165/76A,2021-02-15 15:49:25,显瘦，好看，尺码准确。
宋***6,颜色分类:04 烟灰色;尺寸:165/76A,2021-02-15 12:34:45,不错
7***畅,颜色分类:01 乳白色;尺寸:160/66A,2021-02-15 10:04:28,还不错。白白 很春天～
小***雪,颜色分类:01 乳白色;尺寸:150/54A,2021-02-14 10:08:57,在专柜试过，犹豫了一下没买，但是很喜欢就在线上蹲了一件。此款非常有型，比一般牛仔裤厚。适合春秋季节！还想再入一个颜色！
t***4,颜色分类:64 湖蓝色;尺寸:150/56A,2021-02-13 23:27:41,160 95穿这个正正好
d***e,颜色分类:66 蓝色;尺寸:165/74A,2021-02-13 20:25:36,160高，140斤，29正好，算是中腰，非常好。裤型超级棒。
a***长,颜色分类:01 乳白色;尺寸:160/66A,2021-02-13 18:01:12,建议还得去店里自己检查一下，我选的自提，给我拿了一条好几处明显不明黄色污渍的裤子
t***6,颜色分类:66 蓝色;尺寸:165/76A,2021-02-13 16:06:12,165，75公斤上下，给胖妹妹们参考。165/76A正好，腿部宽容度也适合，腰部正好，不能再小了，不然穿不上。的确腰部是偏小点。其它都满意。不是高腰。中腰裤，不吊裆，都不错，样子也休闲。很满意。要买的快点，胖子的号码不容易找
w***0,颜色分类:64 湖蓝色;尺寸:155/62A,2021-02-13 14:54:53,很好看
幸***0,颜色分类:66 蓝色;尺寸:165/74A,2021-02-12 22:12:12,这裤子得比平时买大1到2个码才合适。害得我买了3条不同**。 尺码推荐：平时穿优衣库牛仔裤72、74，这裤子得买76的。
季***楼,颜色分类:04 烟灰色;尺寸:165/74A,2021-02-12 19:25:25,梨型身材，臀围正好腰还是大了，颜色好看，比较薄，适合春秋
宋***6,颜色分类:66 蓝色;尺寸:165/76A,2021-02-12 15:21:01,不错
t***6,颜色分类:01 乳白色;尺寸:150/58A,2021-02-10 22:20:50,挺硬挺的，版型好看
皋***居,颜色分类:04 烟灰色;尺寸:170/82A,2021-02-10 16:06:51,裤子看着一般般，面料有点硬。尺码合适，就是不知道洗了以后会不会缩水。穿上试了试，老公说好看就留下来了。249买的，应该还会降，怕没有码了，就下手了。
l***4,颜色分类:66 蓝色;尺寸:160/64A,2021-02-10 15:21:19,此用户没有填写评论!
z***8,颜色分类:66 蓝色;尺寸:150/56A,2021-02-10 13:22:46,好
t***1,颜色分类:01 乳白色;尺寸:155/62A,2021-02-09 19:29:44,穿起好看好看好看。￼
z***9,颜色分类:66 蓝色;尺寸:160/64A,2021-02-09 15:18:35,确实很好穿
t***6,颜色分类:66 蓝色;尺寸:160/64A,2021-02-09 15:18:11,喜欢 很好看
t***9,颜色分类:04 烟灰色;尺寸:150/54A,2021-02-09 15:13:55,刚刚好尺寸
t***2,颜色分类:66 蓝色;尺寸:165/76A,2021-02-09 12:32:45,能穿真好
c***7,颜色分类:66 蓝色;尺寸:160/64A,2021-02-09 10:33:18,腿粗穿这款真是非常修饰腿型，产品质量也很好。非常满意的一次购物。
l***o,颜色分类:64 湖蓝色;尺寸:150/54A,2021-02-08 23:22:24,是软料，超显腿直😭😭，第一次买优衣库的神裤，喜欢！如果腰再高点就完美了。本人154.80，最小码，合适！
a***1,颜色分类:64 湖蓝色;尺寸:165/74A,2021-02-08 18:09:33,很喜欢
九***琪,颜色分类:04 烟灰色;尺寸:170/82A,2021-02-08 17:54:22,看评论都说腰围比之前的神裤小，然后我拍170的，裤头大了，唉，懒得退了，系皮带吧那就，不要看评论来买，我觉得最好去店里试试
吃***儿,颜色分类:66 蓝色;尺寸:150/56A,2021-02-08 17:00:08,不愧是神裤，就是有点卡裆，腰也有点紧，估计买小了点，凑合着穿吧，本人162 42kg
小***y,颜色分类:04 烟灰色;尺寸:155/62A,2021-02-08 14:41:58,大小合适。颜色好看。
t***5,颜色分类:04 烟灰色;尺寸:155/62A,2021-02-07 23:03:38,买了两条 一个烟灰色一个湖蓝色 奇怪的是两条一样的尺码 大小居然不一样😅
