displayUserNick,auctionSku,rateDate,rateContent
樱***q,颜色分类:00 白色;尺寸:165/76A,2021-02-25 10:29:23,好评
s***属,颜色分类:63 天蓝色;尺寸:165/76A,2021-02-23 18:45:33,试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！试了下，不错。好评！好评！好评！好评！好评！
哎***设,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-22 12:29:15,腰围68 臀围92 臀围合适 腰围大
t***1,颜色分类:09 黑色;尺寸:165/76A,2021-02-21 01:04:53,不错！！！降价了囤白色！！！我可以！！！
j***9,颜色分类:63 天蓝色;尺寸:160/66A,2021-02-16 21:49:54,经典款好好看，合作款真的好，买了好几款，衬衫polo领针织衫，继续逛逛有好看的裙子再入
z***3,颜色分类:63 天蓝色;尺寸:155/62A,2021-02-11 10:55:47,没弹力，稍微有点卡腿
c***3,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-06 11:13:10,这个裤子试过的人才知道多好！！又是一个被官网图害了的 尺码建议按臀围买
y***2,颜色分类:09 黑色;尺寸:150/54A,2021-02-05 22:31:30,好看
y***2,颜色分类:00 白色;尺寸:150/54A,2021-02-05 22:31:29,好看好看，黑白两个色都买了，实体店应该没有最小号
x***e,颜色分类:63 天蓝色;尺寸:165/76A,2021-02-05 21:32:34,很好
x***e,颜色分类:09 黑色;尺寸:165/76A,2021-02-05 21:32:34,很好
x***e,颜色分类:63 天蓝色;尺寸:165/74A,2021-02-03 20:48:06,很好
x***e,颜色分类:09 黑色;尺寸:165/74A,2021-02-03 20:48:06,很好
啊***得,颜色分类:63 天蓝色;尺寸:150/58A,2021-02-01 19:18:09,直筒腰，稍微有点大。
l***2,颜色分类:00 白色;尺寸:160/70A,2021-02-01 11:11:51,值得入的！
牧***b,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-30 23:44:21,160，96，腰围不松不紧，不用担心吃饱饭会勒，也不用担心往下掉。很好。
m***3,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-28 09:04:34,尺寸合适 面料舒服
l***y,颜色分类:63 天蓝色;尺寸:150/58A,2021-01-27 14:34:22,不错
t***2,颜色分类:63 天蓝色;尺寸:150/54A,2021-01-24 21:24:01,抱着试一试买了俩条不同色，意料之外的好看显腿直！这可比去年的U系列好看多了呜呜呜呜！！！
t***6,颜色分类:09 黑色;尺寸:155/62A,2021-01-24 14:50:14,153.96.个子小，很难买到合适的裤子，看到适合的就赶紧下手了，怕到时缺码，收了两个色，一个蓝色，一个黑色，都是155，布料是比较薄的牛仔，蓝色腰围比黑色腰围微微大一些，裤脚稍有点长，安全不暴露。
t***6,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-24 14:50:14,153.96.很难买到合适的裤子，看到适合的就赶紧下手了，怕到时缺码，收了两个色，一个蓝色，一个黑色，都是155，布料是比较薄的牛仔，蓝色腰围比黑色腰围大一些，裤脚稍有点长，安全不暴露。
潮***o,颜色分类:63 天蓝色;尺寸:155/62A,2021-01-23 19:30:54,厚度刚好合适，大小也可以。很百搭的一条常规款。可以直接穿，也可以卷一道。
