displayUserNick,auctionSku,rateDate,rateContent
汤***8,颜色:66 蓝色;尺码:170/80A/M,2021-02-26 23:57:56,囤货，不错
m***2,颜色:66 蓝色;尺码:165/72A/S,2021-02-25 20:56:29,整体评价：还可以 材质特性：柔软舒适 上身效果：修身 尺码推荐：正常 厚薄度：比较薄 面料品质：棉，化纤
仙***囡,颜色:66 蓝色;尺码:175/88A/L,2021-02-23 20:16:37,149的就想买，一天发现只要99刚好有需要的号就拍下了，这个价格挺划算；面料舒服，里面类似运动裤的毛圈面料；过年还正常发货送货真不错，给快递员点赞！
不***9,颜色:66 蓝色;尺码:165/72A/S,2021-02-22 13:58:11,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
快***晶,颜色:66 蓝色;尺码:165/72A/S,2021-02-21 22:29:17,非常舒适的牛仔裤！
t***2,颜色:66 蓝色;尺码:165/72A/S,2021-02-16 17:37:08,这价格抢到这样的裤子真的是超值了！家人说这裤子穿着很舒服！长度腰围都刚好！身高170，体重96斤
东***6,颜色:66 蓝色;尺码:165/72A/S,2021-02-12 21:55:04,这个穿着刚刚好，推荐购买
n***l,颜色:66 蓝色;尺码:160/64A/XS,2021-02-12 17:00:22,偏小很多
j***1,颜色:66 蓝色;尺码:180/96B/XL,2021-02-11 16:52:39,裤子感觉一般
我***0,颜色:66 蓝色;尺码:180/96B/XL,2021-02-11 07:50:39,老样子 打折了  多买点   老问题就是不耐磨 膝盖处变形撕裂    新问题就是口袋布感觉越来越短    我看到2021款这条裤子材料成分 棉的比例在降低 纶的比例在提高 不知道这样是为了降低成本还是为了解决不耐磨易撕裂的老问题
你***笑,颜色:66 蓝色;尺码:180/96B/XL,2021-02-10 21:52:13,儿子，183cm，185斤刚刚好。
日***狂,颜色:66 蓝色;尺码:170/80A/M,2021-02-09 17:04:51,还好
耳***n,颜色:66 蓝色;尺码:180/96B/XL,2021-02-09 13:24:00,特别棒棒，超好看der
兰***9,颜色:66 蓝色;尺码:170/80A/M,2021-02-09 13:18:29,颜色好看，料子很软，需要再来。
k***3,颜色:66 蓝色;尺码:180/96B/XL,2021-02-08 13:26:01,顺丰快递很快就到了。裤子面料柔软，很不错，就是不知道能穿多久
8***g,颜色:66 蓝色;尺码:180/96B/XL,2021-02-07 20:23:38,挺好看，不错
w***2,颜色:66 蓝色;尺码:170/80A/M,2021-02-07 10:42:31,一如既往的优衣库
