displayUserNick,auctionSku,rateDate,rateContent
秦***4,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-26 08:24:04,好不容易抢到的 稍短一点 留下了 质量很好
虾***密,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 17:45:43,此用户没有填写评论!
t***2,颜色分类:25 橙色;尺码:160/84A/M,2021-02-15 23:52:42,衣服款式简洁，面料柔软厚实，漂亮，穿着舒适保暖，性价比高，推荐购买。
j***8,颜色分类:38 深褐色;尺码:160/84A/M,2021-02-10 17:40:15,做工手感都很好，居家穿着舒服。
l***1,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-05 20:28:58,合适
d***2,颜色分类:38 深褐色;尺码:160/84A/M,2021-02-04 21:05:59,非常满意，包装好发货快，质量很好，优衣库值得信赖。
胳***肘,颜色分类:25 橙色;尺码:160/84A/M,2021-02-03 19:02:42,不错，属于宽松版，推荐
l***9,颜色分类:09 黑色;尺码:160/84A/M,2021-01-24 23:20:02,衣服很好，很舒适暖和！
l***9,颜色分类:30 浅米色;尺码:160/84A/M,2021-01-24 23:20:02,衣服很好，很舒适暖和！
麦***林,颜色分类:25 橙色;尺码:160/88A/L,2021-01-24 16:42:24,还不错，
t***梦,颜色分类:25 橙色;尺码:160/88A/L,2021-01-23 18:03:00,妈妈穿了觉得材质柔软舒服，好评！
t***0,颜色分类:38 深褐色;尺码:155/80A/S,2021-01-21 19:45:47,好 。。。。。。。。。。。。
南***娃,颜色分类:25 橙色;尺码:155/80A/S,2021-01-21 16:26:16,好
s***0,颜色分类:38 深褐色;尺码:155/80A/S,2021-01-20 17:31:03,好
莲***m,颜色分类:38 深褐色;尺码:160/88A/L,2021-01-16 21:38:24,身高175，肩宽41，觉得L码勉强合适， 再小一点就太短了。 短宽垮风格， 肩窄短脖子不要试 ，肩脖设计确实不是很友好，穿起来不是很舒服，但是质量真心好，颜色比图片深
张***7,颜色分类:38 深褐色;尺码:160/84A/M,2021-01-14 08:45:18,合适
t***0,颜色分类:25 橙色;尺码:160/88A/L,2021-01-13 12:54:56,售后没有人，店大欺客呀
重***鱼,颜色分类:25 橙色;尺码:160/88A/L,2021-01-13 02:08:47,感觉还不错
t***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-11 22:36:16,性价比很高，米灰色，洋气，厚实保暖，小短款，特别适合小蛮腰，和娃抢，美美哒！
张***7,颜色分类:25 橙色;尺码:160/84A/M,2021-01-11 16:18:50,合适
李***6,颜色分类:25 橙色;尺码:160/84A/M,2021-01-11 14:44:22,应该会很暖和，就是稍微有色差，偏暗，也挺好看
番***人,颜色分类:38 深褐色;尺码:165/92A/XL,2021-01-10 17:16:49,不错👍
e***9,颜色分类:38 深褐色;尺码:160/84A/M,2021-01-10 09:41:27,此用户没有填写评论!
泡***琪,颜色分类:25 橙色;尺码:160/88A/L,2021-01-10 03:08:29,好看，还很暖，是抵御寒潮小帮手
我***a,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-08 00:57:12,可以很不错 👍🐵🙈🙉🙊🐒🐔🐧🐦🐤🦉🦅🦆🐣🐣🦇🐺
不***i,颜色分类:09 黑色;尺码:160/84A/M,2021-01-07 21:17:49,衣服可以的。给婆婆买的。哈哈哈
e***9,颜色分类:25 橙色;尺码:160/84A/M,2021-01-07 14:11:44,此用户没有填写评论!
小***觉,颜色分类:25 橙色;尺码:155/80A/S,2021-01-05 21:52:55,轻微褪色
加***猫,颜色分类:38 深褐色;尺码:165/92A/XL,2021-01-05 08:53:01,蛮好的
