displayUserNick,auctionSku,rateDate,rateContent
水***象,颜色分类:31 米色;尺码:160/88A/L,2021-02-27 13:02:40,正合适，满意。
z***2,颜色分类:25 橙色;尺码:165/92A/XL,2021-02-26 08:15:30,非常好 以为驾奴不了这个颜色 很好 一如既往的支持优衣库 我和俩娃的东东都在这里买
巴***忆,颜色分类:31 米色;尺码:160/88A/L,2021-02-25 21:07:13,床上蛮暖和的，适合十几度将近二十度的温度
s***闹,颜色分类:25 橙色;尺码:165/92A/XL,2021-02-25 18:32:05,保暖舒适
l***6,颜色分类:31 米色;尺码:160/88A/L,2021-02-25 16:17:03,还可以，但有点显胖。
清***在,颜色分类:25 橙色;尺码:165/92A/XL,2021-02-24 13:46:35,这个颜色有一点点浅，不算太好看。但是很舒服。有点厚，现在还能穿几天
y***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 10:06:21,优衣库就是舒服
y***n,颜色分类:31 米色;尺码:160/88A/L,2021-02-23 16:34:17,偏小，可买大一号，手袖不加绒
q***1,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-02-23 14:40:53,165.120斤，尺码正好，不宽松
w***t,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-23 07:54:51,白日依山尽，黄河入海流，欲穷千里目，更上一层楼
m***5,颜色分类:06 铅灰色;尺码:160/88A/L,2021-02-22 14:05:22,质量没的说，好，希望多搞活动。
y***w,颜色分类:25 橙色;尺码:160/88A/L,2021-02-21 21:16:54,是我想要的颜色
米***2,颜色分类:31 米色;尺码:160/88A/L,2021-02-21 19:12:21,质量不错，手袖是单层的不好。
荷***舞,颜色分类:06 铅灰色;尺码:160/88A/L,2021-02-20 22:08:19,优衣库的衣服可以闭眼买入，价廉物美，不过网店的尺寸居然没有实体店多，本来还看中了同款藏青色，网上一直没有合适尺码，偶然去实体店转了一下，居然还有尺码，同时发现网上卖断的其它颜色实体店也有尺码，网上价格和实体店价格都是一样的
k***1,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-20 18:03:09,给妈妈买的，很喜欢
c***6,颜色分类:25 橙色;尺码:160/88A/L,2021-02-20 14:32:40,颜色非常好看，显皮肤白，穿衣服年轻
臣***g,颜色分类:06 铅灰色;尺码:160/88A/L,2021-02-20 14:17:25,回购很多件，保暖
我***淘,颜色分类:31 米色;尺码:165/92A/XL,2021-02-20 12:32:55,千万别缩水！！！！不能再买大，大的肥些，但长度也是这个长度，好奇怪！！！！！
t***1,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-18 22:05:48,打折时入手性价比高，做家务、散步出游穿着不错。
d***8,颜色分类:31 米色;尺码:165/92A/XL,2021-02-18 19:54:27,好评
s***8,颜色分类:25 橙色;尺码:160/84A/M,2021-02-18 16:34:32,挺好
鱼***界,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-18 15:36:38,挺好的！
t***3,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-17 20:43:47,很好，要是袖子上也有绒绒就好了，袖子就一层布感觉有点冷
烟***秋,颜色分类:64 湖蓝色;尺码:155/80A/S,2021-02-16 19:17:19,好评！
t***7,颜色分类:31 米色;尺码:165/92A/XL,2021-02-15 21:52:11,整体评价：身高161 体重100 尺码XL（165） 我买的是米色，最后一张是原相机下的颜色。我感觉不拉拉链的话稍微有点宽松的感觉，拉上拉链对我来说没有特别修身，但也没有那么宽松了。要宽松往大了拍就行。我是买来配JK的，在家随便拍的，质量挺好的，149的价格感觉比较合适了，喜欢就入手吧，不亏哟~（物流很快啦，顺丰很给力！）
y***y,颜色分类:25 橙色;尺码:165/92A/XL,2021-02-15 17:51:12,暗橙色，不显肤色黑
晶***早,颜色分类:25 橙色;尺码:160/88A/L,2021-02-14 12:56:25,不错
e***o,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-02-14 10:54:53,号没小了，又换了一个，穿起来很好很舒服，还便宜
c***8,颜色分类:06 铅灰色;尺码:160/88A/L,2021-02-14 10:06:08,好好
w***u,颜色分类:25 橙色;尺码:160/88A/L,2021-02-13 17:23:01,颜色有点灰暗，喜欢亮色系，大小有点大，穿M买L没必要，M即可，看评价要选大一号，完全没必要，不高兴换，随便穿穿蛮好的。
l***5,颜色分类:31 米色;尺码:165/92A/XL,2021-02-10 07:41:11,好
t***9,颜色分类:35 浅褐色;尺码:165/92A/XL,2021-02-09 22:49:40,质量可以，就是客服特差
s***n,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-09 21:02:34,漂亮哦
