displayUserNick,auctionSku,rateDate,rateContent
睡***思,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-27 15:25:10,很好
花***尘,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-27 11:05:30,穿起来很宽松舒服，挺不错的。
江***鱼,颜色分类:09 黑色;尺码:160/88A/L,2021-02-27 01:04:40,非常保暖舒适！但最好买白色，黑色百搭但会掉很多黑色细毛。
境***6,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-26 21:12:20,尺码拍大了，送人了
t***4,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-26 17:59:02,大了，但是留下了
小***悠,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-25 21:50:55,柔软贴身，价格实惠，颜色版型很nice，领子也很友好。
h***0,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-25 14:03:30,质量不错，面料柔软舒适百搭。
易***豆,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-25 12:41:20,柔软！舒服！买！比较宽松，非常软非常亲肤，摸着感觉可能有点容易起球，但是毕竟才五十多要啥自行车
半***打,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-25 09:32:09,柔软舒适有弹性 适合孕妇穿着
t***9,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-24 21:57:18,衣服很柔软舒服，号大了
t***u,颜色分类:17 枣红色;尺码:155/80A/S,2021-02-24 18:35:57,很好很满意。
p***霞,颜色分类:11 粉红色;尺码:165/92A/XL,2021-02-24 15:10:54,质量比其它品牌放心
y***9,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-24 14:13:12,柔软舒适，不错的
t***1,颜色分类:11 粉红色;尺码:170/100B/XXL,2021-02-23 21:58:16,很舒适柔软，给婆婆买的
白***燕,颜色分类:11 粉红色;尺码:160/84A/M,2021-02-23 19:02:43,非常非常好。穿起来特别舒服。颜色和图片完全完全一样。放心购买
f***2,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-23 18:19:50,好
