displayUserNick,auctionSku,rateDate,rateContent
r***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-27 09:38:14,挺好的
溪***秀,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-02-25 11:54:36,大小合适，颜色好看，很适合春天。
一***2,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-25 11:26:51,绿色多好看
d***3,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-25 10:07:17,很好很好很好
t***1,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 00:30:50,颜色很软糯，材质摸起来也很舒服
t***2,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-02-24 22:24:43,布料一般
x***我,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-24 14:19:31,货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢ʜᴀ͟ᴘ͟ᴘ͟ʏ𝟙𝟘𝟘
刘***蕊,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-24 09:59:27,还可以
t***4,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-24 09:49:05,做工精细，穿着舒适，卖家发货很快
s***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-24 07:25:51,感觉一般，不值一百以上
依***6,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-24 00:35:47,版型时尚，面料舒适。性价比高
零***忆,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-23 23:12:31,整体评价：质量好挺好的，百搭款，一整套都是优衣库的。 版型风格：休闲的风格
吾***婴,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-23 22:43:43,面料舒适柔软，上身效果很好
小***7,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-23 16:50:57,衣服很好，很满意，就是用EMS太慢了！
n***g,颜色分类:51 嫩绿色;尺码:155/80A/S,2021-02-23 10:50:23,版型风格：青春的牛油果绿，很春天的颜色！高腰宽松的设计，穿着舒适，搭配牛仔裤或者休闲卫裤都很好看。 我的身高体重：164cm 48kg
史***1,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-02-22 22:27:50,完美！再实体店试了，加购物车打折的时候买了，颜色很正，短款，是我想要喜欢的款式。跑步也可以穿。
m***0,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-22 21:12:18,整体评价：太超值了  版型风格：显瘦，轻巧 发货快，物有所值，透气轻薄 穿感好 大大好评
c***5,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-22 20:58:35,收到试穿合适就洗了，晚上卫生间的效果，实物颜色很好看，春天的气息，喜欢颜色买的，属于短肥款，本来担心有肚子不好看，穿上还可以，高腰牛仔收一下。165.66kg   L码正合适。街上同价位的衣服没有优家的舒服，冲着舒适度也得入手，四十多老阿姨轻松驾驭了。
美***娘,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-22 10:24:39,太空棉 柔软不起皱，比开始时省了80块，大爱。
叶***影,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-22 08:04:18,非常满意 面料款式大小颜色 都好ヾ ^_^♪
c***j,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-02-22 07:45:48,好看！
t***4,颜色分类:14 玛瑙红色;尺码:175/108C/XXXL,2021-02-22 01:08:24,比较宽松，可以拍小一号 面料特别软 买它买它😘😘👍
浅***然,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 22:29:00,看别人搭半身裙买的，结果有点显胖了，但是还是决定不退，我想平时可以随便穿穿。穿着挺舒服的。
t***4,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-02-21 19:07:46,好
我***毛,颜色分类:51 嫩绿色;尺码:165/92A/XL,2021-02-21 18:09:06,还不错。比较薄
喜***珠,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-21 15:48:09,买了大一码宽松的，显瘦，留下了
t***6,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-21 15:14:29,值得信赖，值得拥有，会一直关注。
x***1,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-21 14:30:58,春天的颜色，嫩嫩的，非常衬肤色，好看，显年轻！
t***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 14:26:33,收到宝贝了，质量真好，很满意，卖家发货速度快，支持优衣库，大爱，以后多多搞活动，满意。
l***6,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-02-21 12:19:35,好看，穿着舒服。
s***p,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-21 11:55:55,和描述的一样，优衣库一如既往的好，好评，快递也棒。
a***9,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-21 10:58:50,米色很洋气
亮***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 08:50:28,穿上好看
宝***5,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 07:48:54,短款，白色有点透
江***7,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-20 20:26:31,拍不出来那种嫩绿，穿上很显白。在实体店看到的，不过当时没有合适的号码了，幸亏没买，网上价格合适不少，而且码很全。
t***0,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-20 20:07:45,超好看
笑***子,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-20 19:22:15,店里试过不错，网上正好过年搞活动，春天的颜色，我喜欢😘
淼***棒,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-20 14:29:14,这个颜色真好看
t***2,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-20 12:49:13,宝贝不错，在实体店买的和这次买的一样，非常满意，发货也快，点赞
娟***2,颜色分类:14 玛瑙红色;尺码:150/76A/XS,2021-02-19 19:11:40,很好的。
运***猫,颜色分类:51 嫩绿色;尺码:160/84A/M,2021-02-19 18:39:31,颜色有点怪，但是上下身比例好看，帽子有点重
芒***锅,颜色分类:51 嫩绿色;尺码:160/88A/L,2021-02-19 15:58:20,很棒，就怕勾丝
寄***e,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-19 13:59:46,good!
阿***7,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-02-19 09:29:55,hiahiahia  🐒🐒看~~~
q***8,颜色分类:01 乳白色;尺码:150/76A/XS,2021-02-18 19:50:55,颜色超棒
j***3,颜色分类:51 嫩绿色;尺码:165/92A/XL,2021-02-18 12:39:55,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。"
p***1,颜色分类:51 嫩绿色;尺码:150/76A/XS,2021-02-18 10:06:21,颜色很清新，面料光滑。短款的穿上很好看
s***y,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-17 16:04:11,65公斤，身高158，买了L码居然很宽松，领子也不像以前的款那么勒i脖子
s***m,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-17 11:57:25,新年期間，發貨快！快遞服務好！順豐服務快又好！
s***m,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-17 11:57:25,新年期間，發貨快！快遞服務好！順豐服務快又好！
小***s,颜色分类:14 玛瑙红色;尺码:160/88A/L,2021-02-16 00:01:53,倍棒
l***n,颜色分类:05 天灰色;尺码:155/80A/S,2021-02-15 23:03:05,款式很好看，就是穿了勾丝
e***2,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-15 21:32:02,我的身高体重：176-120斤 整体评价：好喜欢啊！配风衣穿完美
t***1,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-15 19:06:20,很好看，适合年轻人也适合妈妈穿 都很时髦：)
b***n,颜色分类:51 嫩绿色;尺码:175/108C/XXXL,2021-02-14 17:43:08,短款，手感不错。
乖***4,颜色分类:14 玛瑙红色;尺码:155/80A/S,2021-02-13 21:38:05,非常棒，穿着很舒服，颜色很显白。而且实体店没有小码，网上码很全！
i***u,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-13 17:14:10,好看，对小个子很友好。是比较短的款式，显得身材比例很好。
t***0,颜色分类:14 玛瑙红色;尺码:175/108C/XXXL,2021-02-10 22:37:40,衣服面料很轻，弹力大，款式不挑胖瘦，颜色很正，不错哎。
王***7,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-09 18:48:49,此用户没有填写评论!
青***2,颜色分类:51 嫩绿色;尺码:170/100B/XXL,2021-02-08 20:33:25,非常好看。
t***3,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-08 12:16:22,面料非常舒适  立体不紧绷 爱了爱了
