displayUserNick,auctionSku,rateDate,rateContent
l***e,颜色:39 棕黑色;尺码:165/84A/S,2021-02-25 08:23:16,舒服
黑***宝,颜色:39 棕黑色;尺码:165/84A/S,2021-02-18 15:22:15,质量好，就是没有买到喜欢的颜色，胜在便宜，留下了
l***w,颜色:55 青绿色;尺码:165/84A/S,2021-02-17 19:53:06,不错，喜欢。168，55穿这个size正好，供参考。
x***敏,颜色:32 深米色;尺码:175/100A/L,2021-02-12 17:33:14,好
花***y,颜色:39 棕黑色;尺码:165/84A/S,2021-02-10 16:36:46,买的是棕黑色，实物和官网图片色差很大，实物颜色偏灰色
莱***朱,颜色:39 棕黑色;尺码:165/84A/S,2021-02-10 14:01:27,此用户没有填写评论!
夜***5,颜色:32 深米色;尺码:175/100A/L,2021-02-09 15:39:05,好丫
我***族,颜色:39 棕黑色;尺码:165/84A/S,2021-02-08 12:57:20,质量很好，优衣库还是不错的 一直在买这个品牌的衣服
t***8,颜色:39 棕黑色;尺码:165/84A/S,2021-02-08 12:10:30,二次买了，质量款式都很满意
s***u,颜色:32 深米色;尺码:165/84A/S,2021-02-08 10:31:13,很好 合适 没有色差 155.108很合适哦，宽松 不起球
y***2,颜色:39 棕黑色;尺码:165/84A/S,2021-02-03 09:34:28,正好要买卫衣，同款真香
a***a,颜色:55 青绿色;尺码:165/84A/S,2021-01-31 23:11:47,🎁宝贝收到了，颜色很好看，质感也很好，样子简单！🤩是我想要的！！下次还会再来！
l***s,颜色:32 深米色;尺码:170/92A/M,2021-01-31 13:08:45,质量可以，颜色一般，搭配外套穿比较好。
g***k,颜色:32 深米色;尺码:170/92A/M,2021-01-31 09:30:24,99买的，便宜量足！就是包装破了，感觉衣服被试穿过
三***烟,颜色:32 深米色;尺码:170/92A/M,2021-01-30 22:28:03,换货多次，终于买到合适尺码了。最喜欢米色系列，相当美
k***s,颜色:39 棕黑色;尺码:165/84A/S,2021-01-30 17:57:33,PP同款，真香
新***子,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-30 00:22:31,好评！
小***蓝,颜色:32 深米色;尺码:180/108B/XL,2021-01-29 14:11:59,刚买没一周降价99，哎，再次中招！买了优衣库这么多衣服，差价的钱起码都超过1000块了，相当于白白损失一件羽绒服！
王***9,颜色:32 深米色;尺码:170/92A/M,2021-01-28 10:07:56,软和 好穿
紫***3,颜色:32 深米色;尺码:165/84A/S,2021-01-28 06:47:54,不错
白***空,颜色:32 深米色;尺码:170/92A/M,2021-01-27 21:08:06,167cm，140g，m码刚刚好，就是袖子有点长，当时99入手，现在又回升149，应该加多一件好了。
佚***o,颜色:32 深米色;尺码:170/92A/M,2021-01-26 09:00:21,170cm，65kg，衣服很合身，很满意。
小***0,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-25 07:03:26,喜欢。
飘***天,颜色:39 棕黑色;尺码:165/84A/S,2021-01-25 06:14:05,好看
旧***囿,颜色:39 棕黑色;尺码:165/84A/S,2021-01-24 16:37:26,还行，拿到手的时候有点被勾线
w***o,颜色:39 棕黑色;尺码:165/84A/S,2021-01-24 00:16:18,很好，用来搭摇粒绒夹克的。大小合适，版型也百搭，可惜的是可供选择的颜色剩下的不多了。
z***0,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-22 20:48:12,好！非常不错
朱***豪,颜色:39 棕黑色;尺码:165/84A/S,2021-01-22 17:11:57,这个灰色是比较淡的，不是真的高饱和度的粽灰，还是比较好看的。上手感觉真的有点厚重，跟我外套有一拼了，衣服质感挺好，广州这天气，也只有12度以下天气穿它才适合哈哈哈
风***煊,颜色:65 宝蓝色;尺码:165/84A/S,2021-01-22 11:25:29,99撸了三件，真香
不***2,颜色:55 青绿色;尺码:170/92A/M,2021-01-22 09:55:55,穿了没几天就破了一个洞
h***s,颜色:55 青绿色;尺码:180/108B/XL,2021-01-21 12:25:22,宝贝包装很好，感觉非常好。宝贝昨天收到的，物流很给力，非常满意的一次网购。宝贝收到了，用了这个感觉还好，希望越来越好。看着挺不错的。
叶***s,颜色:39 棕黑色;尺码:165/84A/S,2021-01-21 08:56:58,99买的，划算是划算，有瑕疵有点多
y***何,颜色:55 青绿色;尺码:165/84A/S,2021-01-21 00:55:47,整体评价：很好，颜色很正 材质特性：很软。 尺码推荐：165，体重106穿Ｓ码刚刚好
夜***5,颜色:55 青绿色;尺码:180/108B/XL,2021-01-20 19:20:14,好
黄***8,颜色:55 青绿色;尺码:170/92A/M,2021-01-20 13:16:15,这款买了很多件了！穿着舒服！
冷***空,颜色:32 深米色;尺码:165/84A/S,2021-01-20 09:38:42,深米色非常好看，特别有型，99入划算
顾***3,颜色:32 深米色;尺码:170/92A/M,2021-01-20 08:58:49,还行
慌***猫,颜色:39 棕黑色;尺码:165/84A/S,2021-01-18 20:37:02,买了就穿上了，版型很不错，质量也不错👍
一***眼,颜色:55 青绿色;尺码:170/92A/M,2021-01-18 19:33:29,学计算机看行不行拜佛阿巴嘻哈观察小嘎小嘎
迷***4,颜色:39 棕黑色;尺码:165/84A/S,2021-01-18 17:48:30,不错
迷***4,颜色:55 青绿色;尺码:170/92A/M,2021-01-18 17:48:00,棒
怡***t,颜色:55 青绿色;尺码:180/108B/XL,2021-01-18 17:47:40,特别过分，一买就降价一买就降价，一降价就50.100地降，刚买就降价了申请保价的时候每次提醒的范围理由都不一样，直到超过15天然后就是超出保价时间范围，从买回来到现在衣服吊牌都没有拆过呢，早知道就退货重拍了&hellip;&hellip;没想到保价就是玩虚的骗人玩的
眉***7,颜色:55 青绿色;尺码:165/84A/S,2021-01-18 17:19:10,很好，非常喜欢
l***z,颜色:32 深米色;尺码:170/92A/M,2021-01-18 16:38:54,满意。
赵***5,颜色:55 青绿色;尺码:180/108B/XL,2021-01-18 16:03:03,此用户没有填写评论!
惜***晨,颜色:39 棕黑色;尺码:180/108B/XL,2021-01-18 12:49:38,买完之后一周内实体店降价，网店退差价退不了，而且到现在为止也不超过一个月，实体店还支持一个月退换了，差评，区别对待，坑害消费者
迷***4,颜色:55 青绿色;尺码:165/84A/S,2021-01-18 10:39:41,很舒服
c***0,颜色:32 深米色;尺码:170/92A/M,2021-01-18 00:16:24,167，48kg。m合适
y***9,颜色:55 青绿色;尺码:175/100A/L,2021-01-17 21:59:43,好看  品质好
z***8,颜色:32 深米色;尺码:170/92A/M,2021-01-17 18:05:23,非常好，大小合适，是想要宽松度
t***0,颜色:39 棕黑色;尺码:165/84A/S,2021-01-17 14:19:25,很合适，全棉面料
淘***w,颜色:55 青绿色;尺码:180/108B/XL,2021-01-17 13:19:23,好
y***4,颜色:55 青绿色;尺码:180/108B/XL,2021-01-17 12:08:18,好看
m***1,颜色:32 深米色;尺码:170/92A/M,2021-01-17 10:57:22,还不错，就是偏贵了点
w***s,颜色:55 青绿色;尺码:165/84A/S,2021-01-17 07:01:47,才过亏大了，只值99
小***蓝,颜色:55 青绿色;尺码:180/108B/XL,2021-01-16 18:52:45,嗯，还不错！！！
