displayUserNick,auctionSku,rateDate,rateContent
李***9,颜色分类:31 米色;尺码:160/88A/L,2021-02-26 21:25:43,好
席***8,颜色分类:31 米色;尺码:155/80A/S,2021-02-26 21:20:07,买错颜色，退了重新下单，是正品
浅***殇,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-26 20:14:19,不错 稍微有点显壮
t***6,颜色分类:46 鹅黄色;尺码:160/84A/M,2021-02-26 16:39:32,尺码偏小 不过很好看 大一码更好
f***o,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-26 13:23:42,好看，适合窄肩星人。
t***7,颜色分类:71 浅蓝紫色;尺码:170/100B/XXL,2021-02-25 16:00:17,好看合适
c***i,颜色分类:31 米色;尺码:175/108C/XXXL,2021-02-25 15:13:06,跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！
红***5,颜色分类:31 米色;尺码:160/88A/L,2021-02-25 09:29:10,偏短，其他都好。
w***8,颜色分类:31 米色;尺码:160/88A/L,2021-02-24 19:45:27,样子好看，比店里便宜一些，属于短款的，165、120斤这个号合适
t***3,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-02-24 18:16:45,紫色这款短款卫衣真的很好看
l***6,颜色分类:31 米色;尺码:160/84A/M,2021-02-24 11:21:18,价格贵了
e***5,颜色分类:31 米色;尺码:160/84A/M,2021-02-22 17:28:25,颜色款式真的太好看啦 非常百搭 裙子还没有到
z***6,颜色分类:31 米色;尺码:165/92A/XL,2021-02-22 00:16:57,喜欢
j***儿,颜色分类:46 鹅黄色;尺码:150/76A/XS,2021-02-21 14:40:38,颜色不错
t***4,颜色分类:31 米色;尺码:155/80A/S,2021-02-21 12:41:03,非常好，穿了很洋气，物超所值
晨***n,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-20 17:27:27,不错
管***9,颜色分类:31 米色;尺码:155/80A/S,2021-02-19 20:29:49,160/44合身发货速度很快，卖家服务也好，很满意
迪***娃,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-02-19 11:38:13,买了几个颜色 最喜欢黄色
李***6,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-02-18 21:31:04,上身效果非常漂亮！特别适合象自己的小个子女生哦
哎***设,颜色分类:31 米色;尺码:160/84A/M,2021-02-18 20:10:46,买了一套很好看
啊***得,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-18 16:38:17,触感听硬的。
马***蓝,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-02-17 22:58:34,很好，有味道的型
a***4,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-17 17:34:50,好
袁***1,颜色分类:71 浅蓝紫色;尺码:150/76A/XS,2021-02-16 19:54:22,好看
l***i,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-16 17:56:41,原本还担心买小了，结果穿上正好，也不显胳膊粗。超级爱这个浅紫色！U系列的质量做工没得说。
j***y,颜色分类:46 鹅黄色;尺码:155/80A/S,2021-02-14 16:18:08,挺好看的，本来想换大一码，觉得大一码会袖子长，这个码刚合适，值得买。过年发顺丰，非常快！
g***h,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-14 10:28:43,衣服脚有点紧，上身很宽大，肩宽骨架大的慎入。
熊***8,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-13 17:37:35,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
l***u,颜色分类:31 米色;尺码:160/84A/M,2021-02-11 16:23:29,绝了 买回来三天还没穿就降价了 坚定了我不能原价买优衣库的决心
x***e,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-08 22:01:23,好看，买大一码，宽松舒适，挺喜欢的。
