displayUserNick,auctionSku,rateDate,rateContent
r***4,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-27 12:04:51,不错
w***1,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-26 19:58:10,很舒服的料子，比平常的码大一号，正好遮住肚子
日***言,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-26 15:11:42,衣服比较短，需要买大一码
阿***嗷,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-26 10:59:58,拿在手里挺有分量，料子也比较好，贴身穿很舒服 袖子上有刺绣     整体就中规中矩吧
f***0,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-25 19:36:10,不错，质地很柔软，简洁大方。
c***9,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-25 16:36:33,还不错，休闲风最爱，只要瘦怎么穿都🉑，
l***3,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-25 08:54:03,还不错吧
t***4,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-24 21:52:37,164体重88斤 买的L码喜欢宽松
鱼***l,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 18:36:59,好
z***8,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-23 14:13:21,好看，合适
m***1,颜色分类:30 浅米色;尺码:175/108C/XXXL,2021-02-23 13:10:42,舒适
a***0,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-23 08:51:14,挺好的，过年期间发货也很快，薄薄的不掉毛，适合春秋
喜***龙,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-22 10:18:56,大小合适
c***8,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-22 09:56:55,160 102斤，喜欢宽松点，买了L喜欢
9***椒,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-21 15:50:37,好评
l***1,颜色分类:30 浅米色;尺码:175/108C/XXXL,2021-02-21 12:20:25,非常好，是我喜欢的卫衣，发货很快，面料薄厚喜欢，好评
乐***仕,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-21 10:51:36,正品，衣服版型偏大，因为怀孕买个xxxl太肥了，后面去实体店换了xxl刚合适
y***2,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-21 03:37:16,不错
h***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-21 01:03:05,衣服质量好，款式好看，价格便宜
张***你,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-20 22:36:51,挺好，160左右体重105以上建议选l码
够***3,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-20 12:51:24,海星吧 面料很一般啊不是那种绵绵的舒服的料子  版型也很一般 两侧太宽了 不过这本来也是宽松版型吧 165 60穿着有点肥，可以买小一码懒得换了
t***2,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-20 09:40:50,有点偏黄，其它很好。身高165，体重66kg
m***9,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-19 21:51:48,不错，
t***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-19 21:36:55,颜色有点显旧，其他还可以
那***哪,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-19 13:14:56,店里试过，没有码了，才到网上买的，很好看
郑***哈,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-18 17:04:27,还可以
冰***语,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-16 10:34:58,版型风格：宽松，稍短，喜欢oversize的，建议拍大1-2个码 拍后门店自取非常方便 现在活动优惠，十分划算，趁着码数齐全，喜欢就下手吧 面料材质：纯棉很舒适
c***o,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-16 02:39:46,可爱的卫衣  不错
家***桃,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-16 00:53:12,降价了就入手了，挺好看的，米色的
空***9,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-15 19:51:25,款式可以，就是太薄了，比前几年那款薄很多！
t***6,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-14 23:39:47,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。
q***n,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-02-14 22:13:23,选大一码会宽松一些，正常尺码有点点小
w***y,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-14 15:15:39,比较贴身的类型 大小合适
t***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-13 09:25:53,整体评价：质地柔软，很亲肤 版型风格：版型休闲，超级百搭 搭配建议：搭配牛仔裤、短裙都很不错 我的身高体重：158Cm，102斤。穿M码刚刚好，L码有点宽松，效果更好看
h***9,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-10 20:32:10,很舒适
t***5,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-10 18:43:45,nice
t***6,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-10 12:41:57,版型风格：还好   帽子很雷人   还是有点短    在大一号就行了 面料材质：还行      我的身高体重：一米六90斤左右
s***n,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-09 21:02:34,很舒服也漂亮
云***6,颜色分类:30 浅米色;尺码:150/76A/XS,2021-02-09 14:04:59,衣服质量挺好的，155/50选择XS码刚刚合适，S应该也可以，宽松一点
p***7,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-07 21:07:25,好好麻烦看看这几笔凭证&amp;留一套作为穿行测试，谢谢~ 好好麻烦看看这几笔凭证&amp;留一套作为穿行测试，谢谢~ 好好麻烦看看这几笔凭证&amp;留一套作为穿行测试，谢谢~ 好好麻烦看看这几笔凭证&amp;留一套作为穿行测试，谢谢~ 好好麻烦看看这几笔凭证&amp;留一套作为穿行测试，谢谢~
k***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-06 19:04:13,比实体店要贵
t***4,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-02 16:54:41,质量很好，内里线圈的，不算太薄
t***1,颜色分类:30 浅米色;尺码:165/92A/XL,2021-02-02 14:26:02,活动时入手很值啦，很喜欢的米黄色扒错～
y***g,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-01 10:00:05,媳妇儿喜欢史努比
s***2,颜色分类:30 浅米色;尺码:165/92A/XL,2021-01-30 18:14:43,非常可爱，有折扣就赶紧下手了
好***风,颜色分类:30 浅米色;尺码:160/84A/M,2021-01-29 21:37:49,好评
t***1,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-01-28 21:26:00,版型好，小孩非常喜欢，如果布料结实些更好！
轻***4,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-28 12:30:34,物有所值，无论是款式还是尺寸都和描述的一致，物流也相当给力。👍👍👍
翟***艳,颜色分类:30 浅米色;尺码:150/76A/XS,2021-01-26 12:58:08,150  不到80斤穿着就和图片一样宽松，薄
z***m,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-01-25 19:27:11,非常喜欢这个颜色和图案，买大一码更宽松舒适
青***骨,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-25 18:59:06,此用户没有填写评论!
月***0,颜色分类:30 浅米色;尺码:175/108C/XXXL,2021-01-25 10:59:44,不错
楠***子,颜色分类:30 浅米色;尺码:155/80A/S,2021-01-25 10:20:54,材质很好，质量也不错，到货也很快
l***l,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-24 16:32:07,图快到店里自提的，164/60这个号正好，在店里比了XL，袖子更长，身更宽些，并不长，还是买了L。
z***1,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-01-23 18:58:04,没什么不满意，去实体试过，有点短，建议拿大一到两码，宽松一点更好看吧，就看最终降到多少钱了
李***a,颜色分类:30 浅米色;尺码:160/88A/L,2021-01-12 11:18:17,还不错
w***n,颜色分类:30 浅米色;尺码:170/100B/XXL,2021-01-03 10:45:28,不厚，穿着挺舒服的，版型宽松
z***1,颜色分类:30 浅米色;尺码:170/100B/XXL,2020-12-31 20:13:47,不错
c***5,颜色分类:30 浅米色;尺码:160/84A/M,2020-12-30 21:08:49,这个米色有色差的，实物更暗，灰灰的
y***2,颜色分类:30 浅米色;尺码:160/88A/L,2020-12-27 13:03:51,衣服有点薄，可能是春装吧。米白色有点略重，不过样子还是很好看的。哈哈
