displayUserNick,auctionSku,rateDate,rateContent
佳***子,颜色分类:30 浅米色;尺码:165/95/L,2021-02-25 22:35:49,这一款卫衣超舒服，特别适合内搭贴着皮肤穿，柔软的不要不要的版型也很好，穿在大衣或羽绒服里头或者大毛衣里头都很好十分满意。
s***u,颜色分类:70 浅紫色;尺码:165/95/L,2021-02-25 08:45:51,穿著很舒服。顏色漂亮。重點是那天去店裡看還在賣$149呢！
s***7,颜色分类:30 浅米色;尺码:155/85/S,2021-02-24 20:20:12,衣服超出我的预期效果，非常柔软舒适，像棉花一样软糯。购物体验非常好，必须好评！！！
光***兰,颜色分类:70 浅紫色;尺码:160/90/M,2021-02-21 23:34:31,买了两件了喜欢面料很舒服舒服
t***2,颜色分类:51 嫩绿色;尺码:165/95/L,2021-02-19 22:16:54,薄如蝉翼
快***贝,颜色分类:69 藏青色;尺码:165/95/L,2021-02-17 07:16:50,一如既往的喜欢！
快***贝,颜色分类:69 藏青色;尺码:170/100/XL,2021-02-17 07:16:50,一如既往的喜欢！
快***贝,颜色分类:30 浅米色;尺码:170/100/XL,2021-02-17 07:16:50,一如既往的喜欢！
x***a,颜色分类:51 嫩绿色;尺码:180/110/XXXL,2021-02-16 12:01:42,颜色超级好看
梵***y,颜色分类:51 嫩绿色;尺码:155/85/S,2021-02-15 13:58:27,质量很好 穿着舒适 好清新
l***5,颜色分类:51 嫩绿色;尺码:160/90/M,2021-02-12 19:02:51,好看
快***9,颜色分类:51 嫩绿色;尺码:165/95/L,2021-02-09 21:10:09,穿上舒服，好衬肤的颜色！
简***0,颜色分类:51 嫩绿色;尺码:170/100/XL,2021-02-09 18:33:13,就是软薄款印的文胸有点奇怪，，不透，我162 92斤，买xl腰围那里特别宽松，长度刚好，建议还是买L或M  ，这帽子没有两根前面的鞋带线反倒有点不习惯。。
t***2,颜色分类:51 嫩绿色;尺码:180/110/XXXL,2021-02-07 14:31:52,漂漂亮亮的哈哈哈(ಡ&omega;ಡ)hiahiahia
3***烟,颜色分类:69 藏青色;尺码:170/100/XL,2021-02-06 15:14:16,好
y***j,颜色分类:51 嫩绿色;尺码:170/100/XL,2021-01-31 19:49:14,很薄很薄，但是很软很舒服，颜色也好看
t***5,颜色分类:69 藏青色;尺码:175/105/XXL,2021-01-31 19:47:36,回购
光***兰,颜色分类:30 浅米色;尺码:160/90/M,2021-01-29 23:20:47,在实体店看过的正好有活动就下单了面料很舒服的
l***7,颜色分类:69 藏青色;尺码:165/95/L,2021-01-29 14:16:12,店里149不便宜，这里优惠50元，质量一样的，满意！
园***7,颜色分类:51 嫩绿色;尺码:160/90/M,2021-01-28 21:20:03,我16053平时就穿M**，这件衣服降为99就可以买了，全棉的透气短款显腿长，喜欢的亲们赶快下手吧，中通快递非常给力，点赞。
w***2,颜色分类:69 藏青色;尺码:180/110/XXXL,2021-01-25 15:58:25,挺好，舒服，就是现在穿有点薄
d***8,颜色分类:30 浅米色;尺码:180/110/XXXL,2021-01-24 15:04:38,比常规毛圈料薄，但弹性大。
云***8,颜色分类:51 嫩绿色;尺码:160/90/M,2021-01-21 11:08:02,面料比较薄但柔软舒适！颜色好看小清新！160/100斤穿着正好！
y***6,颜色分类:70 浅紫色;尺码:180/110/XXXL,2021-01-17 19:02:36,尺码合适，面料柔软。
晓***6,颜色分类:69 藏青色;尺码:170/100/XL,2021-01-16 13:19:22,尺码标准  质量好  穿着舒服  优衣库值得信赖
潮***7,颜色分类:51 嫩绿色;尺码:180/110/XXXL,2021-01-12 17:12:34,柔软亲肤 颜色嫩嫩的 显白 喜欢
