displayUserNick,auctionSku,rateDate,rateContent
乔***茶,颜色分类:09 黑色;尺码:160/88A/L,2021-02-27 12:50:14,宽松版
k***c,颜色分类:09 黑色;尺码:155/80A/S,2021-02-27 00:24:58,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好
c***u,颜色分类:09 黑色;尺码:160/88A/L,2021-02-26 15:39:18,oversize风 去店里试了再下单的 就有点贵 什么时候打折我再买一件
雾***烛,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-25 19:12:57,优衣库的衣服我直接闭眼买，好看又好穿
t***s,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-25 09:48:54,非常粘毛，比较薄，但是好看，不要和会掉毛的衣服一起洗，还有点掉色
橙***宇,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-23 19:53:42,不是很厚，适合春秋穿，样子很好看。
t***3,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-23 16:30:11,好就是单薄
l***y,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 09:38:51,不是很厚，单层的，适合春天穿
y***8,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-23 07:37:50,实体店没有xs，只好网上买
星***斑,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 22:57:12,160/102 很合适
v***y,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-20 16:51:40,超好看！
a***z,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-19 13:38:39,好看，不需要买大一号的宽松款式
t***6,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-18 19:07:03,版型风格：偏大 当oversive穿吧
j***7,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-18 18:29:27,真的低档小区不配用顺丰这么高大上的快递。一个快递点临时搞两天，又撤掉，要么自己加钱1块放菜鸟，要么就是被我*着九点多送上门。不要联系我，单纯吐槽下，小哥也很可怜。但是顺丰服务越做越差，最后会怎么倒闭自己心里有数就行。真心不想再跟顺丰打交道了，请南京地区优衣库换个快递吧
l***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-17 18:40:04,面料舒适，感觉稍微有点大，反正休闲款也能穿
a***8,颜色分类:09 黑色;尺码:160/84A/M,2021-02-17 09:47:55,非常好的一次购物体验，发货快，货品好，就算是春节也没有耽搁我穿新衣的节奏，大大的赞一个！
丸***镜,颜色分类:09 黑色;尺码:160/84A/M,2021-02-16 11:23:36,买大了 图案蛮喜欢的 宽松版型
h***0,颜色分类:09 黑色;尺码:155/80A/S,2021-02-15 22:19:38,大小合适
女***i,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-15 01:19:16,盧浮宮畫作，我只能all！為什麼只有電商才有XS？！我不能實體店，只能網購了⋯⋯
m***8,颜色分类:09 黑色;尺码:155/80A/S,2021-02-14 22:37:00,害不错的一件T恤
梅***子,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-13 19:07:22,好评喜欢
卿***莲,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-02-11 16:08:10,还不错，有点肥。超出预期，质量很好，做工精细，满意
z***真,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-07 19:18:05,很好看～
