displayUserNick,auctionSku,rateDate,rateContent
s***8,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-27 11:37:14,短款
x***6,颜色分类:05 天灰色;尺码:155/80A/S,2021-02-26 12:57:58,很赞！特价非常划算！颜色也好看
d***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-24 23:07:04,好评
t***1,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-24 21:11:56,"178,120斤在店里试了一下M合适，柔软且有型，面料不会皱，很棒！"
大***河,颜色分类:05 天灰色;尺码:155/80A/S,2021-02-24 16:44:17,好看，适合小个子
骄***洋,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-23 15:39:10,不错
完***8,颜色分类:05 天灰色;尺码:165/92A/XL,2021-02-23 13:47:50,版型很好，袖子略长
熊***爱,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-23 10:32:59,穿上挺舒服的，很喜欢这个颜色，第一次自提，很方便。
x***g,颜色分类:05 天灰色;尺码:170/100B/XXL,2021-02-22 20:58:58,是速干的面料。宽松舒适。
聪***贝,颜色分类:05 天灰色;尺码:155/80A/S,2021-02-22 20:09:25,还行
w***s,颜色分类:05 天灰色;尺码:150/76A/XS,2021-02-22 16:25:23,衣服大小合适，物美价廉
青***a,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-21 21:18:15,颜色很高级
樊***品,颜色分类:09 黑色;尺码:160/84A/M,2021-02-20 20:16:39,很好看
肥***梨,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-20 19:41:34,裤子高腰的 上衣应该再买小一号就好了 侧面看前面是支棱的  料子很舒服
熊***g,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-20 17:17:25,质量好，物流快，衣服百搭
t***1,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-19 22:12:42,🌈质量很好，买的很合我心意💕，棒棒哒！✨需要的亲们可以放心购买
娇***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-19 20:34:49,好
苏***田,颜色分类:05 天灰色;尺码:160/88A/L,2021-02-19 11:03:03,上身效果不错。
t***6,颜色分类:05 天灰色;尺码:170/100B/XXL,2021-02-18 15:51:23,我直接爱了好嘛 （人生第一次买优衣库产品）
c***g,颜色分类:05 天灰色;尺码:160/84A/M,2021-02-08 23:32:27,很舒服的面料，合适
