displayUserNick,auctionSku,rateDate,rateContent
春***1,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-27 15:53:17,很好
c***g,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-27 12:15:32,春天穿正好
t***2,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-27 10:44:30,质量还是不错的，就是不知道为什么有股火锅味，很重&hellip;&hellip;
1***璟,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-26 15:53:00,衣服很不错！
8***f,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-26 15:40:06,顺丰发货快。颜色差了一点，面料软，感觉下水洗了有些浮粉，衣服也小了点。160，55公斤。
w***6,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-26 15:27:21,喜欢💕多次购买
y***n,颜色分类:32 深米色;尺码:160/84A/M,2021-02-26 12:11:21,应该是收到的别人退货的，里面有两根头发。。。第一次遇到这种情况。。。
暗***神,颜色分类:32 深米色;尺码:160/84A/M,2021-02-25 23:55:20,此用户没有填写评论!
t***4,颜色分类:32 深米色;尺码:160/84A/M,2021-02-25 21:02:56,160/50穿m正合适，稍微宽松不紧勒。 面料材质：很柔软的毛衣线圈，送给妈**很喜欢
周***9,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-25 20:53:37,质量不错
袁***o,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-25 15:37:00,好好好，虽然面料偏薄，没有59买的卫衣料子好，但是这个性价比也是可以了。深米色好看的，蓝色也拍了，但是颜色不是太好，退了。
t***9,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-25 14:23:41,还不错的，二个颜色都买了，深蓝色是带点雪花的。
n***8,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-25 13:41:02,质量好
倾***月,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-25 11:45:24,宝贝收到了，非常合身，面料舒服，赞！
阿***8,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-25 11:15:57,一般吧。
l***n,颜色分类:32 深米色;尺码:160/88A/L,2021-02-25 09:43:01,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。
精***丁,颜色分类:68 深蓝色;尺码:170/100B/XXL,2021-02-24 22:14:55,面料材质：好 搭配建议：随意 版型风格：休闲 很好看啊 真的很好
m***1,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-24 21:29:14,便宜好穿
p***8,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-24 17:25:00,一如既往地好，实体店里买了件小号，上身效果很好，又在网店给妈妈买了件大号，都刚刚好。
a***3,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-24 17:01:05,舒服！
g***4,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-24 13:57:05,性价比好，质量可以，休闲，优衣库的衣服就是舒服
w***3,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-24 09:48:31,非常满意
o***沫,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-24 08:26:47,穿着舒服
周***家,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-24 06:26:41,好
周***哒,颜色分类:68 深蓝色;尺码:155/80A/S,2021-02-23 22:11:33,好
s***s,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-23 21:53:09,从未失望过！很好很好很好！
t***1,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-23 21:31:36,好
浅***儿,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-23 21:27:32,店里试好了，尺码正好，正适合现在穿
橙***4,颜色分类:68 深蓝色;尺码:160/88A/L,2021-02-23 20:14:43,163  120  纯棉舒适  尺码正正好  宽松一点可去大一码
鬼***绿,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-23 19:31:10,可以，非常可以
h***j,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-23 17:21:53,软，好穿。
b***1,颜色分类:32 深米色;尺码:155/80A/S,2021-02-23 17:21:23,棉质舒服，比较薄的，颜色略深，优衣库就是穿在身上版型材质都是超舒服的。颜色多点就好了。
刘***u,颜色分类:32 深米色;尺码:155/80A/S,2021-02-23 15:55:03,颜色老气质量不错
s***3,颜色分类:32 深米色;尺码:160/84A/M,2021-02-23 14:13:51,有色差，颜色有点深，但是质量很喜欢
s***7,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-23 12:17:17,这件衣服味挺大，但是不掉色，不知道这两者是否有关系。。。买了优衣库很多次了
绿***士,颜色分类:68 深蓝色;尺码:160/84A/M,2021-02-23 11:45:50,不错，买大一码好穿。
i***0,颜色分类:68 深蓝色;尺码:165/92A/XL,2021-02-22 22:00:30,版型风格：短肥 面料材质：不错
靖***4,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-22 20:52:47,很合身，是正品，和实体店一样，价格还优惠，果断转粉
菲***2,颜色分类:32 深米色;尺码:160/88A/L,2021-02-22 20:19:18,这个连帽开衫颜色不错，面料很好，价格也很优惠。
c***8,颜色分类:68 深蓝色;尺码:155/80A/S,2021-02-22 17:06:41,纯棉的，喜欢，刚好春天这个季节穿，做家居服很不错
