displayUserNick,auctionSku,rateDate,rateContent
f***8,颜色分类:19 酒红色;尺码:160/84A/M,2021-02-27 12:32:42,发货快，正品
玉***6,颜色分类:19 酒红色;尺码:155/80A/S,2021-02-26 20:06:51,好看，喜欢
c***g,颜色分类:09 黑色;尺码:160/84A/M,2021-02-26 12:47:45,真的很喜欢优衣库的衣服，便宜又好穿
1***航,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-26 11:04:15,非常好，显瘦，除了要穿内搭其他都很棒。170高145斤非常合适
s***a,颜色分类:09 黑色;尺码:155/80A/S,2021-02-25 20:24:32,搭配背心，北方暖气房穿正好
i***1,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-25 19:11:22,这大概是一次性商品，贴身衣服穿前水洗一下应该吧，洗完就破了一大条。因为洗涤了不能退换。还得搭上洗衣机的水电费。。。。**还得去研究下案例。。。
孙***4,颜色分类:02 浅灰色;尺码:170/100B/XXL,2021-02-25 12:37:10,好评
q***5,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-02-25 11:30:18,质量不错，穿着舒服，价格实惠！
t***2,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-02-24 21:24:50,薄，透。衣服质量还行
v***x,颜色分类:09 黑色;尺码:160/88A/L,2021-02-24 14:53:45,不错，小贵
w***6,颜色分类:19 酒红色;尺码:160/88A/L,2021-02-24 10:38:37,穿起来比图片上的效果还要好，好久没得到如此惊艳的感觉了
z***9,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-23 22:52:13,薄
余***2,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 22:38:36,满意！
a***n,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 21:14:08,完美，穿上觉得自己美翻了，下次聚划算再来一件。
知***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 18:34:56,非常合适
露***巢,颜色分类:09 黑色;尺码:155/80A/S,2021-02-22 15:43:26,买了一件灰色的，还没穿过，还是一直想要一件黑色的，一直想要一直想要，两三个月过去了，没忍住，终于还是买了。
c***9,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-22 14:28:19,款式有点显老，因为过年就没退，质量还是不错的
y***5,颜色分类:71 浅蓝紫色;尺码:170/100B/XXL,2021-02-22 13:03:07,薄薄的，穿个吊带刚刚好
l***9,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-21 09:56:14,算是网纱款吧，特别特别薄的那种透视装，蝙蝠袖的所以可以买偏小一码。
亿***莉,颜色分类:19 酒红色;尺码:165/92A/XL,2021-02-21 00:37:13,买了三件，每一件都喜欢！
q***o,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-02-20 23:10:14,薄透，夏天穿不错，颜色也好看
z***i,颜色分类:19 酒红色;尺码:160/84A/M,2021-02-20 18:13:20,上身效果不错
l***r,颜色分类:09 黑色;尺码:160/88A/L,2021-02-20 13:41:14,里面要搭吊带，还不错
飞***1,颜色分类:71 浅蓝紫色;尺码:160/84A/M,2021-02-20 12:30:45,大小合适，宽松舒服！
人***5,颜色分类:09 黑色;尺码:155/80A/S,2021-02-20 00:56:53,好
亿***莉,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-02-19 13:57:14,很好！待夏天穿
亿***莉,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 13:57:14,很好！待夏天穿
r***a,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-18 19:56:15,物美价廉
t***0,颜色分类:19 酒红色;尺码:165/92A/XL,2021-02-17 05:52:13,喜欢😘
t***0,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-17 05:51:48,喜欢💕
t***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-17 05:51:20,很仙非常喜欢💕
萌***3,颜色分类:71 浅蓝紫色;尺码:165/92A/XL,2021-02-16 01:25:16,挺好的，好评！
萌***3,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-16 01:25:16,挺好的，好评！
t***0,颜色分类:19 酒红色;尺码:160/84A/M,2021-02-10 16:09:41,喜欢了好久才下手，是偏深一点的酒红色很高级，身高165重105这个尺码正好
x***0,颜色分类:09 黑色;尺码:160/88A/L,2021-02-10 10:50:32,喜欢
小***粑,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-10 07:51:01,好穿
h***5,颜色分类:19 酒红色;尺码:160/84A/M,2021-02-08 17:19:44,还行
米***丫,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-08 16:40:57,此用户没有填写评论!
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-07 20:53:33,回购的黑色，年前发的顺丰很快收到，好评
双***祺,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-07 10:59:05,很好，很喜欢，暖和了就可以穿啦！开心
愚***心,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-06 19:59:55,158高.100斤重，
若***8,颜色分类:71 浅蓝紫色;尺码:170/100B/XXL,2021-02-05 23:28:33,很好看
q***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-05 16:42:20,很满意，夏天穿肯定凉快，但是要加打底，好搭配。
t***7,颜色分类:19 酒红色;尺码:155/80A/S,2021-02-04 20:18:28,喜欢这件小衫，可惜没有买到59元的最低价
愚***心,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 20:46:45,此用户没有填写评论!
愚***心,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-02-01 20:46:06,此用户没有填写评论!
愚***心,颜色分类:19 酒红色;尺码:155/80A/S,2021-02-01 20:46:05,此用户没有填写评论!
p***彭,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-01 18:54:32,好
t***1,颜色分类:02 浅灰色;尺码:160/88A/L,2021-02-01 18:01:51,简单大方，喜欢
j***0,颜色分类:09 黑色;尺码:160/84A/M,2021-02-01 11:52:19,惊喜，好看
s***8,颜色分类:09 黑色;尺码:160/84A/M,2021-01-31 21:52:15,79入的，随便穿，随便穿穿不心疼。
洪***飞,颜色分类:71 浅蓝紫色;尺码:160/88A/L,2021-01-31 20:17:41,很透很透的。
d***j,颜色分类:09 黑色;尺码:155/80A/S,2021-01-31 18:39:34,哈哈，收到货，天气暖起来。质量非常好，只是薄了点。
w***1,颜色分类:19 酒红色;尺码:160/88A/L,2021-01-31 17:59:11,等做活动再入一件
烟***巷,颜色分类:19 酒红色;尺码:160/88A/L,2021-01-31 15:48:14,优衣库的衣服特色就是舒服第一位，穿着确实舒服 155身高112斤L正好 袖口也正好
t***g,颜色分类:09 黑色;尺码:160/88A/L,2021-01-31 12:44:53,挺好的，感觉偏小
t***7,颜色分类:19 酒红色;尺码:160/88A/L,2021-01-30 19:31:00,衣服收到，有点透，需要穿打底背心，指甲边缘不光滑会勾丝，酒红色有点发暗，不是我想象的，不过面料还蛮好穿在身上还蛮舒服，由于是蝙蝠袖，看不出大小，只感觉有点长，后面还打算回购一件黑色轮换着穿，准备买小一号的看是不是短一点。习惯好评！
张***0,颜色分类:71 浅蓝紫色;尺码:155/80A/S,2021-01-30 19:29:17,挺舒服的
j***2,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-24 21:14:00,宝贝到货了，物流快，衣服合适，质量不错的蝙蝠式网衫。夏天穿能凉快。
