displayUserNick,auctionSku,rateDate,rateContent
秋***霞,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-27 15:08:43,宽松版，物有所值
云***扬,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-27 14:50:05,整体版型很可以，优衣库的衣服果然深得我心，搭配一条乳白色的裤子就是春天应有的颜色。梨形身材，身高168，58kg很合适
t***5,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-27 13:56:51,一直喜欢优衣库
伍***霞,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-27 12:24:22,不錯
海***2,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-27 12:20:03,可以
可***e,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-27 02:34:49,不好，容易变形
l***5,颜色分类:41 杏黄色;尺码:160/88A/L,2021-02-27 01:27:00,这个颜色很好看，很有春天的感觉。
j***g,颜色分类:72 蓝紫色;尺码:160/88A/L,2021-02-26 21:53:11,显胖
s***8,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-26 21:50:23,好
s***8,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-26 21:50:23,好
t***0,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-26 21:28:25,买了两件，一件白色，一件蓝色，都是s码 但两件不一样大
熊***8,颜色分类:72 蓝紫色;尺码:150/76A/XS,2021-02-26 21:17:23,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
t***7,颜色分类:63 天蓝色;尺码:160/88A/L,2021-02-26 20:48:19,衣服质量不错，就是穿不出模特效果
j***9,颜色分类:41 杏黄色;尺码:155/80A/S,2021-02-26 20:20:37,版型好看，是淡淡的黄，非常衬肤色，160，105斤梨形身材
玉***6,颜色分类:41 杏黄色;尺码:155/80A/S,2021-02-26 20:06:51,好看，喜欢
玉***6,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-26 20:06:51,好看，喜欢
覃***绚,颜色分类:72 蓝紫色;尺码:160/84A/M,2021-02-26 19:34:08,好看、颜色显白
会***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-26 18:57:52,不错
丹***猪,颜色分类:63 天蓝色;尺码:160/88A/L,2021-02-26 15:39:19,好看，162，98斤合适
t***8,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-26 15:16:22,棉纱的，不错
妞***活,颜色分类:41 杏黄色;尺码:155/80A/S,2021-02-26 14:01:56,挺好，大小合适，158，100斤小码合适
l***n,颜色分类:41 杏黄色;尺码:160/88A/L,2021-02-26 12:57:24,喜欢这个款式
v***r,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-26 10:56:07,发货挺快的，和图片上一样，质地很舒服，好看。发货挺快的，和图片上一样，质地很舒服，好看。发货挺快的，和图片上一样，质地很舒服，好看。发货挺快的，和图片上一样，质地很舒服，好看。
l***1,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-26 10:17:55,挺不错的，很合身
木***禾,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-26 09:57:33,棉质的针织衫穿着非常舒服
恩***o,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-26 00:40:21,领口的两边都有粉底痕迹，右边袖子是残次品把，有几处磨损线头看着就断了，好多缝线挑开了两针，有几处明显能看到缝补的痕迹，有的连修补内做！差评！
小***连,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-26 00:20:31,好看
小***8,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-25 21:16:47,好好好
梦***e,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-25 19:56:42,好看，显瘦，小清新
t***5,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-25 19:14:54,好
a***l,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-25 19:00:58,穿上身很不错
流***闪,颜色分类:72 蓝紫色;尺码:155/80A/S,2021-02-25 17:50:16,160，53公斤穿这个码数合适。
华***庆,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-25 17:11:00,全棉的，3D编织，显瘦修身但又具有休闲的风格。衣身稍短，配裙子好看。
l***a,颜色分类:63 天蓝色;尺码:160/88A/L,2021-02-25 16:18:40,颜色太美啦
c***i,颜色分类:72 蓝紫色;尺码:175/108C/XXXL,2021-02-25 15:13:06,正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买
3***3,颜色分类:72 蓝紫色;尺码:155/80A/S,2021-02-25 12:26:48,好
1***l,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-25 10:05:01,棉的，可以贴身穿。款式是比较短的，好看
甜***i,颜色分类:41 杏黄色;尺码:160/88A/L,2021-02-25 09:43:06,颜色太好看了，穿着显得肤色白白嫩嫩的，款式适合搭裙子，这个价格挺不错！
孙***9,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-25 08:41:51,比图片颜色深，有点偏浅雾霾蓝吧，价格还行，就凑合着穿吧
y***3,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-25 06:54:28,贴身校花很好，就是短了点，袖子也不长，好看
x***8,颜色分类:72 蓝紫色;尺码:155/80A/S,2021-02-25 02:09:08,紫色很清新。就是容易起皱。比平时买的大一**
小***美,颜色分类:72 蓝紫色;尺码:160/88A/L,2021-02-24 22:27:26,蓝紫色很显肤色，不过单穿有点显肩宽
若***1,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-24 20:09:38,颜色很好看，天蓝色。很喜欢纯棉面料的衣服
荷***9,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-24 20:03:25,不知道怎么洗，洗就大了，可以买小点
t***6,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-24 19:33:36,非常喜欢
t***4,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 18:07:11,舒服，挺漂亮。袖子宽（整件都挺宽）
陶***芋,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-24 18:02:17,其他不多说了，优衣库的衣服每件都是杠杠滴，喜欢就买吧
y***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 14:54:24,舒服
l***7,颜色分类:72 蓝紫色;尺码:160/88A/L,2021-02-24 14:44:31,宝贝质量很好，应该是正品，店服热情周到，物流也很快，发货速度很给力，值得拥有和推荐一下，五星好评一个先！！  ！
四***葚,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 12:28:41,164，105，宽松。喜欢。
逆***荒,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-24 12:26:28,挺好的
h***0,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 11:27:22,宝贝和描述的一样，是全棉罗纹的款式，也不错，很棒
田***9,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-24 09:29:31,同时买了三件体恤，都非常满意，优衣库家今年的衣服真的是还不错！
诗***5,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-24 09:19:12,好美的蓝色，质感很好，准备搭裙子，彩色的春天
s***s,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-23 23:49:03,好评
吐***子,颜色分类:63 天蓝色;尺码:165/92A/XL,2021-02-23 20:31:18,质量好，款式好，只能说对大胸不友好，特别显胸大，蓝色清新自然
吐***子,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-23 20:31:18,质量好，款式好，只能说对大胸不友好，特别显胸大
b***9,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-23 19:21:09,好
y***0,颜色分类:41 杏黄色;尺码:155/80A/S,2021-02-23 19:13:31,不错
y***0,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-23 19:13:20,不错
苏***子,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-23 18:39:11,尺寸合适，就是不知道会不会洗后变形
a***6,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-23 12:50:03,颜色好看
a***6,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-23 12:47:52,不错
米***琳,颜色分类:63 天蓝色;尺码:160/88A/L,2021-02-23 10:26:46,颜色清爽质地穿着舒适，就是爱变形。
t***6,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-23 05:55:49,买了蓝色和浅灰，蓝色相对而言更好看点
t***6,颜色分类:63 天蓝色;尺码:155/80A/S,2021-02-23 05:55:07,回购了，好穿显瘦还便宜
t***3,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-22 20:07:07,有点肥
兰***1,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-22 18:44:20,合身，舒适，和图片一样，质量好。
萍***1,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-22 17:11:06,舒服，好看。
l***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-22 14:30:10,好舒服
s***8,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-22 13:29:34,想再买一件的，可惜没货了。
伊***6,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-22 12:23:18,这个颜色真的很显高级，优衣库的衣服看起来没啥炸眼的款式，但穿在身上真是又舒服又有品位的！
廖***7,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-22 12:04:01,降价好快呀，不过真的挺好看的
奈***e,颜色分类:72 蓝紫色;尺码:155/80A/S,2021-02-22 11:06:56,颜色很正。。。。。。。。
小***9,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-22 10:40:43,除了起毛没毛病
冷***y,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-22 08:18:51,好喜欢这件，超级好看的蓝色，织法特别
j***4,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-21 23:37:54,此用户没有填写评论!
j***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 23:37:53,懒得退换
z***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-21 21:48:45,质量很好，喜欢优衣库的衣服。
c***2,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-21 20:33:41,挺好的 好评！
x***6,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-21 18:48:55,质量不错
s***i,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 18:34:27,160.52，买了件乳白色，穿着很合适，搭大衣配裙子都挺好看，同事也入手两件，衣服洗了未干，今天又入手一件黄色，同事也准备再入手一件兰色，喜欢的朋友不要错过呀
t***8,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-21 18:01:37,本来买了一个l码杏黄色 码数不合适就退了 这件刚刚好
t***5,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-21 17:52:38,太美了 品质很好！
苏***晴,颜色分类:72 蓝紫色;尺码:155/80A/S,2021-02-21 17:20:49,还可以吧！
田***新,颜色分类:63 天蓝色;尺码:160/84A/M,2021-02-21 16:57:19,颜色很好看，洗之前休息有点短，洗完后变长了。
怡***媛,颜色分类:41 杏黄色;尺码:160/88A/L,2021-02-21 16:34:26,衣橱几乎都是U家的衣服，喜欢宽松点版型搭配，满意🙈
