displayUserNick,auctionSku,rateDate,rateContent
m***f,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-23 15:21:15,非常好
e***n,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-15 22:20:32,春节活动买的，超值了。材质很好很舒服，贴身穿也可以。版型不是宽松版，适合当打底。到货也很快，没想到春节期间还发货，非常满意。
c***c,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-10 23:22:17,衣服品质不错，适合打底穿，但两翻领的高领子总感觉翻不平整服帖
t***3,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-03 07:35:00,优衣库的这款打底衫，我都买好几件了，各种颜色都有，就灰色最显高级。
三***烟,颜色分类:31 米色;尺码:165/92A/XL,2021-01-30 22:19:16,高领打底，实体店199试过没买，加入购物车，加入时129，某天忽然兴起买了！第二天发现是199买的！这个忽起忽落的价格我也是服气！
王***越,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-29 12:38:29,有个破洞，还有气球，懒的换了，怀疑是别人穿过的给我又发来，而且还没检查疵点，优衣库雇这种分拣员真不如雇条狗！
辛***d,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-29 11:23:36,还行
虫***丁,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-28 16:47:36,还是优衣库的款式好
c***0,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-28 15:29:14,挺好
m***a,颜色分类:31 米色;尺码:155/80A/S,2021-01-27 18:54:46,此用户没有填写评论!
b***s,颜色分类:08 深灰色;尺码:155/80A/S,2021-01-27 00:09:55,多次回购
l***7,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-25 10:49:50,衣服非常不错，很喜欢。
左***吟,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-25 09:53:18,不错
奥***娜,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-24 17:34:27,整体评价：衣服挺好的。还没有试穿呢。一会儿断货一会儿有货，估计是退的货。上面贴的码条快被揉掉了。 版型风格：修身 面料材质：纯羊毛 搭配建议：看情况了。
w***q,颜色分类:03 灰色;尺码:165/92A/XL,2021-01-23 20:47:41,可以
何***袍,颜色分类:03 灰色;尺码:155/80A/S,2021-01-23 13:49:50,品质太差，服务也非常差
无***潇,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-22 18:30:03,挺好的，穿着不错。
l***9,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-19 10:32:10,他们的客服都是恶心人的，收到衣服有两破洞，反应无数次，都不处理，****的臭东西，不会看消息记录，听不懂人话，还不让退，你能找到他们客服算你厉害，看这烂衣服，真是气人
殷***7,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-19 07:50:26,第四件同款不同色
小***3,颜色分类:31 米色;尺码:165/92A/XL,2021-01-18 10:05:25,特别喜欢
娜***士,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-18 01:39:09,颜色好看
小***3,颜色分类:03 灰色;尺码:165/92A/XL,2021-01-17 18:37:46,非常喜欢
丽***8,颜色分类:03 灰色;尺码:160/84A/M,2021-01-15 14:43:09,好穿，好搭打底，想再买一件，没码了
t***9,颜色分类:03 灰色;尺码:165/92A/XL,2021-01-13 07:35:16,衣服柔软，穿上很舒服。
3***l,颜色分类:03 灰色;尺码:160/88A/L,2021-01-12 05:18:01,颜色很干净
t***7,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-11 22:12:44,去年买了一件，挺好穿的，今天换个颜色买了一件，羊毛的，很暖和的
l***1,颜色分类:03 灰色;尺码:160/88A/L,2021-01-11 19:40:49,不错。
t***8,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-11 05:33:55,太薄了其他还不错
林***e,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-10 20:14:53,很好
田***5,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-10 11:26:10,当内搭好极了
田***5,颜色分类:03 灰色;尺码:160/88A/L,2021-01-10 11:25:41,好，舒服
田***5,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-10 11:25:17,好，舒服
黎***风,颜色分类:03 灰色;尺码:160/88A/L,2021-01-10 09:13:45,回购多次了，质量杠杠的！
t***4,颜色分类:03 灰色;尺码:160/84A/M,2021-01-09 20:12:53,扎脖子，比较薄。但是这个价钱能买到基础打底已经不错了。
生***好,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-09 14:08:49,多次购买了，贴身穿，很舒服
t***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-09 13:16:33,冬天深色系百搭哦
d***i,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-09 13:06:42,薄款
细***细,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-09 12:10:35,没检查，洗后想穿发现破了个洞，心塞！没检查，洗后想穿发现破了个洞，心塞！没检查，洗后想穿发现破了个洞，心塞！没检查，洗后想穿发现破了个洞，心塞！没检查，洗后想穿发现破了个洞，心塞！
l***6,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-08 21:56:30,18年给娃儿买了一件黑色的和一件深灰色的，遗憾被学校的洗衣机洗坏了。她太喜欢这款毛衣了，说是毛衣柔软，穿上舒服，也好搭配衣服，所以现在又给她买了一件浅灰色的和一件深灰色的，让她一定要用手洗。
l***6,颜色分类:03 灰色;尺码:165/92A/XL,2021-01-08 21:56:18,18年给娃儿买了一件黑色的和一件深灰色的，遗憾被学校的洗衣机洗坏了。她太喜欢这款毛衣了，说是毛衣柔软，穿上舒服，也好搭配衣服，所以现在又给她买了一件浅灰色的和一件深灰色的，让她一定要用手洗。
蒙***8,颜色分类:03 灰色;尺码:160/84A/M,2021-01-08 16:28:03,肩膀部容易漏针
白***扬,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-08 10:51:17,跟我在店里买的灰色比尺码偏小，物流简直了，第二次了，不打招呼直接给我扔离我好几公里的驿站。
水***缘,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-08 03:33:17,很好
h***i,颜色分类:03 灰色;尺码:155/80A/S,2021-01-07 14:38:05,买了深灰色，又加买浅灰色，好穿。
c***9,颜色分类:03 灰色;尺码:160/84A/M,2021-01-07 14:32:31,好
e***1,颜色分类:03 灰色;尺码:160/84A/M,2021-01-06 20:24:05,灰色会有点显胖
4***n,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-06 18:08:20,此用户没有填写评论!
r***9,颜色分类:08 深灰色;尺码:165/92A/XL,2021-01-06 12:34:19,第三件！暖和好搭配！
r***9,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-06 12:33:52,第二件，真的很暖和
百***u,颜色分类:03 灰色;尺码:155/80A/S,2021-01-05 16:48:16,超软薄款，没有色差
t***5,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-04 09:28:28,好
d***d,颜色分类:03 灰色;尺码:160/84A/M,2021-01-03 20:46:57,此用户没有填写评论!
s***f,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-03 18:56:56,穿久了会起球，但是暖和，每年必买，其实我觉得藏青色比黑色好看
