displayUserNick,auctionSku,rateDate,rateContent
黛***l,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-27 12:26:33,挺好的
黛***l,颜色分类:09 黑色;尺码:155/80A/S,2021-02-27 12:26:22,可以的
s***s,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-26 23:06:53,好评。
和***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-26 12:55:14,还可以的
w***a,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-25 15:53:05,特别薄，连个秋衣都比不过，懒得退了
小***3,颜色分类:08 深灰色;尺码:165/92A/XL,2021-02-25 10:18:45,买了好几个颜色了
v***5,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 23:01:09,面料很舒服，但贴身穿稍有一点扎皮肤
是***姨,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-22 20:25:04,很薄，贴身的，还可以
t***2,颜色分类:09 黑色;尺码:160/88A/L,2021-02-21 22:05:55,修身 打底最好
鹿***3,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-21 19:38:40,此用户没有填写评论!
s***2,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-21 16:00:48,此用户没有填写评论!
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 13:23:13,挺好
桂***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-21 12:59:34,囤了好几个百搭色
c***3,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-21 12:09:55,和另外一件白色混搭很好看
时***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-20 21:05:45,看着不错，没穿
时***6,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-20 21:04:25,没穿，看着不错
林***5,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-20 09:31:07,颜色比图片稍暗一点，柔软舒适，不错不错，身高162，体重113斤，正合适。
周***0,颜色分类:09 黑色;尺码:155/80A/S,2021-02-20 08:43:59,买了几件了，舒适度无需多言
肖***群,颜色分类:09 黑色;尺码:155/80A/S,2021-02-20 08:07:08,比想象的薄一点
m***8,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-19 20:15:59,价廉物美
d***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 16:46:52,想要这种款式，冬天打底最实用，不透不扎！
小***3,颜色分类:09 黑色;尺码:160/84A/M,2021-02-19 14:54:48,纠结很久还是买了这件打底衫，黑色搭配红色大衣，挺好的。面料软，有弹性，暂时没发现起球。
陪***猫,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-19 10:27:22,我的身高体重：挺好的
s***n,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-19 08:16:55,好
边***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-18 21:55:36,面料材质：起球，薄
美***兜,颜色分类:09 黑色;尺码:160/84A/M,2021-02-18 16:11:04,OK
月***y,颜色分类:09 黑色;尺码:160/84A/M,2021-02-18 13:41:42,满意，很好搭
月***y,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-18 13:41:42,满意，很好搭
g***j,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-18 10:16:45,非常喜欢
小***心,颜色分类:09 黑色;尺码:160/84A/M,2021-02-18 08:05:20,还好
我***谁,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-17 16:29:21,打底穿实在太好了
t***7,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-17 09:57:16,整体评价：非常好，想要的效果柔软舒服面料好
h***2,颜色分类:09 黑色;尺码:160/88A/L,2021-02-16 21:52:51,还行
大***0,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-16 12:56:40,降价太快了
待***飞,颜色分类:09 黑色;尺码:155/80A/S,2021-02-16 01:17:46,挺薄的 不过很柔软 穿着蛮舒服
惠***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-15 20:33:35,挺好的
x***i,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-15 15:07:19,好着呢
s***r,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-14 17:47:34,可以
无***女,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-14 10:01:33,作为过年新衣还可以 不过 我买小了
鸡***筒,颜色分类:09 黑色;尺码:160/84A/M,2021-02-13 22:38:54,优点是打底衫确实很有弹性，缺点是弹性太大穿了两次就松松垮垮了。而且我穿上浑身过敏起红疹了，排除掉其他日常没有变的情况，我只能想到是穿了新打底衫导致过敏的。慎买。
热***8,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-13 16:27:59,偏薄，适合南方天气，质量好评
t***3,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-13 13:56:08,感觉好薄😂但当个打底是没什么问题的
香***7,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-13 12:49:30,薄薄的，够穿
e***1,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-12 20:06:06,此用户没有填写评论!
e***1,颜色分类:09 黑色;尺码:160/88A/L,2021-02-12 20:06:06,此用户没有填写评论!
快***z,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-12 18:16:06,比平时买大一码穿着可能更舒适
王***3,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-12 15:11:17,喜欢 颜色比照片的稍暗 很修身 身上试的是S码 实体店没有M码 所以来网上买了
a***3,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-12 10:16:56,此用户没有填写评论!
d***2,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-11 20:00:24,非常柔软
麦***1,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-11 15:02:21,舒服 好看
王***姐,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-11 11:51:42,好
陈***n,颜色分类:69 藏青色;尺码:155/80A/S,2021-02-11 10:16:52,除了有些薄，其他的都特别好！适合打底穿！
王***f,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-10 20:43:42,优衣库的衣服对于我们这些高个子来说真是太好了，尺码足，够长！
z***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-10 17:36:02,买大了，偏宽松
立***伤,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-10 15:56:58,好评
立***伤,颜色分类:09 黑色;尺码:160/84A/M,2021-02-10 15:56:58,好评
d***7,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-10 14:06:32,妈妈很满意
李***艾,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-10 12:23:06,衣服很薄，店里没有人工客服。怎么咨询都没人应
t***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-10 11:21:26,此用户没有填写评论!
幽***e,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-09 23:02:39,超棒！打算在买几件
沐***8,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-09 19:57:27,此用户没有填写评论!
沐***8,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-09 19:57:27,此用户没有填写评论!
沐***8,颜色分类:09 黑色;尺码:160/84A/M,2021-02-09 19:57:27,只想说特别的薄，红色颜色不正，肤色不好的美女，不要入了，买了三件，退两件，这价位，不划算。 整体评价：一般，一件薄，另外一件又稍微厚点，只是个三月份四月份穿，冬季北方天气算了吧。
吴***阳,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-09 16:47:27,"164cm71kg,xl码很合适，是怀孕时候买的。质量还不错。"
d***n,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-09 15:29:30,好
丢***7,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-09 11:04:51,非常柔软，弹性大，是比较深的红色
宝***姥,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-08 22:03:26,颜色不是那种大红色，有点发暗红
王***4,颜色分类:09 黑色;尺码:160/88A/L,2021-02-08 19:49:04,很满意
t***3,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-08 19:00:55,收到马上洗了，掉毛，掉毛没有前年买的好，前几年买了几件都不会掉毛估计还会起球一般
你***拉,颜色分类:09 黑色;尺码:160/88A/L,2021-02-08 13:13:20,领口有点高，很柔软，洗的时候掉了一些毛毛，不知道穿上不知道扎不扎。
f***6,颜色分类:08 深灰色;尺码:155/80A/S,2021-02-08 12:38:01,材质不错，裸穿不扎肉。
y***8,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-08 11:46:46,顺丰发货，精纺羊毛，穿着舒适，颜色纯正，超级满意。
y***9,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-08 11:30:26,不错吗
小***0,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-08 10:53:00,挺好的穿的   质量也不错
佳***儿,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-08 10:04:56,颜色偏深，可以贴身穿，超值
z***n,颜色分类:08 深灰色;尺码:150/76A/XS,2021-02-08 00:30:32,可以。
m***u,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-07 21:05:46,挺好的，喜欢优衣库的打底衫。
s***u,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-07 20:32:44,优质且颜色超正，喜欢！
逢***8,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-07 17:05:41,客服太差了
c***9,颜色分类:09 黑色;尺码:160/88A/L,2021-02-07 15:30:13,百搭又舒适，赶上打折，太划算了！
徐***9,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-07 13:55:30,版型太喜欢了
但***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 13:24:44,二次购买了，降价了
慌***学,颜色分类:09 黑色;尺码:160/84A/M,2021-02-07 07:15:42,黑色百搭，非常适合做冬天内搭
y***正,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-06 22:19:25,好评，过年穿很喜庆啊
柴***8,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-06 21:49:36,头一天收货，第二天就大幅降价！！！
t***l,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-06 20:13:49,穿着舒适，没有压力。
一***7,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-06 20:02:38,一如既往的可以 不错哦
恶***y,颜色分类:09 黑色;尺码:155/80A/S,2021-02-06 09:47:06,如果没猜错，优衣库应该是一次性的吧&hellip;&hellip;所有东西洗一次就起球成这个德行
i***琳,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-05 16:12:33,129买到挺值
m***e,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-05 15:48:04,先买了黑色，又买了白色。白色会有点透但还好，这种薄内搭正常都会有点透的。不喜欢透的朋友建议选深色的。
爱***3,颜色分类:09 黑色;尺码:160/88A/L,2021-02-05 14:10:56,门店自提的，比直接去店里买便宜70多块钱，都还一样的衣服，还是网上买划算
9***w,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-05 13:51:40,一般般，还是刺皮肤的
m***u,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 11:07:54,媳妇穿上很美丽，很性感
虫***4,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-05 10:23:38,此用户没有填写评论!
虫***4,颜色分类:09 黑色;尺码:155/80A/S,2021-02-05 10:23:38,此用户没有填写评论!
千***头,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-05 08:23:08,可以
巧***y,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-05 00:46:54,很薄很贴身，穿着舒适。
m***y,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-04 18:34:39,此用户没有填写评论!
w***8,颜色分类:64 湖蓝色;尺码:160/88A/L,2021-02-04 15:45:45,此用户没有填写评论!
s***r,颜色分类:15 珊瑚红色;尺码:160/84A/M,2021-02-04 15:42:19,去年买过一件很好穿，不扎，今年回购，价格还划算了
掌***起,颜色分类:09 黑色;尺码:160/88A/L,2021-02-04 14:10:48,去年买的深灰色 很好穿 今年回购黑色 好搭不起球
但***6,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-04 12:50:46,颜色好看，手感不错，喜欢，准备给妹妹买的一件
m***8,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-04 12:13:27,颜色好看，过年穿很喜庆
喵***腰,颜色分类:08 深灰色;尺码:160/84A/M,2021-02-04 11:11:20,手感没去年买的好
l***3,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-04 10:24:02,老妈挺喜欢的，不错
蒲***6,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-04 09:46:28,很好
x***y,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-04 09:02:07,买给妈**
x***y,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-04 09:00:32,穿起来感觉不怎么舒服 白色的有点透 标签写的乳白色 可是实际上是淡黄色
j***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-03 15:42:38,买完就降价，太无语了
芬***o,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-03 15:01:50,我的身高体重：158 80斤，长了，怕以后洗着洗着更拉长
木***6,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-03 07:34:21,颜色好看，给妈妈买的，刚合适。
思***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-03 00:40:17,看着薄，但穿着听暖和。
k***8,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-02 20:34:35,客服合欢真漂亮，还可爱，服务还好
遥***8,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-02 20:09:56,满意 好评
乐***时,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-02-02 18:15:11,颜色很正，很喜欢！
s***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-02 14:10:01,没有想象的好，有点薄，越穿越大没有弹性
z***5,颜色分类:09 黑色;尺码:160/84A/M,2021-02-02 12:35:12,打底首选优衣库
画***锦,颜色分类:09 黑色;尺码:155/80A/S,2021-02-02 11:37:54,弹性很大
画***锦,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-02 11:37:54,不错 弹性很大
s***兔,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-02 11:06:32,货品一如既往的好！
s***兔,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-02 11:06:32,货品一如既往的好！
天***9,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-02 09:54:19,好看，舒服，但是白色太透！太薄，不过暖和！
w***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-02 09:06:56,衣服很薄，内搭。
a***i,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-02-02 08:30:06,纯毛的，冬天必备，红色过年穿很合适呢
a***i,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-02 08:30:06,纯毛的，冬天必备，趁降价到129屯了两个颜色
l***8,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-02 00:00:23,比较薄 也比较柔软 这个红比较低调 不错哦
h***a,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-01 21:40:16,可以
v***x,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-02-01 20:20:00,万能的打底衫，买了两个颜色！129入手，千万别买完降价😂
v***x,颜色分类:01 乳白色;尺码:165/92A/XL,2021-02-01 20:20:00,万能的打底衫，买了两个颜色！129入手，千万别买完降价😂
北***4,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-01 19:43:41,这个打底衫吧，太刺挠了，尤其是脖子。粗制滥造，一点质感都没有。
s***1,颜色分类:01 乳白色;尺码:170/100B/XXL,2021-02-01 17:46:24,簿而透，穿上蛮舒服的
博***7,颜色分类:09 黑色;尺码:160/84A/M,2021-02-01 17:07:20,128元入手，薄，柔软！
风***海,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-01 13:40:24,衣服太薄了，有点透
v***5,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-01 00:40:29,白色微透，颜色版型都不错，但之前买了一件，用羊毛衫洗剂手洗居然洗出了黄色色块，这件完全不敢洗&hellip;&hellip;
9***q,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 00:22:02,有点薄，其余还行吧。
w***8,颜色分类:09 黑色;尺码:155/80A/S,2021-02-01 00:02:16,好
菲***y,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-31 22:54:58,老顾客了，宝贝质量很好，与卖家描述的完全一致，非常满意，完全超出期望值，发货速度非常快，包装仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。有需要还会再来。客服很赞！解答疑问不厌其烦，细致认真！
小***猫,颜色分类:08 深灰色;尺码:160/84A/M,2021-01-31 21:13:12,可以
t***9,颜色分类:09 黑色;尺码:155/80A/S,2021-01-31 20:29:31,有点扎人
0***0,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-31 20:11:01,优衣库的固色做的越来越好了，几年前买的美利奴羊毛衫，掉色很厉害的。这件也是红色，基本不掉色，浮毛也少，夸夸
t***0,颜色分类:09 黑色;尺码:160/88A/L,2021-01-31 18:04:22,很不错
l***9,颜色分类:15 珊瑚红色;尺码:165/92A/XL,2021-01-31 15:36:24,贴身穿柔软舒适，颜色很靓丽
s***g,颜色分类:15 珊瑚红色;尺码:160/88A/L,2021-01-31 15:17:02,偏暗红色，不是很亮那种，挺好看的
稻***o,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-01-31 12:55:11,好看，贴身，性价比高
稻***o,颜色分类:64 湖蓝色;尺码:160/84A/M,2021-01-31 12:55:10,不错，性价比高。好看，贴身
t***s,颜色分类:01 乳白色;尺码:165/92A/XL,2021-01-31 12:40:25,衣服质量不错！穿着也不显胖，很好！
g***8,颜色分类:15 珊瑚红色;尺码:155/80A/S,2021-01-31 10:38:25,"158,90斤两个红都买了，这个浅一个色调，更喜欢"
t***4,颜色分类:09 黑色;尺码:160/88A/L,2021-01-31 10:37:48,很喜欢，值得购买！
l***7,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-31 08:46:30,非常棒的打底衫
会***9,颜色分类:08 深灰色;尺码:160/88A/L,2021-01-31 08:32:37,不错，已经洗了，不缩水不变形
暮***去,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-31 06:47:16,去年买了黑灰两色特别柔软，今年买的白色没有去年买的柔软，弹性没有有去年买的大，穿着就没有那么舒服了
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-01-30 23:31:32,已经第二件了，非常好
小***走,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-30 22:23:00,薄，透，颜色好看，白的温柔......
