displayUserNick,auctionSku,rateDate,rateContent
w***6,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-27 10:39:32,好
坏***1,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-24 12:02:51,尺码合适，穿着舒适，值得购买，非常好看
喜***8,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-24 11:54:41,"我的身高体重：165cm, 53kg，穿l码不会很宽松，但是也不会很紧，刚刚好，同时买了米色和绿色，绿色更好看，我是典型黄皮，不是很黑，也没有很白。两件都挺好的。对优衣库的衣服有改观。"
喜***8,颜色分类:54 绿色;尺码:160/88A/L,2021-02-24 11:54:41,"165cm, 53kg，穿l码不会很宽松，但是也不会很紧，刚刚好，同时买了米色和绿色，绿色更好看，我是典型黄皮，不是很黑，也没有很白。两件都挺好的。对优衣库的衣服有改观。"
田***9,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-24 09:29:31,同时买了三件体恤，都非常满意，优衣库家今年的衣服真的是还不错！
t***8,颜色分类:30 浅米色;尺码:155/80A/S,2021-02-23 21:38:21,买了陪黄色外搭的！比较紧身
薇***咪,颜色分类:59 墨绿色;尺码:165/92A/XL,2021-02-23 16:17:43,这款穿上真的很好看！有惊艳的感觉，配上这系列的驼色长裤感觉知性美
李***馆,颜色分类:54 绿色;尺码:155/80A/S,2021-02-23 14:42:53,忽略裤子的搭配 体恤很不错
t***5,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-23 11:21:21,U系列喜欢
轻***山,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 11:20:34,有点复古风，喜欢这个长度。
南***蔻,颜色分类:54 绿色;尺码:160/84A/M,2021-02-23 11:05:29,特别显气色，好春天的感觉~很好看，制作工艺很精美，材质也很好！给个赞！
小***5,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 10:23:39,比较职业加休闲的感觉哦
吃***鱼,颜色分类:09 黑色;尺码:160/88A/L,2021-02-22 14:10:01,百搭
r***6,颜色分类:54 绿色;尺码:160/84A/M,2021-02-22 13:24:58,最近半年的衣服都是买优衣库的最多，每件收到都觉得不错，这次算是失望的一次，可能是过年做工有点毛糙，布料没问题，纽扣位置不正，穿起来没那么服帖，颜色也没小红书模特穿上好看，适合皮肤白皙廋的人穿！下面配黑色好看！
z***6,颜色分类:30 浅米色;尺码:160/84A/M,2021-02-22 07:53:43,等不到打折了，先买了。
t***6,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 17:26:37,衣服超级喜欢，冰冰凉穿的也舒服
f***0,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-21 12:59:27,非常好穿，简约大气，可正式可运动，特别喜欢，米色更温柔
四***喂,颜色分类:30 浅米色;尺码:160/88A/L,2021-02-20 23:16:26,优衣库绝了，太好穿搭了
t***8,颜色分类:54 绿色;尺码:155/80A/S,2021-02-19 19:06:48,样子很好，显白
x***1,颜色分类:59 墨绿色;尺码:160/84A/M,2021-02-19 17:28:07,好看，搭配深米色裙子，很经典
心***3,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 13:30:13,此用户没有填写评论!
