displayUserNick,auctionSku,rateDate,rateContent
j***2,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-24 20:24:14,面料舒服，百搭
t***5,颜色分类:09 黑色;尺码:160/84A/M,2021-02-24 15:10:00,特意买大一码，怕缩水， 厚度比想象中要好些，手感还不错。
k***4,颜色分类:09 黑色;尺码:155/80A/S,2021-02-23 10:51:16,可以
1***p,颜色分类:39 棕黑色;尺码:160/88A/L,2021-02-21 14:36:53,性价比不错。但有几个色 总没号
y***g,颜色分类:02 浅灰色;尺码:155/80A/S,2021-02-20 19:56:02,比羊毛的要柔软，399入手，要是能出一款更厚的，我愿意加钱买。
j***0,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-19 13:50:38,比前年买的同款薄很多，会透出保暖内衣的颜色，不明白为什么这么薄的毛衣要设计成高领，很失望，优衣库真是一年不如一年
z***n,颜色分类:09 黑色;尺码:160/84A/M,2021-02-19 10:17:52,160 88 m码较宽松  很好 同时还买了一件白色的  有点透  退了
r***0,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-18 17:52:39,167高，53公斤，平时M码，这件看版型有点小怕缩水就买了大一号，其他都好，只是大臂那里有些肥，不影响，袖子马上去没毛病。品质不错，静电很大，还没泡金纺。  喜欢的颜色总是断码，通常都是大半夜上货，突然醒了可以买到，希望忠粉不要老熬夜抢，对身体不好，因为3点以后正是机体造血的时间，长期熬夜或失眠有损肝肾，造成面色和发质枯黄，眼纹加深，初老和衰老加剧。  一字一字敲，良心评价。
是***你,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-18 13:53:39,优衣库的基础打底款做的确实不错
手***静,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-16 10:39:43,质量真的太一般了，洗一次就变形的厉害
t***8,颜色分类:09 黑色;尺码:160/88A/L,2021-02-16 10:37:14,衣服收到很满意，穿着很舒服。
l***7,颜色分类:39 棕黑色;尺码:160/84A/M,2021-02-16 09:15:05,一直是优衣库的铁粉，薄轻且保暖，非常好，很喜欢，内搭穿。
梦***a,颜色分类:02 浅灰色;尺码:160/84A/M,2021-02-15 22:58:27,穿着很舒服，希望洗了之后不会缩水
细***花,颜色分类:39 棕黑色;尺码:165/92A/XL,2021-02-14 09:34:30,质量很好！160 118斤买的Xl略宽松！我喜欢宽松点！399入手挺实惠！棕黑色刚买来感觉像老头穿的，但是穿起来很洋气！
8***1,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-13 18:24:10,比往年买的薄，有静电
林***3,颜色分类:09 黑色;尺码:155/80A/S,2021-02-12 21:44:41,很好
x***e,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-12 16:31:47,应该是羊绒的，厚薄一般，但是很保暖 我的身高体重：身高158体重102 面料材质：稍微有点起球
焦***益,颜色分类:45 柠檬黄色;尺码:155/80A/S,2021-02-11 21:00:52,好好好，已经买了三件了，特别舒服。喜欢，以后还会买
爽***6,颜色分类:01 乳白色;尺码:160/88A/L,2021-02-10 21:48:22,白色不可避免的有点透
小***柜,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-10 07:29:34,还不错，但是比我在日本买的薄～
s***o,颜色分类:09 黑色;尺码:160/88A/L,2021-02-10 00:21:38,基础款，买了两件，轻微起球
s***o,颜色分类:31 米色;尺码:160/84A/M,2021-02-10 00:18:26,穿了一段时间，有起球
h***6,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-02-09 05:17:16,去年买了米色好看的，洗后缩了点，今年特意买大些，灰色百搭👍
小***姑,颜色分类:09 黑色;尺码:160/84A/M,2021-02-08 13:50:35,可，这个价格很划算
h***妈,颜色分类:11 粉红色;尺码:155/80A/S,2021-02-08 13:23:02,很好，收了5种颜色了。 优衣库还送了果盘，意外的惊喜！
h***y,颜色分类:31 米色;尺码:160/84A/M,2021-02-08 10:23:28,简单高端
天***浴,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-07 19:52:25,软糯
地***w,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 19:16:04,白色比我买的棕黑色柔软舒服，就是微透，和我买的其他品牌羊绒衫比性价比很高，就是衣服是别人的退货，有根头发
紫***4,颜色分类:01 乳白色;尺码:160/84A/M,2021-02-07 11:40:40,开始拍了件小码，觉得小了点，等到了中码，除了领子稍微高一点，没毛病。
张***7,颜色分类:09 黑色;尺码:160/84A/M,2021-02-07 10:59:46,整体评价：大小合适
相***0,颜色分类:09 黑色;尺码:160/84A/M,2021-02-06 13:36:37,非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
s***y,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-06 13:03:02,有点薄，白色略透，不过挺舒服的，399很划算呀，版型也好。
