displayUserNick,auctionSku,rateDate,rateContent
z***1,颜色分类:31 米色;尺码:160/84A/M,2021-02-27 07:51:37,还行，收下了
m***q,颜色分类:31 米色;尺码:160/88A/L,2021-02-26 12:17:35,还不错，颜色好看，穿着舒服。
此***8,颜色分类:31 米色;尺码:160/84A/M,2021-02-25 16:07:09,品质很好，春秋薄款，天气开始热了，现在穿正好。米色是偏浅驼色些的，正是我想要的色，款式经典，可以内搭很多大地色系的外衣。
z***d,颜色分类:45 柠檬黄色;尺码:160/88A/L,2021-02-24 19:08:34,保暖舒适～颜色也好看～喜欢！
l***5,颜色分类:74 紫罗兰色;尺码:160/84A/M,2021-02-24 12:22:07,想买L**没货了，M码穿着合身
哈***人,颜色分类:31 米色;尺码:160/84A/M,2021-02-24 09:51:36,买给爸爸妈**羊绒衫 他们很暖和很喜欢 没回家的年 把温暖送回家
欢***y,颜色分类:31 米色;尺码:160/88A/L,2021-02-23 19:21:45,很好
李***希,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-23 14:18:54,回购款
1***徐,颜色分类:31 米色;尺码:160/84A/M,2021-02-23 12:01:11,大小刚好
l***0,颜色分类:31 米色;尺码:160/84A/M,2021-02-22 21:17:10,一看就是人家退货的。算了，就这样吧
g***1,颜色分类:74 紫罗兰色;尺码:160/84A/M,2021-02-22 11:38:26,挺好的
t***1,颜色分类:31 米色;尺码:160/84A/M,2021-02-21 13:25:25,超级速度，已经到手了。手感很好，柔然舒服，尺码合身，（162/51）颜色喜欢。一直惦记着优衣库的宝贝，一直在逛网点与实体，相信优衣库，支持优衣库。
y***虫,颜色分类:39 棕黑色;尺码:155/80A/S,2021-02-20 22:22:38,标注不发圆通，依然发圆通
z***r,颜色分类:74 紫罗兰色;尺码:155/80A/S,2021-02-20 19:11:02,刚拿到手静电挺大的，厚薄刚好，很适合春天穿，尺码也很合适
m***e,颜色分类:31 米色;尺码:160/84A/M,2021-02-19 20:23:57,可以
z***3,颜色分类:31 米色;尺码:155/80A/S,2021-02-19 12:28:50,好评
y***r,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-19 10:19:17,软儒薄款，80斤的瘦小女生155码正好
辟***n,颜色分类:31 米色;尺码:160/84A/M,2021-02-19 10:05:26,不透明 很保暖 尺码标准 非常柔软舒适 轻微气球
氤***6,颜色分类:01 乳白色;尺码:155/80A/S,2021-02-19 10:03:28,划算，舒适。
纸***p,颜色分类:45 柠檬黄色;尺码:160/88A/L,2021-02-19 09:13:57,这个颜色可以说是很喜欢了～春天单穿都很👌
t***1,颜色分类:31 米色;尺码:160/84A/M,2021-02-18 22:13:04,做为羊绒衫，太硬了，还不如别家羊毛羊绒各半的柔软舒适厚实。
眉***m,颜色分类:31 米色;尺码:155/80A/S,2021-02-18 10:46:52,非常好
情***0,颜色分类:74 紫罗兰色;尺码:160/84A/M,2021-02-17 16:12:29,柔软舒适，颜色温柔，适合30+
g***7,颜色分类:31 米色;尺码:160/88A/L,2021-02-17 10:02:26,好看
p***i,颜色分类:45 柠檬黄色;尺码:160/88A/L,2021-02-17 01:02:45,实物颜色比图片暗，是姜黄。这个羊绒衫我一般买大一号。
暗***舞,颜色分类:45 柠檬黄色;尺码:160/88A/L,2021-02-16 14:37:22,依然还是薄薄的、软糯的，颜色很鲜艳。 洗标上写着要干洗&hellip;&hellip; 去年的水洗没事&hellip;
x***c,颜色分类:31 米色;尺码:160/88A/L,2021-02-15 12:15:26,还不错
s***3,颜色分类:31 米色;尺码:160/84A/M,2021-02-15 00:44:48,衣服收到了，还不错，第一次买羊绒的，希望好穿！
z***3,颜色分类:09 黑色;尺码:155/80A/S,2021-02-14 21:42:58,好评
l***f,颜色分类:31 米色;尺码:160/84A/M,2021-02-13 13:47:30,羊绒衫有个破洞，店家一直推诿不解决所以差评。
清***8,颜色分类:12 桃红色;尺码:165/92A/XL,2021-02-12 13:41:23,版型比去年的小点，为避免洗几次变紧退货重拍加大**
