displayUserNick,auctionSku,rateDate,rateContent
n***2,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-27 10:38:37,还可以吧
t***2,颜色分类:32 深米色;尺码:160/88A/L,2021-02-26 23:13:27,面料很舒服 春夏搭配起来很好穿 价格美丽
h***3,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-26 17:43:43,不错，很合身，百搭休闲款式
日***8,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-25 23:47:28,会起球！！！
l***n,颜色分类:09 黑色;尺码:160/88A/L,2021-02-25 22:34:40,刚打开有点味，短款宽松版型内搭衬衫好看
t***2,颜色分类:08 深灰色;尺码:170/100B/XXL,2021-02-25 22:28:16,材质很舒服
紫***兔,颜色分类:09 黑色;尺码:160/88A/L,2021-02-25 17:38:49,性价比超高
t***6,颜色分类:09 黑色;尺码:160/84A/M,2021-02-25 16:15:49,整体评价：简约高级的黑色开衫是必备的，赞
s***a,颜色分类:03 灰色;尺码:160/88A/L,2021-02-25 15:10:54,买了比平时大两号，穿着宽松舒服
w***烟,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-25 09:22:54,🉑️
h***r,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-25 08:35:06,物美价廉，性价比高，值得购买。
穗***运,颜色分类:03 灰色;尺码:160/88A/L,2021-02-24 19:51:45,非常好，买大一码显瘦，好漂亮！
t***9,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-24 18:18:42,衣服柔软舒服！满意！
小***2,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 14:04:52,还行，挺贴肉，显瘦
徐***啦,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-24 13:12:12,一如既往地好，满意!
l***m,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-24 12:51:13,穿着宽松舒适，面料比较坠弹性好。
t***0,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 08:26:29,等天气暖和才能穿，合适囤着
h***n,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-24 00:24:43,确实是宽松款，不能买大。170cm，68kg，L很合适。
未***s,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-23 18:54:01,舒服～～好看
l***香,颜色分类:03 灰色;尺码:160/84A/M,2021-02-23 18:36:31,如描述，浅灰色，色很正，柔软宽松
t***8,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-23 18:17:15,之前买了一件L码感觉有点大，这件M刚好。
d***0,颜色分类:69 藏青色;尺码:175/108C/XXXL,2021-02-23 17:12:43,不错，喜欢
王***冬,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-23 14:14:42,发货快，非常满意
王***冬,颜色分类:09 黑色;尺码:160/88A/L,2021-02-23 14:14:42,发货快，非常满意
卿***过,颜色分类:69 藏青色;尺码:165/92A/XL,2021-02-23 13:35:42,很舒服的开衫，质量好。
n***r,颜色分类:69 藏青色;尺码:160/84A/M,2021-02-23 10:57:31,满意。
n***r,颜色分类:09 黑色;尺码:160/84A/M,2021-02-23 10:57:31,满意。
t***1,颜色分类:03 灰色;尺码:160/84A/M,2021-02-22 21:55:21,中毒太深，买了一堆。花了我太多，还继续买。努力赚钱！！！
徐***r,颜色分类:32 深米色;尺码:160/88A/L,2021-02-22 21:19:53,宽松的，79挺合适的，闭眼入吧
a***1,颜色分类:09 黑色;尺码:160/88A/L,2021-02-22 19:51:01,开衫很薄，适合夏天空调房穿
c***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-22 18:38:03,不錯 百搭
潇***天,颜色分类:32 深米色;尺码:160/88A/L,2021-02-22 18:32:05,面料摸着比较舒服   没有色差  很温柔的颜色   我买大了一点点   好评
t***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-22 13:29:24,挺好的就是买大了
撇***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-22 13:20:47,宽松
t***0,颜色分类:03 灰色;尺码:160/84A/M,2021-02-22 12:54:41,优衣库加油！
j***7,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-21 23:39:18,可以 略掉色 洗洗穿穿应该会松
窦***麟,颜色分类:32 深米色;尺码:160/88A/L,2021-02-21 22:48:17,很好
岚***橙,颜色分类:09 黑色;尺码:160/88A/L,2021-02-21 22:21:13,好看舒服
1***1,颜色分类:32 深米色;尺码:160/88A/L,2021-02-21 22:08:28,很好
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-21 19:45:53,质量挺好，穿着舒服
a***r,颜色分类:09 黑色;尺码:170/100B/XXL,2021-02-21 19:38:10,系上扣子可以当开衫，很舒服也百搭
l***m,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-21 15:41:45,之前买了一件XXL 的太大，换成了这件正合身。
我***8,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-21 12:32:18,非常好
粥***狸,颜色分类:69 藏青色;尺码:160/88A/L,2021-02-20 23:19:41,质量还行，颜色中规中矩的，不错，性价比很高
x***6,颜色分类:32 深米色;尺码:170/100B/XXL,2021-02-20 14:37:47,面料很舒服，显瘦，颜色也很好，我还推荐给了朋友
n***r,颜色分类:09 黑色;尺码:160/88A/L,2021-02-20 12:47:16,满意。
龙***文,颜色分类:09 黑色;尺码:160/88A/L,2021-02-19 17:13:21,还行
夕***可,颜色分类:03 灰色;尺码:160/84A/M,2021-02-19 16:20:21,挺好的～摸起来很舒服
t***8,颜色分类:08 深灰色;尺码:160/88A/L,2021-02-18 15:07:14,比较薄，很舒服，宽松版尺寸偏大
t***8,颜色分类:32 深米色;尺码:165/92A/XL,2021-02-18 12:06:01,跟这次订单无关，优衣库客服真的好**
龙***文,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-17 18:15:16,快递很快，质量棒极了，建议购买
c***2,颜色分类:09 黑色;尺码:155/80A/S,2021-02-17 12:54:31,很好 很舒服
丹***栋,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-02-15 22:07:10,挺好
w***r,颜色分类:03 灰色;尺码:150/76A/XS,2021-02-15 15:27:06,48kg   153  穿xs正好合适  布料很舒服  79块买的  降到59会再买一件
s***a,颜色分类:32 深米色;尺码:160/88A/L,2021-02-15 14:29:49,79买的，颜色很柔和，165，58公斤，略有宽松。喜欢。
晓***恩,颜色分类:09 黑色;尺码:160/88A/L,2021-02-14 20:38:13,好看，大小合适。
t***6,颜色分类:09 黑色;尺码:160/88A/L,2021-02-14 16:26:47,看着一般般
m***7,颜色分类:32 深米色;尺码:160/84A/M,2021-02-11 22:21:05,我之前在实体店试过，当时是原价，现在降价了就买了，这条的颜色比当时在实体店试穿的要暗很多，看起来旧旧的，感觉还有点轻微起球的样子，不知道多少人试穿过，袖子都撑大了，虽然是降价了，但是79一条真的不值，买过很多优衣库的衣服，但是价格越来越贵了，质量也越来越差了，对它真是越来越失望了！！！
t***7,颜色分类:09 黑色;尺码:155/80A/S,2021-02-10 22:27:08,挺好的
