displayUserNick,auctionSku,rateDate,rateContent
q***x,颜色:35 浅褐色;尺码:170/78A,2021-02-08 11:46:28,好评。
s***7,颜色:35 浅褐色;尺码:165/76A,2021-01-26 17:57:02,好
好***0,颜色:35 浅褐色;尺码:170/78A,2021-01-24 17:12:49,不错
我***5,颜色:09黑色;尺码:170/78A,2021-01-20 09:49:28,很好！
垄***家,颜色:69 藏青色;尺码:165/76A,2021-01-13 13:09:39,差评。退货繁琐。找不到客服。最后过了七天退不了货！
l***e,颜色:35 浅褐色;尺码:170/82A,2021-01-06 10:54:12,整体评价：好
穿***7,颜色:35 浅褐色;尺码:175/84A,2021-01-02 11:07:15,挺好
张***志,颜色:09黑色;尺码:175/88A,2020-12-31 10:28:47,最合心意
h***3,颜色:69 藏青色;尺码:180/90B,2020-12-30 09:30:30,很好👍
徐***0,颜色:35 浅褐色;尺码:165/76A,2020-12-29 20:54:53,好
冰***天,颜色:69 藏青色;尺码:170/82A,2020-12-28 18:28:24,可以，优秀。174，78，尺码正好
小***5,颜色:09黑色;尺码:170/82A,2020-12-27 11:54:40,买大了一点～
h***g,颜色:69 藏青色;尺码:165/72A,2020-12-26 21:43:32,还不错，冬天穿很好
名***1,颜色:09黑色;尺码:175/88A,2020-12-26 17:22:20,确认八错，挺百搭的，纯棉面料也是舒服的，就是怕褪色
莎***啦,颜色:09黑色;尺码:170/82A,2020-12-25 09:30:46,买大了到专柜换了码，发现专柜售价一样的，网店居然还是用顺丰寄过来的。
y***f,颜色:09黑色;尺码:175/88A,2020-12-23 16:33:51,uniqlo的衣服就是舒适合意
l***1,颜色:09黑色;尺码:175/84A,2020-12-23 15:09:34,在店里试过以后买的，发货很快，好评
骆***瑶,颜色:09黑色;尺码:170/82A,2020-12-21 06:46:09,我老公水跟店里不一样，裤脚很肥啊，不是直筒？
财***n,颜色:35 浅褐色;尺码:170/78A,2020-12-20 23:52:20,满意
a***6,颜色:09黑色;尺码:170/82A,2020-12-20 18:47:30,还行
