displayUserNick,auctionSku,rateDate,rateContent
l***8,颜色分类:05 天灰色;尺寸:150/58A,2021-02-16 18:52:26,很好
n***6,颜色分类:09 黑色;尺寸:160/70A,2020-12-11 17:57:05,此用户没有填写评论!
y***儿,颜色分类:09 黑色;尺寸:155/64A,2020-10-31 01:27:58,很好呀，就是两年了一直不打折呀
啊***得,颜色分类:05 天灰色;尺寸:150/58A,2020-10-26 18:57:17,腰胯合适，就是裤腿太长，还得去改一下。颜色是麻灰。
兔***9,颜色分类:08 深灰色;尺寸:155/62A,2020-10-16 14:29:03,裤型一如既往的好看，就是料子不咋的
细***天,颜色分类:68 深蓝色;尺寸:160/70A,2020-10-01 15:47:10,就像量身定做的，通勤太好穿了，买的第二条
c***i,颜色分类:09 黑色;尺寸:160/66A,2020-09-28 13:01:56,衣服稍微有点长，穿了几天，看到裤子后面有点起球，可能是衣服料子容易起球。
s***y,颜色分类:09 黑色;尺寸:150/58A,2020-09-10 21:53:46,长度肯定要剪，但是版型不错！
m***室,颜色分类:09 黑色;尺寸:155/64A,2020-09-10 12:51:33,裤子很皱，中线都是两条，最糟糕的一次购物
湛***6,颜色分类:68 深蓝色;尺寸:155/64A,2020-08-29 20:54:59,第一次买的时候发了一条二手的裤子，还有洗衣粉的味道，客服各种矫情，没有愿意和谐处理的态度，店大欺客
t***8,颜色分类:09 黑色;尺寸:155/64A,2020-08-26 11:51:11,正合适
淘***个,颜色分类:09 黑色;尺寸:150/58A,2020-06-12 15:16:16,还可以，面料是舒服透气的，适合夏天
l***师,颜色分类:09 黑色;尺寸:160/66A,2020-06-11 23:20:09,去优衣库的实体店试正装，非常好看，但是小一码比较窄，拍下了单号来网店买哒一码，奈何裤子长了，又去了门店把裤脚修短了。 整体客服都超级好，不论是门店还是网店，服务扛扛的，裤子质量也好，裤子拿去招聘穿～
m***5,颜色分类:08 深灰色;尺寸:160/70A,2020-06-03 01:23:55,号不准，容易周
b***5,颜色分类:69 藏青色;尺寸:160/66A,2020-05-18 18:34:24,挺不错的，穿着舒服，裤腿再瘦一点会更好。推荐的尺码非常不靠谱，大家留意。
m***r,颜色分类:69 藏青色;尺寸:165/74A,2020-05-12 13:12:12,版型很好👍
f***5,颜色分类:05 天灰色;尺寸:155/64A,2020-05-09 20:23:54,太长了 要改短
乐***钟,颜色分类:08 深灰色;尺寸:160/66A,2020-05-04 23:27:32,很好
相***妄,颜色分类:68 深蓝色;尺寸:165/74A,2020-04-17 09:23:46,身高174cm体重134斤，非常合身。
a***p,颜色分类:05 天灰色;尺寸:160/70A,2020-04-15 22:18:32,页面推荐尺码不能尽信，按推荐码买大了，又拍过这条小一码的，裤腿有点长，高跟鞋才能hold住，平底乐福鞋都拖地了，是薄款，广东春夏秋都行吧，哈哈 整体评价：不错 我的身高体重：162，60
x***9,颜色分类:69 藏青色;尺寸:165/74A,2020-04-15 18:26:49,非常刚好，很满意
s***g,颜色分类:08 深灰色;尺寸:160/66A,2020-04-14 20:59:38,好看
刘***9,颜色分类:68 深蓝色;尺寸:160/70A,2020-04-01 22:29:55,比较显瘦，偏大
云***1,颜色分类:08 深灰色;尺寸:160/70A,2020-04-01 09:23:14,很好
y***5,颜色分类:05 天灰色;尺寸:150/58A,2020-03-22 17:05:22,本来很喜欢，160 94 有点长，可以自己改。只是毫无垂感，易皱吧！牌子也拆了，将就了
x***1,颜色分类:05 天灰色;尺寸:155/64A,2020-03-20 12:53:11,面料材质不错，竖裆有点短。
y***儿,颜色分类:09 黑色;尺寸:155/64A,2020-03-18 12:31:26,1米61，体重100斤，除了长一点，其他都合身，供参考
静***1,颜色分类:05 天灰色;尺寸:160/66A,2020-03-13 12:25:09,很不错 都很满意 裤子质量不错 号码大了准备换一条小码
y***8,颜色分类:05 天灰色;尺寸:155/64A,2020-03-12 22:32:01,有点长，面料很好
f***a,颜色分类:69 藏青色;尺寸:160/66A,2020-03-02 23:50:15,商家给出的腰、臀围数据准确，但尺码太搞笑了。我买160/66A本来准备自己穿，结果167cm/62kg的女儿穿上正合适。
b***8,颜色分类:08 深灰色;尺寸:165/74A,2020-02-29 12:00:23,买大了一码，不退了，冬天穿，版型太好了
s***3,颜色分类:68 深蓝色;尺寸:160/66A,2020-02-13 01:05:22,我的身高体重：170/64，单穿正好，腰部无弹性 整体评价：很好，职业，偏薄
牛***阳,颜色分类:09 黑色;尺寸:155/64A,2020-02-03 19:38:40,心心念念想买的裤子，是直筒裤。
仙***拉,颜色分类:69 藏青色;尺寸:160/70A,2020-02-01 13:03:33,好看，质量也不错，初春穿可以
仙***拉,颜色分类:08 深灰色;尺寸:160/70A,2020-02-01 13:01:28,好看，质量也不错，优衣库越来越好了
g***2,颜色分类:05 天灰色;尺寸:160/70A,2020-01-29 14:54:40,总算有货了，之前的一条穿出本来了，一直断码，看到有货果断拍下，正好又在特价，赞。这款面料非常有型，不用熨烫，偏轻薄，非常舒适。
小***蹄,颜色分类:05 天灰色;尺寸:170/76A,2020-01-18 14:45:22,非常棒！柔软，有型，上班穿很好
小***r,颜色分类:09 黑色;尺寸:160/66A,2020-01-17 11:02:05,裤子很合适哦，跟上衣配一套，妥妥的正装～
w***8,颜色分类:05 天灰色;尺寸:165/74A,2020-01-11 11:45:58,很好
小***蹄,颜色分类:68 深蓝色;尺寸:170/76A,2020-01-11 00:43:41,柔软，有型，春秋穿合适
