displayUserNick,auctionSku,rateDate,rateContent
毛***5,颜色分类:02 浅灰色;尺码:155/68C/S,2021-01-16 18:33:47,快准狠 老客户
卡***n,颜色分类:02 浅灰色;尺码:155/68C/S,2020-12-01 10:56:39,不错，很舒服，而且穿着很舒适
一***6,颜色分类:69 藏青色;尺码:155/68C/S,2020-10-01 21:38:35,好穿
r***o,颜色分类:02 浅灰色;尺码:155/68C/S,2020-09-12 16:46:04,此用户没有填写评论!
依***暖,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-06-20 22:04:20,大小合适，面料舒服
t***1,颜色分类:09 黑色;尺码:155/68C/S,2020-06-15 11:24:53,东西还是很不错的～本人很喜欢～ 当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的评论是复制黏贴的。这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，因为差评我会直接说为什么的。所以大家就当作是产品质量合格的意思来看就行了。最后祝店家越做越好，大家幸福平安，中华民族繁荣昌盛
g***2,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-05-27 08:12:47,舒适透气
t***9,颜色分类:09 黑色;尺码:155/68C/S,2020-05-21 09:26:50,好
t***9,颜色分类:09 黑色;尺码:155/68C/S,2020-05-21 09:26:39,好
m***u,颜色分类:69 藏青色;尺码:155/64B/XS,2020-05-20 17:57:03,试了下大小，还行，现在孕早期，感觉还用不上
j***5,颜色分类:09 黑色;尺码:155/64B/XS,2020-05-19 09:55:10,太适合孕期妈妈！适合上班穿
缤***季,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-05-17 16:07:53,发货很快，很满意！
轩***萝,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-05-14 13:09:29,可以，就是店里都不卖，没法试穿，尺寸只能靠猜。
w***o,颜色分类:02 浅灰色;尺码:160/70C/M,2020-05-14 10:48:25,这裤子还行吧，夏天也可以穿，适合上班！本来是想买那个99的，但是一直不补货！什么时候补下啊，那个更好穿啊
姚***2,颜色分类:69 藏青色;尺码:155/68C/S,2020-05-11 21:04:37,很满意的，上身效果也很好
1***n,颜色分类:09 黑色;尺码:155/68C/S,2020-05-11 11:03:05,大号一直缺货，平时穿155，三个月了感觉155还是小了，只能暂时穿一段时间了，后面还要买大的
婷***儿,颜色分类:02 浅灰色;尺码:160/70C/M,2020-05-09 13:42:09,比牛仔那条舒服
l***5,颜色分类:02 浅灰色;尺码:160/70C/M,2020-05-09 09:15:54,很舒服，和优衣库通勤裤一个版型，好评！
t***9,颜色分类:69 藏青色;尺码:165/76C/L,2020-05-08 14:11:06,此用户没有填写评论!
紫***萱,颜色分类:02 浅灰色;尺码:165/76C/L,2020-05-08 12:15:28,尺寸大小：162/115 孕八个月 这是买的第二条了 上次买的藏蓝色 感觉尺寸略微有点区别 有点勒 目前比较喜欢藏蓝色 不勒 整体评价：买来上班穿的 有正装的感觉
兰***丁,颜色分类:69 藏青色;尺码:155/68C/S,2020-05-07 15:38:06,挺舒服
v***4,颜色分类:02 浅灰色;尺码:155/68C/S,2020-05-04 13:12:39,蛮合适的，价格不算太便宜，前面接缝处稍微有点奇怪的感觉，应该还是全针织的裤子舒服。盲选的尺码也很合适
旧***4,颜色分类:09 黑色;尺码:165/76C/L,2020-05-03 21:45:25,面料舒服。孕妇裤最舒服的
t***2,颜色分类:09 黑色;尺码:165/76C/L,2020-05-02 18:20:43,此用户没有填写评论!
b***n,颜色分类:02 浅灰色;尺码:165/76C/L,2020-05-01 13:55:00,穿着很舒服，不嘞，就是总缺货
c***s,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-05-01 08:52:42,裤子还不错，肚子那里有点松，现在要把调节带系紧才不会垮，感觉能穿到孕后期
l***6,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-30 18:24:44,月份大了穿不了 便宜出 质量很好 一次没穿过 没下水
心***包,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-29 23:48:08,很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好很好非常好
s***r,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-29 13:06:23,很舒适 颜色清爽 上班穿正好
s***3,颜色分类:69 藏青色;尺码:155/68C/S,2020-04-29 12:20:14,第一次买，有点贵。希望很好穿吧，孕妇裤子实在太贵了
a***l,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-29 10:18:15,没遇上活动时间，价格还是有点点小贵，希望下次给力吧
l***8,颜色分类:09 黑色;尺码:160/70C/M,2020-04-28 17:43:43,码数偏大，个人认为没有必要买大一码按正常码数即可。版型有点显胖。面料不算容易皱但有点粘毛。总体满意，有需要的话可以买。
上***菁,颜色分类:69 藏青色;尺码:165/76C/L,2020-04-28 12:49:23,好
上***菁,颜色分类:09 黑色;尺码:165/76C/L,2020-04-28 12:48:05,好
j***e,颜色分类:69 藏青色;尺码:165/76C/L,2020-04-27 16:07:47,很舒服，孕妇裤都是在优衣库买的。
m***8,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-27 13:46:02,此用户没有填写评论!
m***u,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-27 07:07:00,蛮舒服的。藏青色也还挺好看的，裤子腰上有可调节的松紧带。本人53kg，162cm，目前可以穿M号，会有点往下掉，但是等大了以后就不会了。裤子就有个问题粘灰。其他的都挺满意，挺阔度什么的都蛮好。
听***的,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-04-26 13:54:43,贵，但是穿着舒适。可以穿到生。
堂***1,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-04-25 11:40:50,很好~
s***7,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-23 12:54:59,很好看。不嘞肚子
s***7,颜色分类:09 黑色;尺码:165/76C/L,2020-04-21 11:40:33,此用户没有填写评论!
k***o,颜色分类:09 黑色;尺码:155/68C/S,2020-04-21 11:33:16,162，102斤，5个月穿小码就够了
烟***森,颜色分类:02 浅灰色;尺码:155/68C/S,2020-04-21 10:29:51,面料很舒服，但是有点掉档，主要靠臀围撑起来。
绝***o,颜色分类:09 黑色;尺码:160/70C/M,2020-04-20 15:40:14,买小了，孕周再大一些就穿不了了
鸟***香,颜色分类:02 浅灰色;尺码:155/68C/S,2020-04-20 11:33:51,好看
丫***4,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-20 09:15:59,这个孕妇裤不适合我，腹部那里有一条缝线，缝线以上是松紧的，缝线以下勒我肚子，没有299买来就穿了一次不敢穿了，害怕勒到宝宝不舒服！买这些特殊尺码的还是得实体店试了买！！
晴***9,颜色分类:69 藏青色;尺码:165/76C/L,2020-04-20 08:06:30,好评！
p***0,颜色分类:09 黑色;尺码:155/68C/S,2020-04-20 03:43:44,很好穿，舒适不勒肚子。码数很合适。
f***9,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-19 21:19:36,线下买了一条藏蓝色的- 线上买了这个色全新，不想要2条，尺码如拍摄，290包邮出。wx： alin00627
阿***王,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-19 19:04:14,整体评价：穿着舒适，按照臀围买的，孕五月，尺码合适，希望能穿到宝宝出生。
木***1,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-19 08:23:23,质量不错，有点小贵
p***s,颜色分类:69 藏青色;尺码:155/68C/S,2020-04-18 19:32:46,款式好看舒服
宁***g,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-18 11:03:10,穿上舒服
零***点,颜色分类:09 黑色;尺码:155/68C/S,2020-04-18 07:20:29,还行
f***6,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-17 20:55:02,很舒服
橙***5,颜色分类:09 黑色;尺码:160/70C/M,2020-04-17 20:10:05,略宽松，建议根据臀围选尺码。薄款，夏天也能穿。
橙***4,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-17 19:55:14,太舒服了，可以说是最好的孕妇裤
y***2,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-17 17:22:35,太好穿了
s***水,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-17 13:12:53,漂亮
咪***y,颜色分类:09 黑色;尺码:160/70C/M,2020-04-17 12:32:13,这条裤子很舒服啊，164买的M码目前孕三月，感觉还不错很轻肤，两边都可以调节内扣，黑色也百搭，夏天应该也能穿是薄款的
越***7,颜色分类:09 黑色;尺码:155/68C/S,2020-04-16 14:51:10,此用户没有填写评论!
阿***王,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-15 18:35:03,孕五月，按臀围买的，尺码合适，穿着很舒服，一点不勒。
小***京,颜色分类:69 藏青色;尺码:165/76C/L,2020-04-15 16:47:54,幸好买的L，很合适
往***年,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-14 20:09:27,155，92斤，四个多月穿着有点宽松，应该能穿到夏天
k***a,颜色分类:02 浅灰色;尺码:155/68C/S,2020-04-14 16:07:09,物超所值，相当不错
t***3,颜色分类:09 黑色;尺码:160/70C/M,2020-04-14 14:33:40,165、52，双胞胎17周，S码裤腿合适，腰部连接处稍紧，M码裤腿和腰部都稍松一些，穿上更舒服，后期也可以穿
t***2,颜色分类:09 黑色;尺码:160/70C/M,2020-04-14 13:05:12,165cm，49kg，11周，买M买大了&hellip;&hellip;
f***斐,颜色分类:09 黑色;尺码:160/70C/M,2020-04-14 12:30:24,穿着挺舒服 但是黑色粘灰
后***地,颜色分类:02 浅灰色;尺码:170/82C/XL,2020-04-14 07:31:57,整体评价：穿着挺舒服的，样子像妈妈们以前穿的款，总体收下，和详图一样。 面料材质：舒适
糯***9,颜色分类:09 黑色;尺码:160/70C/M,2020-04-13 16:24:49,长了些 穿上感觉有点儿土 好像父母爱情里主角穿的那种涤纶裤 可能我身材不好 五五分不配拥有 很薄 适合夏天 想要小西装裤那种的我个人感觉不是哈 裤型说不上来
h***j,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-13 15:50:04,好穿
海***9,颜色分类:09 黑色;尺码:165/76C/L,2020-04-13 13:28:15,此用户没有填写评论!
默***星,颜色分类:09 黑色;尺码:160/70C/M,2020-04-13 10:05:45,一般，布料不是我喜欢的那种
妍***n,颜色分类:09 黑色;尺码:160/70C/M,2020-04-12 21:53:10,第二次购买了，非常满意，孕期就靠优衣库了！
寓***潇,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-12 21:23:37,面料材质：实在太差强人意    洗衣机洗完晾干  很皱，用熨斗熨完还是有折痕。买几十年裤子第一次见熨斗都这么不管用的面料。 买那么多年优衣库  第一次想给差评。
咫***6,颜色分类:09 黑色;尺码:165/76C/L,2020-04-12 13:48:59,这款裤子挺好穿的，就大小合适，厚度也合适，就是气味有些重，买了几次优衣库的衣服气味都太重了，其他挺好
q***丝,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-12 13:37:39,小贵但是质量很好
j***n,颜色分类:09 黑色;尺码:160/70C/M,2020-04-12 12:20:56,非常适合夏天通勤，就是肚子下面有一段是无弹的，气温终于能穿之后发现好像有点小了&hellip;
李***4,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-11 22:47:07,6个月，112斤，160cm，穿着不是很舒服，上面的有点紧，估计过半个月就彻底闲置了
j***u,颜色分类:09 黑色;尺码:165/76C/L,2020-04-10 16:59:18,根本就没给发，延迟快一个月才给处理，第一次处理还说发了，真是现在优衣库的售后服务越来越差的，店大欺客！！！
t***6,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-10 12:48:04,怀孕三个月，51公斤，买的M号，非常合适，款式和质地都是自己想要的。值得购买。
香***磊,颜色分类:09 黑色;尺码:160/70C/M,2020-04-10 12:10:58,此用户没有填写评论!
我***饭,颜色分类:09 黑色;尺码:165/76C/L,2020-04-09 18:20:53,可
猪***里,颜色分类:09 黑色;尺码:165/76C/L,2020-04-09 10:56:39,此用户没有填写评论!
n***然,颜色分类:69 藏青色;尺码:170/82C/XL,2020-04-08 22:37:37,做工质量不错哦、线下都买不到，线上买来试试
t***3,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-07 20:56:33,159、54kg 孕14周 终于买到一条合身的裤子，穿着很舒服，做下蹲下都没有压力 以前不喜欢你家裤子版型 这款爱了
s***6,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-07 16:38:36,164，孕24周60kg，先买了L的穿着感觉嫌大，裤兜位置比正常的裤子靠下，手要完全伸直往下够才能放进去，有点不习惯；裤腰拉直都可以到胸下面了，松紧方面倒也没有很松，而且裤腰可以收紧。最后换了M号的，穿上的时候感觉有点紧，因为裤子臀围比L号小，且没啥弹性。穿上之后比L号合身一点，也感觉紧一点，但是裤兜一样靠下，裤腰可以拉到肚子上方，松紧放到最松也是刚刚好不松不紧的感觉。肚子中间那部分弹性很大，但是整体会感到上下端有点紧，又有点后悔换M了，可能时间长了还是L号宽松的好，毕竟肚子后面还会长。孕妇装就是没有降价哈，之前一条孕妇紧身裤到下架了还是原价。
t***8,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-07 12:11:47,面料和做工都不错，腰部两边都可以收放，应该可以一直穿到生。裤子偏薄，适合暖和一点的时候穿，价格有点小贵。
l***3,颜色分类:09 黑色;尺码:155/68C/S,2020-04-07 11:33:17,小号有点小，中号有点大，还好能调节腰围，门店换了中号，又剪了裤脚
z***u,颜色分类:09 黑色;尺码:170/82C/XL,2020-04-07 10:05:24,很好。
h***n,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-07 09:35:06,good
闫***8,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-06 13:28:14,腰上有点松，但当做工服裤来穿完全可以，藏蓝色也OK
小***婆,颜色分类:09 黑色;尺码:170/82C/XL,2020-04-06 12:12:31,价格迟迟不降 很坚挺
o***z,颜色分类:69 藏青色;尺码:160/70C/M,2020-04-05 19:42:44,还行 目前穿还有点大
o***z,颜色分类:09 黑色;尺码:160/70C/M,2020-04-05 19:38:44,买了两条 目前孕五个多月 身高157 体重50 穿上还有点大 不过也能穿 等月份更大了 可能会更合适
m***l,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-05 17:56:08,此用户没有填写评论!
大***9,颜色分类:69 藏青色;尺码:170/82C/XL,2020-04-05 10:13:21,很舒服 172 140斤正合适
买***驴,颜色分类:09 黑色;尺码:170/82C/XL,2020-04-04 21:20:21,好
q***丝,颜色分类:69 藏青色;尺码:170/82C/XL,2020-04-04 20:51:01,质量很好！买大了留着月份大的时候穿
m***师,颜色分类:09 黑色;尺码:155/68C/S,2020-04-04 19:02:58,优衣库果然靠谱。面料舒服，款式也都可以
孤***妹,颜色分类:09 黑色;尺码:155/64B/XS,2020-04-04 18:18:43,尺寸大小：身高153，体重80，腰围58臀围80。现在还不显肚，裤子很合适，估计能穿到5、6个月。
j***懒,颜色分类:69 藏青色;尺码:170/82C/XL,2020-04-04 17:10:21,现在穿还是比较薄，还得等段时间才能穿
g***p,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-04 14:19:56,168cm，51kg，M稍稍宽松，很合适
t***1,颜色分类:02 浅灰色;尺码:155/68C/S,2020-04-04 09:34:23,料子舒服，3月穿上感觉凉凉的
m***5,颜色分类:69 藏青色;尺码:165/76C/L,2020-04-03 18:07:47,此用户没有填写评论!
m***5,颜色分类:02 浅灰色;尺码:165/76C/L,2020-04-03 18:07:47,无良卖家，号码不对退回去，签收后又声称没有收到货，不给退款。持续几天线上电话各种方法用尽，联系不到一个活人客服。
s***w,颜色分类:02 浅灰色;尺码:155/64B/XS,2020-04-02 08:57:59,试穿了下质量还不错，挺舒适的。颜色也挺好的，适合夏天
t***1,颜色分类:02 浅灰色;尺码:160/70C/M,2020-04-01 21:33:08,此用户没有填写评论!
相***八,颜色分类:09 黑色;尺码:165/76C/L,2020-04-01 11:40:57,不错
殷***8,颜色分类:69 藏青色;尺码:170/82C/XL,2020-03-31 23:01:53,挺好的，很有型，面料也很舒适，同时买了另一个牌子不如这个好看
r***g,颜色分类:09 黑色;尺码:160/70C/M,2020-03-31 18:28:51,157体重，113孕8个月，肚子有点紧了，裤腿宽松，口袋会咧出来，屁股显胖，面料是舒服的
t***4,颜色分类:09 黑色;尺码:160/70C/M,2020-03-31 16:36:57,挺好的
w***4,颜色分类:69 藏青色;尺码:160/70C/M,2020-03-31 12:00:14,160 51kg 三个月 买M码稍微有点点紧 腹部的材质很有弹性 倒不会勒肚子 胯部略劲 所以还是按实际臀围买就好。过俩月打算再买条L码的。裤型很好 显腿瘦。
w***1,颜色分类:69 藏青色;尺码:155/68C/S,2020-03-31 10:55:18,这个号码孕14周合适，160cm，95斤。
卷***约,颜色分类:69 藏青色;尺码:170/82C/XL,2020-03-31 09:52:26,不错
妍***n,颜色分类:09 黑色;尺码:160/70C/M,2020-03-31 06:56:54,满意
m***晨,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-30 23:32:30,挺舒服的，有点贵。
z***8,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-30 21:29:32,神裤，超级舒服，钱花的值
喜***丁,颜色分类:02 浅灰色;尺码:175/88C/XXL,2020-03-30 11:57:02,裤子真舒服 有弹力 四五月份穿正好 肚子也不勒 我150斤了 孕9个月 穿上宽松
x***9,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-30 08:28:38,不错
r***4,颜色分类:09 黑色;尺码:170/82C/XL,2020-03-29 21:34:09,裤子挺好
r***4,颜色分类:69 藏青色;尺码:165/76C/L,2020-03-29 21:28:24,就是有点贵，别的还好
