displayUserNick,auctionSku,rateDate,rateContent
秋***歌,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-26 21:44:51,好评
e***2,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-23 14:30:12,还行，百搭。
手***5,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-22 19:21:44,第一次买优衣库的东西，腰大了，腿合适。
紫***n,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-21 07:40:47,掉色非常严重
l***3,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-02-19 19:28:01,不错
波***介,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-19 13:48:59,喜欢，满意
m***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-19 10:13:55,知道会掉色，不知道掉那么厉害&hellip;&hellip;果然是季节款。
h***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-18 22:20:45,高弹，不错。
菲***1,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-18 21:07:36,很好穿，舒服有弹性。
t***3,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-18 20:05:59,误操作把没收到的衣服给收货了，联系客服没有任何作用，优衣库的客服什么时候能像别的店铺客服一样对待顾客就好了！
c***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-16 18:07:49,每年买N条，好穿舒适
m***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-14 17:20:41,超级棒！
k***y,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-02-12 19:30:09,不褪色 码数正
叶***话,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-08 09:48:27,很不错。
t***7,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-04 21:24:23,要是前面有口袋就更好了
p***3,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-04 18:17:37,好
方***3,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-04 00:55:13,好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。好评。
灬***灬,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-03 15:59:32,挺好的挺好的 不错的
黄***0,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-01-31 16:20:21,舒適，版型良好。
西***仔,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-01-30 21:55:00,好
华***5,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-30 16:57:23,薄款
w***w,颜色分类:64 湖蓝色;尺寸:160/66A/M,2021-01-29 16:28:52,很好穿
b***7,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-27 18:28:02,好评
劳***特,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-01-26 21:05:08,很赞，弹性好，穿着合适
淡***风,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-01-26 17:23:11,买了n次，做工面料可以也比较人性化，就是不耐穿，但优衣库平民消费，价格和质量还是对等的。另外几次备注发顺丰，卖家都尽量早点发顺丰出来，点赞。
x***汪,颜色分类:64 湖蓝色;尺寸:160/66A/M,2021-01-25 08:57:46,裤子弹力很好，很舒服穿着
小***陈,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-24 17:18:12,各位集美们，商品质量差，小心。店家客服质量极其恶劣，商品质量问题，穿一次就破洞，拒绝退款，回复很慢，很机械。买了那么久优衣库，碰见这种问题很生气，决定再也不买了。 200块钱是个小钱，但是这件事情本身让人非常生气。恭喜优衣库断送了一位忠实客户。
z***3,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-21 14:34:39,好穿喜欢弹性大，不必追求小码特地买小，正合身的舒服
浩***3,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-20 20:04:20,172、65公斤腰围略松，弹力大。
山***j,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-01-18 18:34:47,很弹很舒服，适合本肥。
t***9,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-16 19:26:15,此用户没有填写评论!
f***5,颜色分类:64 湖蓝色;尺寸:160/66A/M,2021-01-15 13:44:20,薄款，面料柔软舒服，很合身的。
月***弯,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-01-14 19:06:32,我妈穿着挺合身的
朕***仙,颜色分类:64 湖蓝色;尺寸:160/70A/L,2021-01-14 14:57:52,整体评价：喜欢很棒  厚薄度：不是很厚 面料品质：软软的，很喜欢
解***敏,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-14 14:38:25,真的超舒服，弹力大，会显得腿瘦
车***水,颜色分类:64 湖蓝色;尺寸:160/70A/L,2021-01-13 23:37:54,实在是太好穿了这条裤子！
浅***于,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-01-13 11:19:07,整体评价：弹力很好，里面穿了加绒打底裤，蹲下也毫不费力。我属于腿偏胖型，很舒适。 尺码推荐：客服推荐的尺码很合适 厚薄度：正常厚度 面料品质：很柔软，会有掉色，不严重。 上身效果：还可以，冬天的我不要身材只要温度
c***m,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-12 22:50:26,弹力很大，不紧绷，好穿
z***9,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-01-12 21:11:43,超爱这款裤子，非常贴身，又不勒人，物美价廉，满意！
爱***林,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-12 11:11:45,此用户没有填写评论!
青***儿,颜色分类:64 湖蓝色;尺寸:160/70A/L,2021-01-09 09:19:37,裤子比想象中好太多，怪不得销量如此高，弹性超好，穿上很舒服
a***8,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-08 10:16:16,很舒服，显瘦，就是每次洗都掉色
o***0,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-01-08 07:57:28,宝贝已经收到了，真的是物有所值，非常的满意。卖家的服务态度很好，发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！买买买！买买买！
浩***3,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-07 21:52:49,原听199买的，买完才发现原来同款不同色才99，买贵了，水太深了
s***7,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-01-07 14:31:31,非常一般
w***s,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-07 14:17:35,挺好看的，也显瘦，就是买大了一点😂急着穿就懒得换了
q***珍,颜色分类:64 湖蓝色;尺寸:160/66A/M,2021-01-06 09:43:08,很好看
空***尸,颜色分类:68 深蓝色;尺寸:155/58A/XS,2021-01-05 18:06:04,深蓝色，155，最小码，有点长，改短了3公分。腰很紧，可以收小腹。
d***i,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-05 13:42:44,确实很有弹性！但是，很薄！
y***4,颜色分类:68 深蓝色;尺寸:155/62A/S,2021-01-04 17:18:56,好穿
李***子,颜色分类:64 湖蓝色;尺寸:160/66A/M,2021-01-03 19:29:20,还不错，挺舒服的
x***2,颜色分类:64 湖蓝色;尺寸:170/82A/XXL,2021-01-02 16:35:33,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物体验"
c***8,颜色分类:64 湖蓝色;尺寸:165/78A/XL,2021-01-02 11:31:32,OK
l***3,颜色分类:68 深蓝色;尺寸:155/62A/S,2021-01-02 00:04:02,有加绒
l***3,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-02 00:04:02,湖蓝色没加绒，冬天穿冷
叮***y,颜色分类:64 湖蓝色;尺寸:155/62A/S,2021-01-01 22:26:26,质量很好
山***儿,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-01-01 08:06:30,非常满意的裤子
落***2,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-31 20:00:44,一直在回购，不错的裤子！
落***2,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-31 20:00:44,一直在回购，不错的裤子！
e***9,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-31 18:01:00,不错
芷***雪,颜色分类:64 湖蓝色;尺寸:160/66A/M,2020-12-31 14:53:32,可以
小***丫,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-31 12:56:59,显瘦，好搭配衣服
小***丫,颜色分类:64 湖蓝色;尺寸:160/70A/L,2020-12-31 12:56:59,好看，春秋天穿很合适
h***0,颜色分类:68 深蓝色;尺寸:160/70A/L,2020-12-30 19:42:20,很舒服 之前在门店没打折 再回购一条其他颜色的
