displayUserNick,auctionSku,rateDate,rateContent
汤***园,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-27 12:27:33,好的哈
错***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-27 10:23:59,质量很好，面料柔软，大小合适，上身舒服。
单***丽,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-27 09:11:51,多次购买了
t***9,颜色分类:08 深灰色;尺寸:170/82A/XXL,2021-02-27 08:37:47,好评，客服服务也好，谢谢！
猪***5,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-25 22:46:46,腰特别肥 买的第二条了 感觉薄了些
一***沙,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-25 20:30:41,165身高，裤子短了点
v***1,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-25 12:49:26,腰围太大 而且没有松紧带 不是很方便
安***儿,颜色分类:03 灰色;尺寸:165/78A/XL,2021-02-24 18:39:30,我女儿和我都穿优衣库裤子，一直拥有，并且买了各种颜色，挺好
s***啦,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-24 18:38:05,多多多多次购买，囤货
安***儿,颜色分类:01 乳白色;尺寸:170/82A/XXL,2021-02-24 18:37:24,我有三条这样的裤子，乳白色，黑色，灰色，喜欢穿
方***1,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-24 18:03:46,终于等到了99元，赶紧收了
阿***子,颜色分类:03 灰色;尺寸:165/78A/XL,2021-02-24 16:15:52,腰这里超级大，抽绳抽紧了还是松垮垮的，给男性穿了
t***5,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-23 20:09:12,这是第二条了，一年一条过一个冬天，质量一如既往的好，真的很满意。
寒***2,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-23 13:40:22,很一般，布料疏松不密实。款式做工还好
c***y,颜色分类:03 灰色;尺寸:160/66A/M,2021-02-23 11:14:49,盒马到我一次德诺恩我的小心脏都是这样吧呃呃呃哈我打电话过来我还没有到你面前的样子！在乎过多少的自己了！这里也很好看呀！你是一个劲往别人脸上来时打电话来时我不敢发信息给我发短信给我发信息的消息是真的不知道为什么会觉得这个东西还好没有什么地方有什么好处
w***o,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-22 20:59:00,降价又囤了一条灰色。
c***h,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-22 18:46:09,单层的，内里带点点薄绒，类似高舒暖(utra warm)秋裤，但外面厚一点点，跟儿童的仿羊羔绒裤里面有长绒毛根本不一样。适合温度高的时候穿，居家穿运动裤比较舒服
1***蔚,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-22 18:41:01,臀围那里偏大，164  55kg这个码刚好，149入的感觉有点贵，为了健身穿
饭***熊,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-22 18:29:25,给老妈买的 她满意 穿上合适
t***8,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-22 17:12:01,挺好
q***2,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-22 15:24:39,去年买过，穿着很舒服，今年在没一条，有点粘毛。
w***6,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-22 10:14:19,裤子很满意哦，轻薄，但挺暖和的
t***4,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-22 09:44:34,刚刚买了一条，看价格优惠又入手一条留着冬天穿！喜欢😍
t***4,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-22 09:41:38,一直穿优衣库的裤子！喜欢😍！舒服！
司***勒,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-21 16:24:59,舒服！
茶***恒,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-21 15:57:05,149买了一条，现在99再买一条，每年冬天都会买的裤子。
如***珑,颜色分类:01 乳白色;尺寸:170/82A/XXL,2021-02-21 13:21:27,有点肥了，可惜小一码已经没有了，颜色柔和，穿着舒服，就留着吧。
小***0,颜色分类:03 灰色;尺寸:160/66A/M,2021-02-21 11:26:27,本来要退一条的，穿着舒服都留下了。
z***2,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-20 22:13:19,发的顺丰快递下单第二天就收到了，运动裤做工精细质地比前几年买的同款稍薄一点，版型不错比较显瘦。
l***5,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-20 18:11:10,好穿。
s***h,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-20 17:32:12,回购的，很舒服
义***6,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-20 11:38:11,好穿
若***甜,颜色分类:01 乳白色;尺寸:170/82A/XXL,2021-02-20 06:32:14,太薄太短
文***9,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-19 21:50:10,大小合适舒服。
t***2,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-19 13:02:41,物流很给力，昨天下单今天就收到了。这是我第三次买这款裤子了，质量很好，柔软舒适、暖和，颜色大方得体，穿上很舒服。今后会一如即往的选择优衣库的衣服，非常喜欢！
余***1,颜色分类:01 乳白色;尺寸:160/66A/M,2021-02-19 10:01:39,此用户没有填写评论!
t***3,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-18 19:38:11,裤子弹性大，裤型好看，颜色很正，就是不知裤腰的松紧带以后会不会一直现在这样。168高，125体重，穿XL的合适，希望能帮助选**美眉们。
z***a,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-18 16:23:52,布料不好，透着里面的绒，感觉布料超级薄，不紧密，黑色没这个问题。
米***玮,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-18 15:23:10,高165穿也就九分裤，坐下就漏小腿，内里这个绒可真一般，不如男款那个好，也就值99块，价位再高就不建议入手了
t***0,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-18 14:49:38,衣服质量不错，五星好评！
从***忘,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-18 02:09:39,不错。
i***n,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-17 18:54:02,好
狼***子,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-17 15:31:43,要是能像男款那么厚就好了
c***8,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-17 14:53:24,149买的。两个裤腿长短不一，无奈洗后穿了才发现，不给退货了！
s***0,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-17 14:03:45,还行
菲***3,颜色分类:01 乳白色;尺寸:170/82A/XXL,2021-02-17 11:27:56,腰宽松了
晴***9,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-17 10:00:49,谢谢店家。
m***蜂,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-16 19:51:21,面料舒适，一直选购这款的。
m***蜂,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-16 19:51:21,整体评价：裤子不错，买过好几条，就是Xl有点大
致***乐,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-16 18:49:46,这个裤子很舒服
d***2,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-16 11:26:48,一如既往的好，每年都买，做活动划算。
d***2,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-16 11:26:48,一如既往的好。
q***草,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-16 00:22:13,尺码出乎意料地大，不过可能这也正是穿着舒适的原因之一吧。
小***0,颜色分类:01 乳白色;尺寸:160/66A/M,2021-02-15 22:44:25,买了两条，本来选择一条的，因为穿着舒服，都留下了。
不***蛮,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-15 18:58:04,好穿是好穿 买大了哈哈 将就穿了
y***7,颜色分类:03 灰色;尺寸:165/78A/XL,2021-02-15 10:14:22,太喜欢优衣库的服装了，好好好
周***空,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-14 22:35:15,底色的绒是白色的，不是灰色的，估计穿不久。
幸***路,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-14 21:12:42,给婆婆买的，还没有穿
k***x,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-14 19:21:34,挺不错的。
t***6,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-14 11:29:07,整体评价：实体店试过的 面料材质：舒适 我的身高体重：167、128斤宽松99元价格合适
l***婷,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-14 10:05:20,可以！
l***婷,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-14 10:05:20,可以！
巧***豆,颜色分类:01 乳白色;尺寸:160/70A/L,2021-02-13 22:47:04,果然白色要穿大一码才好看，不然就像棉毛裤了
t***2,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-13 19:37:27,不错
姚***o,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-13 17:30:01,好。全家优衣库。
s***1,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-13 12:04:14,大年初二就收到了，很满意哦
q***9,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-13 11:39:00,挺好
众***i,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-13 10:55:21,很好
俞***媛,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-12 17:32:04,己买过三条了，越来越薄！
于***8,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-12 13:25:38,身高164，平时M码； 这次L码，裤腿9分 超短； 裤腰超肥大。   穿上像个圆规 上胖下细。
z***y,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-12 11:39:27,一般般。满薄的
m***4,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-12 10:06:53,非常好看，穿着舒服。
戴***6,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-11 23:06:31,还可以
小***9,颜色分类:01 乳白色;尺寸:160/70A/L,2021-02-11 20:25:20,不错
小***9,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-11 18:56:03,物美价廉，物流给力，值得回购
h***h,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-11 06:52:06,必不可少，全家人都很喜欢用。
l***3,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-10 21:51:51,给妈妈买的，合适！
l***i,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-10 20:34:23,很好
l***i,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-10 20:34:23,很好
m***1,颜色分类:01 乳白色;尺寸:160/66A/M,2021-02-10 19:25:26,很舒适~气球🎈🎈🎈🎈🎈🎈
呼***冬,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-10 18:54:19,很好第二条了
胖***子,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-10 18:01:27,刚好做活动，价格便宜了很多，性价比超高，真的特别划算
叶***1,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-10 10:30:19,426284牛仔神裤 海蓝色 150/56  咸🐟：牛奶咖飞小何猪
l***9,颜色分类:08 深灰色;尺寸:170/82A/XXL,2021-02-10 10:14:32,送给老** 尺码很合适 好评
s***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-09 22:06:10,质量很好
陈***1,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-09 21:44:08,好
大***4,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-09 19:48:30,第二条了，还是这么好穿
青***宝,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-09 19:41:38,女款的薄绒，可能设计厚了会影响身材吧
约***9,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-09 15:58:20,不错的裤子，穿上很合适。
l***7,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-09 13:11:05,宝贝质量很好，价格实惠公道，老婆很喜欢，值得拥有和推荐一下！！
i***人,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-09 12:06:38,很喜欢，就是有点小贵哦，便宜点会再入手。
榴***虫,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-09 00:05:09,又轻又舒服，超级舒服，不过不算太厚，适合南方秋冬。差点想多买一条
y***3,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-08 22:42:19,深灰色显瘦，腰没有松紧带，纯靠绳子系，不知道是有什么优势😂整体非常好穿！
f***i,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-08 22:09:00,妈妈说这个裤子不错，很厚实。
i***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-08 20:19:29,不错
i***1,颜色分类:01 乳白色;尺寸:160/70A/L,2021-02-08 20:19:29,不错
l***m,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-08 17:33:04,穿着很舒服
t***9,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-08 16:54:29,不错
泡***芙,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-08 15:34:24,158 50买的m号，太大了
t***1,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-08 12:50:53,很合适很舒服，买了几条了
深***妞,颜色分类:08 深灰色;尺寸:160/66A/M,2021-02-08 12:11:55,有线头也不补偿
p***0,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-08 09:57:01,hey舒服
你***哒,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-08 09:16:16,面料舒服，穿着舒适。
汤***园,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-08 09:10:35,腰围大了
爱***远,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-07 18:12:03,很好噢
s***o,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-06 21:57:43,168cm 45kg 裤长刚合适 裤腰大很多
s***o,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-06 21:57:43,168cm 45kg 裤长刚合适 裤腰大很多
q***0,颜色分类:01 乳白色;尺寸:165/78A/XL,2021-02-06 21:04:50,建议大家买大一号。如果不想穿出九分裤的效果话。
星***雨,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-06 20:04:06,尺码偏大，质量很好
a***n,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-06 17:34:06,好穿，去年买的旧了，今年再入两条。
t***0,颜色分类:01 乳白色;尺寸:160/70A/L,2021-02-06 16:02:39,质量和颜色都很好！
n***i,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-06 14:26:44,满意
拥***敢,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-06 08:22:10,好
芒***美,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-06 07:17:06,第二次买了，冬天穿很舒服
c***0,颜色分类:03 灰色;尺寸:160/66A/M,2021-02-06 00:02:48,颜色比男款的浅
s***3,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-05 22:48:23,买的第二条，很好穿
m***r,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-05 19:54:16,"还可以,绒薄薄的,没有多暖和,腰有点大"
t***1,颜色分类:08 深灰色;尺寸:160/70A/L,2021-02-05 18:23:49,不错的裤子面料啊，穿着很舒服，以后又买 整体评价：可以 版型风格：漂亮 面料材质：舒服 搭配建议：卫衣 我的身高体重：162，104
齐***琴,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-05 17:28:57,尺码偏大，L码刚刚好！面料裤形舒适度都很好，超喜欢
m***4,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-05 17:15:30,非常好
t***8,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-05 15:49:16,穿着舒适 但是裤长偏短 穿着会往上走 厚度不够 天冷不能穿
t***1,颜色分类:01 乳白色;尺寸:160/66A/M,2021-02-05 13:37:33,裤腿往上钻，163穿m. 腰太大，裤腿不够长
薇***儿,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-05 11:16:51,满意
绿***暮,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-05 11:06:28,帮妈妈买的，一分钱一分货。版型也还是可以，本来准备买全棉的，这个手感还是有点小瑕疵。
z***4,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-05 10:31:08,很好
庄***蝶,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-05 09:59:37,挺轻，穿着很舒适，黑色的穿着很酷
5***y,颜色分类:08 深灰色;尺寸:165/78A/XL,2021-02-05 09:29:08,保暖性不错
l***z,颜色分类:03 灰色;尺寸:160/70A/L,2021-02-05 09:11:30,满意。
