displayUserNick,auctionSku,rateDate,rateContent
g***e,颜色分类:09 黑色;尺寸:165/78A/XL,2021-02-23 10:14:00,很好
璐***0,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-19 14:43:17,裤子好看！
童***峰,颜色分类:09 黑色;尺寸:160/70A/L,2021-02-19 10:22:57,和实体店的一样，
1***j,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-14 10:04:56,服务态度极差，表示再也不买优衣库的线上产品
s***d,颜色分类:09 黑色;尺寸:155/62A/S,2021-02-04 19:38:08,质量很好！大牌就是大牌
黑***唐,颜色分类:09 黑色;尺寸:160/66A/M,2021-02-02 10:46:54,好穿！囤货！
j***1,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-30 17:12:24,很不好 穿一次膝盖鼓包 整一个松松垮垮 只能当睡裤了
冷***少,颜色分类:67 海蓝色;尺寸:160/66A/M,2021-01-29 17:31:15,宝贝很不错！
t***7,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-28 18:58:27,我觉得一般，粘毛，才穿一天就有点皱了，洗了有些褪色
r***k,颜色分类:67 海蓝色;尺寸:155/62A/S,2021-01-26 22:20:38,很好看！！本来就是买了打算运动时穿，现在发现很百搭也很时髦，颜色是我爱的深海蓝，比心～
l***u,颜色分类:01 乳白色;尺寸:160/66A/M,2021-01-25 15:37:31,我的身高体重：168cm，54kg，m号正好
l***0,颜色分类:09 黑色;尺寸:160/70A/L,2021-01-25 11:30:43,刚刚好！舒服！
z***7,颜色分类:01 乳白色;尺寸:155/62A/S,2021-01-25 08:54:23,质量不错
j***7,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-23 10:04:06,差评，优衣库最差裤子，粘毛，没型！
放***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-21 18:43:50,这款先前买过一条，活动价再来一条，主要是喜欢这款的原因是因为腰稍高一些。
r***9,颜色分类:09 黑色;尺寸:155/62A/S,2021-01-20 12:55:40,还不错哦 第二条啦
c***晓,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-20 12:47:02,很好
悠***6,颜色分类:09 黑色;尺寸:160/66A/M,2021-01-19 11:27:54,很好啊
未***忘,颜色分类:09 黑色;尺寸:165/78A/XL,2021-01-18 14:47:13,老妈126在店里试了L还是小，店员说只能网上送货到家，干脆就来天猫旗舰店买了，合适
j***0,颜色分类:67 海蓝色;尺寸:165/78A/XL,2021-01-18 09:38:58,物流快包装完好，品质优良满意好评。
t***3,颜色分类:67 海蓝色;尺寸:165/78A/XL,2021-01-16 18:56:23,不错，总于跌价了。在热点可以穿了。
s***8,颜色分类:67 海蓝色;尺寸:165/78A/XL,2021-01-12 15:57:44,颜色好看，休闲型，比较舒服。贵了点。
s***i,颜色分类:67 海蓝色;尺寸:160/70A/L,2021-01-11 00:06:20,超舒服适合胖胖的我
r***g,颜色分类:67 海蓝色;尺寸:160/70A/L,2021-01-07 16:41:29,质量不错，就是自己买大了一码，待天气暖和点再外穿。
w***1,颜色分类:67 海蓝色;尺寸:165/78A/XL,2020-12-31 20:04:25,有点大
x***9,颜色分类:01 乳白色;尺寸:160/66A/M,2020-12-29 21:10:26,裤子版型很好，就是从不搞活动
h***8,颜色分类:09 黑色;尺寸:165/78A/XL,2020-12-29 16:29:43,还没穿就被婆婆妈拿走了，有点郁闷！！不过面料不错
t***g,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-26 11:42:15,好评，打折囤着暖和了再穿
m***i,颜色分类:67 海蓝色;尺寸:165/78A/XL,2020-12-21 16:20:04,满意
朱***儿,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-21 13:25:24,发货超快，穿着舒服，妈妈很满意！
g***e,颜色分类:67 海蓝色;尺寸:160/70A/L,2020-12-19 16:32:35,裤子面料柔软，穿着很舒服。
z***6,颜色分类:09 黑色;尺寸:160/70A/L,2020-12-09 23:25:24,习惯性好评&middot;&middot;&middot;优衣库传的也就这样
m***m,颜色分类:09 黑色;尺寸:165/78A/XL,2020-12-09 12:57:31,不错，舒适
听***5,颜色分类:67 海蓝色;尺寸:160/70A/L,2020-12-05 20:23:47,裤子很柔软 加绒
l***子,颜色分类:09 黑色;尺寸:160/66A/M,2020-12-02 15:10:18,正合适，很好配
葛***因,颜色分类:09 黑色;尺寸:155/62A/S,2020-11-27 01:46:25,此用户没有填写评论!
q***u,颜色分类:09 黑色;尺寸:165/78A/XL,2020-11-23 21:25:32,有些宽松
紫***珞,颜色分类:38 深褐色;尺寸:160/70A/L,2020-11-20 14:56:21,不错的休闲裤，价格小贵
p***t,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-19 08:47:21,不错，裤型很好
子***d,颜色分类:03 灰色;尺寸:160/70A/L,2020-11-17 10:01:36,不错很喜欢
小***1,颜色分类:67 海蓝色;尺寸:160/70A/L,2020-11-17 00:00:15,东西没的说，只是客服太恼火了，咨询量大就多招些人嘛，有时候回复要等一天
黑***屋,颜色分类:67 海蓝色;尺寸:160/66A/M,2020-11-15 15:44:01,给爸妈买的，衣服轻巧舒适，运动穿正合适，加绒冬天也方便，爸妈很喜欢。双十一价格合适，好评！
x***9,颜色分类:09 黑色;尺寸:160/70A/L,2020-11-14 17:26:56,给老人买的，老人很满意，好评
t***7,颜色分类:09 黑色;尺寸:165/78A/XL,2020-11-12 20:02:16,不错！
w***h,颜色分类:67 海蓝色;尺寸:165/78A/XL,2020-11-12 19:52:24,好！！！！！！！！！
t***5,颜色分类:67 海蓝色;尺寸:160/66A/M,2020-11-06 21:03:27,运动裤单穿春秋天正好 尺码合适 面料柔软透气，舒适 制作精细 弹性适合
北***6,颜色分类:38 深褐色;尺寸:165/78A/XL,2020-11-05 16:19:37,很合身，很柔软舒适，颜色也好看！
d***3,颜色分类:09 黑色;尺寸:155/62A/S,2020-11-05 10:21:01,我是装柜试过 淘宝新用户还有➖80 划算
z***d,颜色分类:38 深褐色;尺寸:165/78A/XL,2020-11-04 09:42:57,好评
来***壳,颜色分类:67 海蓝色;尺寸:165/78A/XL,2020-11-02 18:51:27,手感尚可，不是自己想要的厚的，版型肥大，反正也能凑合穿，搭靴子好看
c***2,颜色分类:09 黑色;尺寸:160/66A/M,2020-10-31 12:07:36,可以。
s***1,颜色分类:38 深褐色;尺寸:165/78A/XL,2020-10-30 18:13:19,周六下单，周二晚上才到，这物流太影响体验
